نېښو	n ə ʂ o
تږی	t ʂ i
نجونې	n d͡ʒ o n ə
جریان	d͡ʒ r i ɑ n
امرونوان	ɑ m r o n o ɑ n
همبرداشت	h ə m b r d ɑ ʂ t
موټرد	m o ʈ r d
ونیوله	w o n i o l ə
سویلي	s o w i l i
میرمن	m i r m ə n
مخالفت	m x ɑ l ə f t
يوهنخيتار	j o h ə n x i t ɑ r
ناسته	n ɑ s t ə
نشي	n ʂ i
کمښت	k ə m ʂ t
وغواړی	w ɣ o ɑ ɽ i
فوټبال	f o ʈ b ɑ l
طبقه	t ɑ b q ə
ورسید	w o r s i d
ګرمدیځ	ɡ r m d i ʝ
اخیست	ɑ x i s t
دایمي	d ɑ i m i
چټکۍ	t͡ʃ ʈ k ə i
وشي	w ʂ i
پوهیږم	p o h i ʐ m
زامنو	z ɑ m n o
وباسي	w b ɑ s i
ساتلو	s ɑ t l o
درنکړم	d r n k ɽ m
ویښتانو	w i ʂ t ɑ n o
سوډان	s o ɖ ɑ n
دروغوويلو	d r o ɣ o w i l o
کانټینر	k ɑ n ʈ i n r
وموندلې	w m o n d l ə
مایو	m ɑ j o
ماهی	m ɑ h i
ام	ɑ m
ننه	n ə n ə
مړینې	m ɽ i n ə
لی	l i
پرانیستله	p r ɑ n i s t l ə
ویلي	w i l i
شومنو	ʂ o m n o
وده	o d ə
ووینه	w o w i n ə
اندازه	ɑ n d ɑ z ə
سهارریما	s ə h ɑ r r i m ɑ
پرانستله	p r ɑ n s t l ə
وکړئیا	w k ɽ ə i ɑ
مرګاويا	m r ɡ ɑ w i ɑ
همده	h ʌ m d ə
کېدای	k eɪ d aɪ
آسیم	ɑː s iː m
سیند	s iː n d
نیول	n iː uː l
لورته	l oː r t ə
شو	ʃ oː
سیمه	s iː m ə
ډیرو	ɖ iː r oː
غوړ	ɣ oː ɖʐ
لرغونی	l ə r ɣ oː n iː
پوهیږي	p oː h iː ʐ iː
کوزی	k oː z iː
چا	tʃ aː
ثابته	θ ɑː b ə t ə
طرف	ʈ ə r f
حکيم	ħ ə k iː m
ناڅاپه	n ɑː ʈʂ ɑː p ə
فضا	f ə z ɑː
ذهني	ð ə h n iː
کرنې	k ə r n eɪ
ویښتان	v iː ʂ t ɑː n
پایه	p aɪ ə
خوندي	x oː n d iː
دوامداره	d oː ɑː m d ɑː r ə
کڅوړو	k ʈʂ oː ɖʐ oː
ویده	v iː d ə
زهر	z ə h r
پرانستله	p r ɑː n ə s t ə l ə
ویشي	v iː ʃ iː
ډکیو	ɖ k iː oː
ماهر	m ɑː h ə r
مترو	m ə t r oː
ماشییو	m ɑː ʃ iː j oː
تړلکیدی	t ɖʐ l k iː d iː
کېیو	k eɪ j oː
معتدل	m uː ʕ t ə d ə l
شنو	ʃ n oː
سزا	s z ɑː
ونشي	v ə n ʃ iː
همدې	h ʌ m d eɪ
غږ	ɣ ʐ
دلیلونه	d ə l iː l oː n ə
معنی	m uː ʕ n iː
نېښ	n eɪ ʂ
اې	ɑː eɪ
یوې	j oː eɪ
راوتلی	r aː w t ə l iː
استاد	ɑː s t ɑː d
اړیکه	ɑː ɖʐ iː k ə
منظم	m ʊ n z ə m
رایستل	r ɑ j s t ə l
راغله	r ɑ ɣ l ə
کڅوړو	k ʈ͡ʂ o ɽ o
سپیننسواري	s p iː n n s w ɑ r i
اوږ	o ʊ ʐ
اويو	o w j o
اثر	ʔ ə θ r
توکي	t o k i
پدی	p ə d i
ټوټه	ʈ o ʈ ə
چاکلیټ	t͡ʃ ɑ k l i ʈ
سبب	s ə b b
ویلو	w i l o
لږه	l ʐ ə
مختلفو	m ʊ x t l ɪ f o
خوندي	x o n d i
جالڅخه	d͡ʒ ɑ l ʈ͡s ə x ə
ځلانده	ʐ l ɑ n d ə
ومومي	w o m o m i
ما	m ɑ
ورځو	w o r ʐ o
کورله	k o r l ə
کوونکی	k o w o n k i
رسېږئ	r s e ʐ ʔ
سلفراسید	s ʊ l f r ɑ s i d
ترتیب	t ə r t i b
کېښودې	k e x o d e
ونډه	w ʊ n ʈ ə
وړانګې	w r ɑ n ɡ e
خورن	x o r n
یې	j e
دکار	d k ɑ r
سرونو	s r o n o
دوسته	d o s t ə
اوږده	o ʊ ʐ d ə
دبولو	d b o l o
لوړوي	l o r o j
اختلالات	ʔ x t l ɑ l ɑ t
اوریدو	o r i d o
تنو	t n o
مطالعه	m t ɑ l e
کوچني	k o t͡ʃ n i
قه	q ə
ژره	ʐ r ə
نړیواله	n r j w ɑ l ə
حللار	ħ l l ɑ r
پراخې	p r ɑ x e
مل	m ʊ l
ويورکې	w j o r k e
ماهم	m ɑː h m
څیړنو	ʈ͡s iː ɖ n o
راغلی	r ɑː ɣ l iː
رسولیو	r s uː l iː o
احمد	ɑː h m ə d
وران	w o r ɑː n
کرنه	k r ə n ə
همیشه	h ə m iː ʃ ə
بوی	b oː iː
ژررانه	ʒ r r ɑː n ə
اغیزه	ɑː ɣ iː z ə
اوښاوخره	ɑː w x ɑː w x r ə
حیوان	h iː w ɑː n
غورځ	ɣ oː r ʒ
لویدیځ	l oː iː d iː ʒ
کېو	k eː o
کیږی	k iː ʒ iː
احمده	ɑː h m ə d ə
غلام	ɣ l ɑː m
راځی	r ɑː ʒ iː
دن	d ə n
ترڅنګ	t r ʈ͡s n ɡ
سړک	s ɖ k
دبولو	d b oː l o
راغله	r ɑː ɣ l ə
پسه	p s ə
مفکوره	m f k oː r ə
بدنروغ	b d n r oː ɣ
ګلختمي	ɡ l x t m iː
اف	ɑː f
لویو	l oː iː o
زهرجنو	z h r ʒ n o
وکړم	w k ɖ m
ڼږ	ɳ ʒ
بوتله	b oː t l ə
اشاره	ɑː ʃ ɑː r ə
ګټوره	ɡ ʈ oː r ə
لرګ	l r ɡ
ملګريه	m l ɡ r iː ə
ناوخ	n ɑː w x
جال	ʤ ɑː l
کمې	k m eː
باکتریاوې	b ɑː k t r iː ɑː w eː
خورا	x oː r ɑː
قومن	q oː m n
شئ	ʃ ɑː iː
ګوره	ɡ oː r ə
پرانستل	p r ɑː n s t l
بحرونو	b h r oː n o
توپیر	t oː p iː r
پلاروصیت	p l ɑ r o s i t
خپلرو	x p l r o
اوری	o r i
ارما	a r m a
کړک	k ɚ k
متره	m t r h
یوازې	y o a z e
لاړو	l a r o
وزله	w z l h
استراحتسره	a s t r a h t s r h
ککړونکي	k k ɚ o n k i
طرف	t r f
شهزادګۍ	s h z a d g e
موند	m o n d
معلومه	m a l o m h
وشي	w s i
تجربې	t j r b e
غونډیو	ɣ o n d i o
وړی	w r i
کېیی	k e i i
لښتي	l x t i
غواړو	ɣ o a r o
خلکو	x l k o
غاړې	ɣ a r e
توازنیی	t o a z n i i
پوهېږې	p o h e ʐ e
والونه	w a l o n h
است	a s t
یمزه	y m z h
هنرونو	h n r o n o
وويل	w o i l
وصیت	w s i t
رسیږي	r s i ʐ i
تنظیموي	t n z i m o i
وړلی	w r l i
دیچی	d i c i
سیوري	s i o r i
ډولونه	ɖ o l o n h
وټاکي	w ʈ a k i
مخالفت	m x a l f t
معاینه	m a y n h
سو	s o
پرلپسی	p r l p s i
ساعته	s a a t h
خولې	x o l e
اشاره	a s a r h
ورسیده	w r s i d h
ساتونکو	s a t o n k o
دویده	d o i d h
شاګردانو	s a ɡ r d a n o
احمد	ɑ ħ m ə d
اواز	ɑ w ɑ z
سترګې	s ə t ə r ɡ e
زیاتې	z i j ɑ t e
بریالۍ	b r ɪ j ɑ l ə i
ورزشته	w ə r ʒ ʃ t ə
نېغه	n ə ɣ ə
بيه	b i j e
هیڅکله	h ɪ ʈ ʂ k ə l ə
اشخاصو	ɑ ʃ x ɑ s ə w
سیمه	s ɪ m ə
سوداګر	s u d ɑ ɡ ə r
ماشی	m ɑ ʃ i
روبوټیو	r u b ə ʈ i o
اوښسپورچی	ɑ w x s ə p ə r t ʃ i
کتلرامين	k ə t ə l ə r ɑ m i n
ډریور	ɖ r ɪ j ə r
ستونزو	s ə t u n z ə w
تیر	t i r
ورځې	w ə r ʒ e
موندلو	m u n d ə l ə w
پایله	p ɑ j l ə
سلطنت	s ə l t ə n ə t
مرغان	m ə r ɣ ɑ n
حل	h ə l
غنمبه	ɣ n ə m b ə
کرنې	k ə r n ə i
سیمې	s ɪ m e
هوښیار	h ə w x i ɑ r
خدمتګارانې	x ə d ə m t ɡ ɑ r ɑ n e
میوې	m i w e
واده	w ɑ d ə
داد	d ɑ d
آسانۍ	ɑ s ɑ n ə i
وويلهو	w ə w i l ə h ə w
خوري	x ə w r i
ځایونه	ʒ ɑ j ə w ə n ə
لږوو	l ə ʒ ə w
وڅښي	w ə ʈ ʂ ə x i
وګوره	w ə ɡ u r ə
فرانسوي	f ə r ɑ n s ə w i
روبوټونه	r u b ə ʈ ə w ə n ə
اثر	ɑ s ə r
ټوکو	ʈ ə w k o
ګڼي	ɡ ə ɲ i
جدي	ʤ ə d i
یوسي	j u s i
فابریکو	f ɑ b r ɪ k o
ماو	m ɑ w
ابی	ɑ b i
رسولی	r ə s u l i
ساتئ	s ɑ t e
انصاف	ɑ n s ɑ f
ژمي	ʒ ə m i
پښیمانه	p ə x i m ɑ n ə
تخمونه	t ə x m u n ə
دانو	d ɑ n o
خوښي	x o ʂ i
کولومیتود	k o l o m i t o d
ورځي	w o r ʒ i
اړتیاد	ɑ r t i ɑ d
معلومه	m ɑ l u m ə
مر	m ə r
زهرا	z ə h r ɑ
ملګري	m ə l ɡ r i
خپله	x p ə l ə
بدنروغ	b ə d n r o ɣ
مشه	m ə ʂ ə
لنډ	l ə n ʈ
خل	x ə l
غورځولې	ɣ o r ʒ o l e
شیدې	ʃ i d e
پاککیدی	p ɑ k k i d i
ډبلده	ɖ b ə l d ə h
استراحت	ɑ s t r ɑ h ə t
زموږګرانې	z ə m o ʒ ɡ r ɑ n e
تبا	t ə b ɑ
رت	r ə t
ځکمی	ʈʂ k ə m i
دروغویلو	d ə r o ɣ o i l o
موقعیت	m o q ɑ i t
مایوسۍ	m ɑ j u s ə i
سرو	s ə r o
زیاتوي	z i ɑ t o i
مګردا	m ɡ r ə d ɑ
ښکلیدیزه	x k ə l i d i z ə
غمونه	ɣ ə m u n ə
ټینګار	ʈ i n ɡ ɑ r
کوټې	k o ʈ e
عقل	ɑ q l
لیدلې	l i d ə l e
کیله	k i l ə
ځله	ʈʂ l ə
ټاکلې	ʈ ɑ k ə l e
غوړ	ɣ o r
باغته	b ɑ ɣ t ə
ملکه	m ə l k ə
ګواښوي	ɡ w ɑ ʂ o i
سرچینو	s ə r tʃ i n o
نوم	n o m
زهرجندی	z ə h r ʤ ə n d i
نفرت	n ə f r ə t
لرګیو	l ə r ɡ i w
لمریز	l ə m r i z
مارکیټ	m ɑ r k i ʈ
رسوي	r ə s w i
حجم	ħ ə ʤ m
خوزه	x w o z ə
آرام	ɑ r ɑ m
نیسي	n i s i
لمردی	l ə m r ə d i
ورسره	w ə r s r ə
دماغکې	d ə m ɑ ɣ k e
ټاکلي	ʈ ɑ k l i
دولتلیواله	d o l t l i w ɑ l ə
داسطل	d ɑ s t ə l
تصفیه	t ə s f i h ə
قوماندانییر	q w m ɑ n d ɑ n i j r
پدیده	p ə d i d ə h ə
مستعمری	m ə s t ʕ m ə r i
داتمو	d ɑ t m w
سړي	s ə ɽ i
کوئ	k w ɑ i
اوښسپورچی	ɑ w x s p o r t͡ʃ i
سړییم	s ə ɽ i j m
ډا	ɖ ɑ
شنو	ʃ n w
خوخرغمجن	x w x r ɣ m ʤ n
ځنګلونو	ʣ ə ŋ g l w n w
خرسبیا	x r s b i ɑ
کاغذ	k ɑ ɣ ð
سورپوستکي	s w r p w s t k i
واخیستلاړل	w ɑ x i s t l ɑ ɽ l
کاره	k ɑ r ə h
دوو	d w w
اوښانه	ɑ w x ɑ n ə
الرګي	ɑ l r ɡ i
موټرو	m w ʈ r w
یاد	j ɑ d
شوني	ʃ w n i
ساعتونو	s ɑ ʕ t w n w
خطبقه	x t b q ə h
خوب	x w b
ګران	ɡ r ɑ n
آیاښوونځي	ɑ j ɑ x w w n ʣ i
اړینه	ɑ ɽ i n ə h
وساتی	w s ɑ t i
لویانو	l w j ɑ n w
داد	d ɑ d
کلمبیا	k l m b i ɑ
کړې	k ə ɽ e
آسونو	ɑ s u n o
زیانونه	z i ɑ n o n a
لوردر	l o r d ə r
نهییو	n ə h i j o
درزونه	d ə r z o n a
ډکتاج	ɖ k t ɑ ʤ
وینې	w i n e
خوخرغمجن	x o x r ɣ m ʤ n
حوضپوری	ħ o s p o r i
دالتهاب	d ɑ l t ə h ɑ b
ماهم	m ɑ h m
دښته	d ʂ t ə
ګولساتونکی	ɡ o l s ɑ t o n k i
ځواب	ʣ w ɑ b
مابیا	m ɑ b i ɑ
کافیی	k ɑ f i j
زیور	z i j o r
کوټې	k o ʈ e
ښوونه	ʂ o w n a
ځینې	ʣ i n e
ګاونډیولید	ɡ ɑ w n ɖ i o l i d
روبوټونه	r o b o ʈ o n a
يوازېتو	j o ɑ z e t o
چاپیریال	t͡ʃ ɑ p i r i ɑ l
شور	ʃ o r
ونشي	w n ʃ i
ساینسپوهانو	s ɑ i n s p o h ɑ n o
اندازه	ɑ n d ɑ z a
شاته	ʃ ɑ t ə
شیشې	ʃ i ʃ e
لنډ	l n ɖ
یوهلښته	j o h l ʂ t ə
کو	k o
روښانه	r o ʂ ɑ n a
مطلب	m ə t̪ l ə b
پټي	p ʈ i
داتمو	d ɑ t m o
شانراست	ʃ ɑ n r ɑ s t
غوښتونکی	ɣ o ʂ t o n k i
خنډ	x n ɖ
حبوباتو	ħ b o b ɑ t o
غرمې	ɣ r m e
سورپوستکي	s o r p o s t k i
وصیت	w ə s i t
وټاکي	w ʈ ɑ k i
خوښۍ	x o ʂ ə i
پنجره	p n ʤ r a
بحر	b ħ r
اغوستې	ɑ ɣ o s t e
ځانګړي	ʐ ɑ n ɡ ə r i
تللو	t ə l l o
بلې	b ə l e
پاککیدی	p ɑ k k i d i
څیړنې	ʂ i r n e
ډاډ	ɖ ɑ ɖ
زیانمنوي	z i ɑ n m ə n o w i
بکس	b ə k s
اې	a e
شوني	ʃ o w n i
راوړه	r ɑ w ɽ a
ټولنیزه	ʈ o l n i z a
ناڅاپه	n ɑ ʂ ɑ p a
هڅو	h ə ʂ o
ښارونه	x ɑ r o n a
کریم	k r i m
ونیول	w ə n i o l
دادی	d ɑ d i
زهرجن	z ə h r j ə n
یمزه	j ə m z a
آسولید	ɑ s o l i d
راننوتې	r ɑ n n o t e
انتقال	ɑ n t ɪ q ɑ l
ګورې	ɡ o r e
وضاحت	w ə z ɑ h ə t
کاله	k ɑ l a
نولسمې	n o l s ə m e
کثافات	k ə s ɑ f ɑ t
کېدای	k e d ɑ j
بابل	b ɑ b ə l
شهزادګۍ	ʃ ə h z ɑ d ɡ e
نخ	n ə x
وړلو	w ə r l o
وده	w ə d a
وړئ	w ə r ə j
زړونو	z ə r o n o
شدت	ʃ ə d ə t
هرصورت	h ə r s u r ə t
طباوانجینرۍ	t ə b ɑ w ɑ n j i n ə r e
وکتل	w ə k t ə l
ورکړل	w ə r k ɽ ə l
ډکتاج	ɖ ə k t ɑ j
نشو	n ə ʃ o
ملګريه	m ə l ɡ ə r i a
بوین	b o w i n
اوښسپورچی	o x s p o r t͡ʃ i
باکتریا	b ɑ k t ə r i ɑ
ګاونډ	ɡ ɑ w n ɖ
ګۍ	ɡ e
برابره	b r ɑ b ə r a
نېښ	n ɛ x
پاککیدی	p ɑ k k i d i
ناوړه	n ɑ w ɽ ə
څرخی	ʦ ə r x i
حیواناتو	ħ i w ɑ n ɑ t o
غوړ	ɣ o ɽ
ډای	ɖ ɑ i
دشګو	d ʂ ɡ o
وخه	w x ə
معاشونه	m ʕ ɑ ʃ o n ə
اوږدو	ɑ w ʒ d o
ننوست	n n o s t
وکړ	w k ɽ
اوریدلو	ɑ w r i d l o
موند	m o n d
لکه	l k ə
پاڅیدم	p ɑ ʦ i d m
ارما	ɑ r m ɑ
والي	w ɑ l i
زامنر	z ɑ m n ə r
تعقیبکړه	t ʕ ɑ q i b k ɽ ə
نظر	n ʕ ə r
هیل	h i l
هګیو	h ɡ i o
تاوتریخجنټکونه	t ɑ w t r i x d͡ʒ n ʈ k o n ə
له	l ə
وکړم	w k ɽ m
خولی	x o l i
دماغکې	d m ɑ ɣ k e
ویلد	w i l d
نمرکزونو	n m r k z o n o
انصاف	ɑ n ʂ ɑ f
وخندل	w x n d l
تبا	t b ɑ
وه	w ə
سورپوستکي	s o r p o s t k i
نیمه	n i m ə
لوڼو	l o ɳ o
داتمو	d ɑ t m o
خوبۍ	x o b ə i
سو	s o
ګلانو	ɡ l ɑ n o
اکسیجن	ɑ k s i d͡ʒ n
چاره	t͡ʃ ɑ r ə
خوبڅخه	x o b ʦ x ə
زمااندازه	z m ɑ ɑ n d ɑ z ə
تخمونه	t x m o n ə
آزاد	ɑ z ɑ d
واخلم	w ɑ x l m
یوازې	j o ɑ z e
درزونه	d ə r z u n ə
ويورکې	w i j o r k e
واخلي	w ɑ x l i
نجونې	n ə d͡ʒ u n e
شیه	ʃ i h
حیواناتو	x i w ɑ n ɑ t o
ورزشته	w o r z ʃ t ə
اندېښمن	ɑ n d e x m ə n
غوښتنې	ɣ o x t ə n e
سی	s i
دروغویل	d ə r o ɣ o w i l
نومونو	n o m u n o
غنمو	ɣ n ə m o
مراجعه	m ə r ɑ d͡ʒ ɑ ə h
کمښت	k ə m x t
وياړي	w i j ɑ ɽ i
پوهیدم	p o h i d ə m
خوزه	x o z ə
ګرمدیځ	ɡ ə r m d i ʐ
سلطنت	s ə l t̪ n ə t
ویلد	w i l d
غونډیو	ɣ o n ɖ i o
شاګردانو	ʃ ɑ ɡ ə r d ɑ n o
ضایع	z ɑ i ə ʕ
هره	h ə r ə
درجې	d ə r d͡ʒ e
ترمنځ	t ə r m ə n ʐ
ایازه	i j ɑ z ə
راولې	r ɑ w ə l e
مهربانه	m ə h r ə b ɑ n ə
واټن	w ɑ t̪ n
تودوخې	t o d o x e
آزاد	ɑ z ɑ d
راښکته	r ɑ x k ə t ə
مدیر	m ə d i r
کوزې	k o z e
رسیدلی	r ə s i d ə l i
کمپیوټر	k ə m p i j u t̪ ə r
اوربشې	o r b ə ʃ e
څیرې	t͡s i r e
خوبي	x o b i
پوهې	p o h e
کوچنیڅ	k o t͡ʃ n i t͡s
پراخې	p r ɑ x e
سمنټو	s ə m ə n t o
تولیدیدل	t o l i d i d ə l
سبزي	s ə b z i
نولسمې	n o l s ə m e
شا	ʃ ɑ
تقویمونه	t ə q w i m u n ə
مسموم	m ə s m u m
خوامې	x w ɑ m e
شمسي	ʃ m ʂ i
اونا	ɑ w n ɑ
ړنګې	ɽ n ɡ e
ټولو	ʈ o l o
فاطمې	f ɑ t̪ m e
افریقایي	ɑ f r i q ɑ j i
کیلومتره	k i l o m t̪ r e
نصیحت	n ʂ i h t̪
پایه	p ɑ j e
دوبي	d̪ o b i
دواړه	d̪ o ɑ ɽ e
شته	ʃ t̪ e
انسانانو	ɑ n s ɑ n ɑ n o
اندېښمن	ɑ n d̪ e x m n
ورشي	w r ʂ i
کلمګ	k l m ɡ
میزکې	m i z k e
سبزيجاتو	s b z i d͡ʒ ɑ t̪ o
پاکوونکو	p ɑ k o w n k o
واخلي	w ɑ x l i
ښځې	x ʈʂ e
دروغویلو	d̪ r o ɣ o w i l o
توان	t̪ o ɑ n
مېوه	m e w e
څود	ʂ o d̪
چیر	t͡ʃ i r
کیږي	k i ʂ i
پوستکي	p o s t̪ k i
وایم	w ɑ j m
امن	ɑ m n
ماهم	m ɑ h m
کوچني	k o t͡ʃ n i
خرسبیا	x r s b i ɑ
خوبه	x o b e
قومن	q o m n
خوشې	x o ʂ e
ایستلو	ɑ j s t̪ l o
سورخالو	s o r x ɑ l o
دریم	d̪ r i m
مې	m e
وکاروي	w k ɑ r o w i
موندلو	m o n d̪ l o
توګه	t̪ o ɡ e
حکیم	h k i m
مرغان	m r ɣ ɑ n
استراحتسره	ɑ s t̪ r ɑ h t̪ s r e
نښتل	n x t̪ l
نخ	n x
معاشونه	m ʕ ɑ ʃ u n ə
تند	t ə n d
تنفسي	t ə n f s i
اوارخطاوه	ɑ w ɑ r x t ɑ w ə
ورشي	w ə r ʃ i
کېدای	k e d ɑ i
زیرمه	z i r m ə
ننه	n ə n ə
لامل	l ɑ m ə l
جهيل	d͡ʒ ə h i l
خړوبیږي	x ɻ u b i ʐ i
پایلوڅخه	p ɑ i l u t͡s x ə
ټول	t̪ o l
هغو	h ə ɣ o
اعلان	ɑ ʕ l ɑ n
کرل	k ə r ə l
حبشې	h ə b ʃ e
ووایم	w o ɑ i m
دریم	d ə r i m
ژره	ʐ ə r ə
مل	m ə l
نېښو	n e x o
ډېره	ɖ e r ə
ستنه	s t ə n ə
دوام	d o ɑ m
پاڅېده	p ɑ t͡s e d ə
درلودله	d ə r l u d ə l ə
اوویې	ɑ w o v e
وپوښت	w ə p o x t
کړئیا	k ɻ ʔ i ɑ
آرام	ɑ r ɑ m
صنایعو	s n ɑ j ʕ o
واخیستلاړل	w ɑ x i s t l ɑ r ə l
آسولید	ɑ s o l i d
خردرلود	x ə r d ə r l u d
واټن	w ɑ t̪ n
لښتو	l ə x t o
ایښودل	ɑ i x u d ə l
کیمیاوي	k i m i ɑ w i
لاړل	l ɑ r ə l
باور	b ɑ w ə r
الصحه	ɑ l s ʕ h ə
څارویو	t͡s ɑ r o v i o
کوې	k o e
وروورو	w ə r o w ə r o
ډکدی	ɖ k ə d i
معدې	m ʕ ə d e
خپور	x ə p o r
جوړې	d͡ʒ o r e
بیا	b i ɑ
زیرکۍ	z iː r k ə
پکې	p ə k e
دب	d ə b
واټن	w ɑ t ə n
حسکوونکی	h ə s k uː w ə n k i
معمولاًاغوندي	m ʕ ə m uː l ɑ ɣ uː n d i
یوتږی	j u t ʂ i
خوه	x w ə h
هل	h ə l
مشر	m ə ʃ r
اوسې	ɑ w s e
غلوله	ɣ l uː l ə
والونه	w ɑ l uː n ə
اود	ɑ u d
کثافا	k ʂ ɑ f ɑ
پنجره	p ə n d͡ʒ r ə h
وروڼو	w ə r uː n uː
ویرهیی	w iː r ə h iː
قطارونو	q t ɑː r uː n uː
لمریز	l ə m r iː z
سپیو	s p iː w
نڅا	n ʂ ɑ
درجې	d ə r d͡ʒ e
مسموم	m ə s m uː m
شاته	ʃ ɑː t ə h
ترتیب	t ə r t iː b
سمیر	s m iː r
شهزادګۍ	ʃ ə h z ɑː d ɡ ə
صنعتونو	ʂ n ʕ t uː n uː
خړه	x r ə h
راوړې	r ɑ w r ə
آسته	ɑː s t ə h
مصرف	m ʂ r f
قانون	q ɑː n uː n
مات	m ɑː t
بلکانټینر	b l k ɑː n t iː n r
ډډه	ɖ ɖ ə h
مخهو	m x w
سمیرا	s m iː r ɑ
يوهنخيتار	j u h n x iː t ɑː r
دلیلونه	d l iː l uː n ə
حللار	h l l ɑː r
غاړې	ɣ ɑː r ə
توازن	t w ɑː z n
پوښتلڅه	p w x t l ʂ ə h
درنده	d r n d ə h
شا	ʃ ɑː
نوکرانو	n w k r ɑː n uː
لرونکی	l r uː n k i
لوري	l uː r i
تیریږي	t̪ i r i ʐ i
اسانه	a s ɑ n a
بابد	b ɑ b d̪
خبره	x b ə r a
عدني	ʕ d̪ n i
کړک	k ɻ k
زمانېښد	z m ɑ n e x d̪
ډاډ	ɖ ɑ ɖ
دهلیزو	d̪ a h l i z o
خپګان	x p ɡ ɑ n
غنماو	ɣ n m ɑ w
خوري	x o r i
واخلئ	w ɑ x l ʔ
دبولو	d̪ b o l o
هغوی	h ɣ o i
خولی	x o l i
راغلی	r ɑ ɣ l i
انتظار	a n t̪ ʕ ɑ r
تازه	t ɑ z a
خانو	x ɑ n o
ورکولو	w o r k o l o
روغتیا	r o ɣ t i ɑ
ځانه	ʐ ɑ n a
سودا	s o d̪ ɑ
کېښودې	k e x o d e
وویو	w o i o
آزادول	ɑ z ɑ d̪ o l
ويل	w i l
چونګښې	t͡ʃ o ŋ x e
وړاندې	w ɻ ɑ n d e
هرصورت	h ə r s u r t̪
تند	t̪ n d̪
نېغه	n e ɣ a
کورنه	k o r n a
نشي	n ʃ i
پلورونکي	p l o r o n k i
وویلدا	w o i l d̪ ɑ
وکاروي	w o k ɑ r o i
ماشی	m ɑ ʃ i
یادیږی	j ɑ d i ʐ i
کوشلرغونی	k o ʃ l ə r ɣ o n i
هل	h ə l
تاسورښتونیوی	t ɑ s o r x t̪ o n i o i
امرونوان	a m r o n o ɑ n
ماشین	m ɑ ʃ i n
مخه	m x a
منلو	m n l o
شاګردانو	ʃ ɑ ɡ r d̪ ɑ n o
حیواناتو	h j w ɑ n ɑ t̪ o
تولید	t̪ o l i d̪
وضاحت	w ə d͡z ɑː h ə t
غوږونه	ɣ o ʐ o n a
وړه	w ɾ a
غورځولې	ɣ o ɾ ʐ o l e
ګۍ	ɡ e
کمزوری	k ə m z o ɾ i
ناورین	n ɑ w ɾ iː n
وموندلې	w ə m o n d l e
غله	ɣ l a
مرغۍ	m ɾ ɣ e
کبانو	k b ɑ n o
کرون	k ɾ o n
