نېښو	n ə ʂ o
ښخو	x x o
پراخې	p ɾ ɑː x e
نهو	n h o
مصرتمدن	m ə s ɾ t ə m d ə n
بلې	b l e
زمانېښد	z ə m ɑː n e x d
ریما	ɾ iː m ɑ
لیکچر	l iː k t͡ʃ ɾ
ژر	ʐ ɾ
زامنود	z ɑː m n o d
څو	t͡s o
مشهور	m ʃ h o ɾ
اوسسطل	ɑ w s s t l
ساري	s ɑː ɾ i
برې	b ɾ e
وزن	w z n
انسان	ɑ n s ɑː n
موافقه	m o ɑ f ɪ q a
لاړې	l ɑː ɾ e
لهشکه	l h ʃ k a
ورځده	w ɾ z d a
شونیه	ʃ o n iː a
سلطنت	s ə l t ə n ə t
اوښبار	ɑ w x b ɑː ɾ
ریښتیا	ɾ iː x t iː ɑ
ماښامه	m ɑː x ɑː m a
توان	t o ɑ n
هیوادونه	h iː w ɑ d o n a
غونډیو	ɣ o n ɖ iː o
ګول	ɡ o l
زیرکۍ	z iː ɾ k e
خوښبوی	x o x b o i
ډا	ɖ ɑ
پوهیږم	p o h iː ʐ m
پیښه	p iː x a
سبب	s ə b b
ګړند	ɡ ə ɾ n d
سندرې	s ə n d ɾ e
لاسه	l ɑ s ə
ناروغ	n ɑ r o ɣ
اسانۍ	ɑ s ɑ n ə i̯
راته	r ɑ t ə
شدی	ʃ d i
لید	l i d
کسوویلزه	k s o w i l z ə
اوږ	o ʐ
وغوښتل	w ɣ o x t ə l
شګو	ʃ ɡ o
ویلزه	w i l z ə
حزه	ħ z ə
شیان	ʃ i ɑ n
توازنیی	t o ɑ z n i i
بوی	b o i
رامینځته	r ɑ m i n ʐ t ə
ډاډ	ɖ ɑ ɖ
باټیک	b ɑ ʈ i k
کافی	k ɑ f i
صنایعو	ʂ n ɑ i̯ ʕ o
مواد	m o ɑ d
شو	ʃ o
زوړ	z o ɻ
ورکړحمي	w o r k ɻ ħ m i
نن	n ə n
خويندو	x w i n d o
شدت	ʃ d t
پوهان	p o h ɑ n
ترسره	t r s r ə
هڅې	h ʂ ə i̯
نیمه	n i m ə
کیدای	k i d ɑ i
مۍ	m ə i̯
مودې	m o d ə i̯
مرغۍ	m r ɣ ə i̯
یخپوښول	i x p o x o l
سورخالو	s o r x ɑ l o
زیاتکوی	z i ɑ t k o i
ژغورلې	ʐ ɣ o r l ə i̯
هیرنکړو	h i r n k ɻ o
پیغام	p i ɣ ɑ m
دملکې	d m l k ə i̯
ځړول	ʐ ɻ o l
اورېدلو	o r ə i̯ d l o
خورئ	x o r ʔ
وړل	w ɻ l
ګډوډ	ɡ ɖ o ɖ
مالکینو	m ɑ l k i n o
دار	d ɑ r
هاضمې	h ɑ ʕ m ə i̯
زیانمنوي	z i ɑ n m ə n o w i
خوراکي	x o r ɑ k i
غونډیو	ɣ o n ɖ i o
هڅې	h ə t͡s e
بدبختي	b ə d b x t i
خوښۍ	x o ʂ e
ورڅخه	w o r t͡s x ə
وختي	w o x t i
خپلک	x p ə l k
ښاد	ʂ ɑ d
سبزيجاتو	s ə b z i d͡ʒ ɑ t o
غور	ɣ o r
راوړي	r ɑ w ɽ i
هرصورت	h ə r s o r t
هرکله	h ə r k ə l ə
ګڼي	ɡ ə ɳ i
نجونې	n ə d͡ʒ o n e
وخو	w o x o
یوربشې	j o r b ə ʂ e
وزن	w o z n
واټن	w ɑ t n
ورځو	w o r ʐ o
رسېدل	r ə s e d ə l
وشي	w o ʂ i
ییه	j i ə
نوخر	n o x ə r
کوونکی	k o w ə n k i
رسیدلی	r ə s i d ə l i
نېښ	n e ʂ
سیمې	s i m e
اوویې	ɑ w o w i e
ياله	j ɑ l ə
وکولای	w o k o l ɑ j
شک	ʃ ə k
ککړونکي	k ə k ɽ o n k i
رامين	r ɑ m i n
پوستکی	p o s t k i
وایي	w ɑ j i
خپلو	x p ə l o
می	m i
نش	n ə ʂ
راولي	r ɑ w ə l i
هوښیارییب	h o ʂ j ɑ r i j b
ولاړیم	w o l ɑ ɽ i m
زیانونو	z i ɑ n o n o
درېيمه	d ə r e j m ə
ډیری	ɖ i r i
ویښته	w i ʂ t ə
زیرمه	z i r m ə
والونه	w ɑ l o n ə
بارکړم	b ɑː r k ɹ ə m
ویښتهیی	w iː ʂ t ə h iː
پوستکی	p uː s t k iː
موټرد	m oː ʈ r d
زیانهم	z iː ɑː n ə h m
كوي	k oː iː
بکس	b k s
کړیوه	k ɹ iː oː h ə
خړه	x ɹ ə
ولري	w oː l r iː
تقویمونه	t ɑː q w iː m uː n ə
فضا	f ɖ ɑː
څرخیدو	ʂ r x iː d oː
ويې	w iː ə
شکر	ʂ k r
چیغه	tʃ iː ɣ ə
اوسسطل	oː s s ʈ l
مۍ	m ə iː
اوړي	oː ɽ iː
اسانۍ	ɑː s ɑː n ə iː
دواړه	d oː ɑː ɽ ə
همتوانیدلي	h m t oː ɑː n iː d l iː
ننوست	n n oː s t
سمد	s m d
کان	k ɑː n
کړئیا	k ɹ ə iː ɑː
نوخر	n oː x r
ټوکو	ʈ oː k oː
ترلاسه	t r l ɑː s ə
ساتونکی	s ɑː t oː n k iː
دښته	d ʂ t ə
ډاډ	ɖ ɑː ɖ
اويو	oː iː oː
سروه	s r oː h ə
خبرد	x b r d
خورا	x oː r ɑː
بحر	b h r
موقعیت	m oː q ɑː ʕ iː t
اخیست	ɑː x iː s t
هوي	h oː iː
اپارتمان	ɑː p ɑː r t m ɑː n
سپي	s p iː
سترطبیب	s t r ʈ b iː b
لوري	l oː r iː
ډکه	ɖ k ə
راټولیږي	r ɑː ʈ oː l iː ʐ iː
مطالعه	m ʈ ɑː l ʕ ə
لهشکه	l h ʂ k ə
مصرف	m ʂ r f
چیو	tʃ iː oː
غوږونه	ɣ w ʐ w n ə
نهغوالرم	n ə ɣ w ɑ l r ə m
توګه	t w ɡ ə
نولسمې	n w l s ə m e
هوايي	h w ɑ j i
واورید	w ɑ w r i d
ګران	ɡ r ɑ n
دقیق	d ə q i q
خرسیو	x r s i w
دماتولو	d m ɑ t w l w
دروبوټ	d r w b w ʈ
مورې	m w r e
عرب	ʕ r b
وویل	w w i l
څنګه	ʈ͡s n ɡ ə
رامين	r ɑ m i n
خوښشوم	x w ʂ w m
خوري	x w r i
پراخه	p r ɑ x ə
اص	ɑ s
پاڅیدم	p ɑ ʈ͡s i d ə m
وګورم	w ɡ w r ə m
نظر	n ə z r
ديار	d i ɑ r
لارۍ	l ɑ r ə i
لاړل	l ɑ r ə l
رنګونه	r n ɡ w n ə
تیږو	t i ʐ w
بچیانو	b ʈ͡ʃ i ɑ n w
بکس	b ə k s
طر	ʈ r
اوربشې	ɑ w r b ʂ e
تښتید	t ʂ t i d
اوسیدونکو	ɑ w s i d w n k w
آزادول	ɑ z ɑ d w l
کېږ	k e ʐ
بیاګلختمي	b i ɑ ɡ l x t ə m i
تقریبا	t ə q r i b ɑ
زوئلا	z w ə l ɑ
رسېږئ	r s e ʐ ə i
نشئ	n ʂ ə i
مطلب	m ə t̪ l ə b
زوړ	z w r
سیمې	s i m e
سبب	s ə b ə b
شمسي	ʂ m s i
کمولو	k m w l w
طریقه	ʈ r i q ə
اپارتمان	ɑ p ɑ r t ə m ɑ n
غن	ɣ n
کثافات	k ə s ɑ f ɑ t
خو	x o
شاګردانو	ʃ ɑ ɡ r d ɑ n o
تو	t o
پیروي	p i r o i
کښتاندونیزیا	k ə t ɑ n d o n i z i ɑ
ګوره	ɡ o r a
شی	ʃ i
سمبال	s ə m b ɑ l
ساتونکو	s ɑ t o n k o
پر	p r
ناروغۍ	n ɑ r o ɣ ə i
اوښسپورو	ɑ w ə x s p o r o
واړ	w ɑ ɽ
رسولی	r s o l i
وېرېږم	w e r e ʐ m
ناوړه	n ɑ w ɽ a
وویو	w o i o
زهرجن	z a h r ɟ n
تیروي	t i r o i
بند	b ə n d
فعالوي	f ʕ ɑ l o i
مهربانه	m a h r b ɑ n a
لخوا	l x o ɑ
پوښل	p o ʂ l
حوضڅخه	ħ o ʈ͡s ə x a
اپریکړه	ɑ p r i k ɽ a
خوبه	x o b a
ویج	w i ʤ
بابل	b ɑ b l
خپلک	x p ə l k
بیا۵	b i ɑ 5
خپروي	x p r o i
اثر	ʔ ə s r
یوسف	i o s f
نشوه	n ʃ o a
بیرته	b i r t a
كوي	k o i
وويل	w o i l
مینځ	m i n ʈ͡s
اوښاوخره	ɑ w ə x ɑ w x r a
غنمو	ɣ n m o
ساینس	s ɑ i n s
ډکه	ɖ k a
مشرانو	m ʃ r ɑ n o
روبوټونه	r o b o ʈ o n a
حیوانات	ħ i w ɑ n ɑ t
موادو	m o ɑ d o
شم	ʃ m
وکړی	w k ɽ i
زرګونو	z ə r ɡ u n o
ووایم	w o ɑ j m
توازن	t o ɑ z n
ترشا	t ə r ʃ ɑ
رنګونه	r ə ŋ ɡ u n ə
تږییی	t ʐ i j i
مسله	m ə s l ə
لکهګرم	l ə k ə ɡ r m
ورسیږي	w ə r s i ʐ i
شرکت	ʃ ə r k ə t
خل	x ə l
عمر	ʕ u m r
لاړې	l ɑ r ə
اوورته	ɑ w o r t ə
پاککړئ	p ɑ k k ə r ʔ
دریم	d ə r i m
اوسیدونکو	ɑ w s i d u n k o
ډولهمېږيان	ɖ o l ə m ʐ i ɑ n
ریس	r i s
خوښشوم	x w ɔ ʂ w o m
وياړي	w i ɑ r i
غوښتنه	ɣ w ɔ x t ə n ə
خرسونو	x ə r s u n o
ولاړیم	w ə l ɑ r i m
حللاره	ħ ə l l ɑ r ə
موټر	m o ʈ r
څاروی	ʂ ɑ r w i
ماشین	m ɑ ʃ i n
ډبرو	ɖ b ə r o
مترو	m ə t r o
سپینې	s p i n ə
کوه	k o h
مخامخ	m ə x ɑ m x
کوونکې	k o w u n k ə
حجم	ħ ə d͡ʒ m
وويلهو	w o w i l ə h o
کولوومور	k o l o w o m o r
شکایت	ʃ k ɑ j ə t
موټرد	m o ʈ r d
خپله	x p ə l ə
ډیرو	ɖ i r o
غږواورېد	ɣ ʐ o ɑ w ə r ə d
لوري	l o r i
ښاد	x ɑ d
هرڅه	h ə r ʂ ə
کړکۍ	k ə r k ə j
پخپله	p ə x p ə l ə
کو	k o
ډل	ɖ l
ځړول	ʐ ə r o l
زیانهم	z i ɑ n ə h m
بوتله	b u t ə l ə
کړل	k ɻ ə l
روحدې	r o ʊ h d e
قوماندانییر	q o m ɑ n d ɑ n i j i r
لاملکیدی	l ɑ m ə l k i d i
زیاتوي	z i ɑ t o w i
پوهیږي	p o h i ʐ i
کونج	k o u n d͡ʒ
پراخې	p r ɑ x e
لګولو	l ɡ o l o
سوځولو	s o ʐ o l o
ګړندي	ɡ ɻ n d i
کارولو	k ɑ r o l o
هلکغمجنشو	h ə l k ɣ m d͡ʒ n ʃ o
ولاړ	w o l ɑ ɻ
ورزشته	w o r z ʃ t ə
ولېږل	w o l e ʐ l
اړتیا	ɑ ɻ t i ɑ
نېغه	n e ɣ ə
کوونکی	k o w o n k i
ګاډۍ	ɡ ɑ ɖ e
نجونې	n d͡ʒ o u n e
لوبډلو	l o b ɖ l o
مدیریت	m ə d i r i t
سوکالۍ	s o k ɑ l e
ټولګي	ʈ o l ɡ i
کنګل	k n ɡ l
واورې	w ɑ o r e
سلطنت	s ə l t̪ n ə t
حشره	h ʃ r ə
بیر	b i r
وړلی	w ɻ l i
شکل	ʃ k ə l
بلانور	b l ɑ n o r
مهارت	m h ɑ r t
زیرمه	z i r m ə
څښي	ʈ͡ʂ ə x i
اواقع	o w ɑ q ɛ ʕ
كوي	k o w i
اواز	o w ɑ z
مليکنه	m ə l i k n ə
شک	ʃ k
کېږيو	k e ʐ i o
وفا	w f ɑ
کوي	k o w i
لوړې	l o ɻ e
ټولد	ʈ o l d
ستونزې	s t o u n z e
شرمیده	ʃ ə r m i d ə
خاندي	x ɑ n d i
خپګان	x p ɣ ɑ n
جن	d͡ʒ ɑ n
رسولی	r ə s u l i
کیند	k i n d
سړکونو	s ɻ k u n o
خواږو	x w ɑ ʐ o
خواړه	x w ɑ ɻ a
روښانه	r o x ɑ n a
پاچاهۍ	p ɑ t͡ʃ ɑ h ə i
دواړه	d w ɑ ɻ a
بارکړم	b ɑ r k ɻ m
خل	x ə l
حمامیا	ħ m ɑ m i ɑ
سندرې	s n d r e
مسله	m s l a
نومونو	n o m u n o
کیمیاوی	k i m i ɑ w i
عادت	ʕ ɑ d ə t
شیانو	ʃ i ɑ n o
کوڅې	k o t͡s e
امر	ɑ m r
نښه	n x a
کښت	k x t
مې	m e
اخلي	ɑ x l i
زوړ	z o ɻ
وکتل	w k t ə l
شپه	ʃ p a
دولتلیواله	d o l t l i w ɑ l a
موده	m o d a
بیلګه	b i l ɡ a
بکس	b k s
کیښودل	k i x o d ə l
افرادو	ɑ f r ɑ d o
راوړه	r ɑ w ɻ a
بزګرې	b z ɡ r e
اورید	ɑ w r i d
ځلانده	t͡s l ɑ n d a
ورشي	w r ʃ i
کس	k ə s
وټاکي	w t ɑ k i
بیاګلختمي	b i ɑ ɡ l x t m i
نولسمې	n o l s m e
خوبه	x o b a
لرغوني	l r ɣ u n i
خدمتګار	x d m t ɡ ɑ r
زیان	z i ɑ n
همت	h ə m t
اوښسپورچی	ɑ w x s p o r t͡ʃ i
ورکړ	w ɔ r k ɔ ɻ
ودانۍ	w ɔ d ɑː n ə i
کوې	k ʊ ə i
شو	ʃ ʊ
شکلو	ʃ ʊ k l ʊ
سندرې	s ʊ n d r ə i
ککړونکي	k ʊ k ɔ ɻ ʊ n k i
اغیزمنه	ɑ ɣ i z m ʊ n ə
پروا	p r ʊ w ɑ
هوښيارزیرک	h ʊ x j ɑː r z iː r k
کینم	k iː n ʊ m
وتلو	w ʊ t l ʊ
راټولولو	r ɑ ʈ ʊ l ʊ l ʊ
اص	ɑ s
نفرت	n ʊ f r ʊ t
حرارت	x r ɑː r ʊ t
خبرې	x b ʊ r ə i
مړشو	m ɔ r ʃ ʊ
جاد	d͡ʒ ɑː d
هي	h i
خورن	x ʊ r n
خوخرغمجن	x ʊ x r ɣ m d͡ʒ n
ساري	s ɑː r i
جن	d͡ʒ n
ننه	n ʊ n ə
سبزیو	s b z i ʊ
هیچا	h iː t͡ʃ ɑ
یاد	j ɑː d
وغواړی	w ɣ w ɑː r i
بیه	b iː h
کتلرامين	k t ʊ l r ɑː m i n
لوړوي	l ʊ r ʊ j
حیرانوونکی	x iː r ɑː n ʊ w ʊ n k i
راغی	r ɑː ɣ i
کوټې	k ʊ ʈ ə i
محاسبې	m ʊ h ɑː s b ə i
اوږده	ɔ w ʒ d ə
چاقور	t͡ʃ ɑː q ʊ r
دوسته	d ʊ s t ə
رامینځته	r ɑː m iː n ʈ ə
ویره	w iː r ə
ډا	ɖ ɑ
لاسي	l ɑː s i
مطالعه	m ʊ t ɑː l ʕ ə
ناسته	n ɑː s t ə
مهمو	m ʊ h m ʊ
تلویزیونریکارډرسپیکر	t ʊ l w iː z i ʊ n r iː k ɑː r ɖ r s p iː k r
هوښیارتیا	h ʊ x j ɑː r t iː ɑ
ګټوره	ɡ ʈ ʊ r ə
تادې	t ɑː d ə
نڅا	n ə t͡s a
ایالاتو	a j a l a t o
خدمتبه	x d m a t b a
اوسسطل	a w s s t l
نړیوالو	n ɻ j w a l o
عاید	ʕ a j d
خوښي	x w ʈ͡ʂ i
هوښیار	h o ʈ͡ʂ j a r
ازادۍ	a z a d ə i
لږوو	l ʈ͡ʂ o w
ونډه	w n ɖ a
اوښلرم	a w ʈ͡ʂ l r m
ښودلې	ʂ o d l e
انتقال	a n t q a l
کرنې	k r n e
نفرتوز	n f r t o z
تیر	t i r
بلې	b l e
مغز	m ɣ z
وده	o d a
حافظې	ħ a f i z e
جنجالونه	d͡ʒ n d͡ʒ a l o n a
سانتيګراد	s a n t i ɡ r a d
څاروي	t͡s a r w i
څرخیدل	t͡s r x i d l
ژوروالی	ʐ o r w a l i
چاکلیټ	t͡ʃ a k l i t
صورت	s o r a t
مړینې	m ɻ i n e
ناستو	n a s t o
ویښتانو	w i ʂ t a n o
ورته	w o r t a
کوه	k o h
مشورې	m ʂ o r e
نېښو	n e ʂ o
ماشی	m a ʂ i
راستنه	r a s t n a
سوله	s o l a
شی	ʃ i
جالڅخه	d͡ʒ a l t͡s x a
انسانانو	a n s a n a n o
کو	k o
خوښبوی	x o ʈ͡ʂ b o i
اچوي	a t͡ʃ o i
پلورونکو	p l o r o n k o
پوهې	p o h e
هوښيارزیرک	h o ʈ͡ʂ j a r z i r k
دالتهاب	d a l t a h a b
شیدې	ʃ i d e
سخت	s x t
غریب	ɣ ə r iː b
خطبقه	x ə t̪ b ə q ə
تږییی	t̪ ʐ iː iː iː
نجونې	n ə d͡ʒ uː n e
سرونو	s ə r uː n o
رسوي	r ə s uː i
اوری	a u r iː
بلکې	b ə l k e
حاصلاتو	ħ ɑː s ɪ l ɑː t o
وخه	w ə x ə
چم	t͡ʃ ə m
ډبلده	ɖ b ə l d ə h
نړیوالو	n ə ɻ iː w ɑː l o
درزو	d ə r z o
وکړئ	w ə k ə ɻ ʔ
خطرونو	x ə t̪ r uː n o
بچیان	b ə t͡ʃ iː ɑː n
غوسه	ɣ uː s ə
عدمتوازن	ʕ ə d ə m t o ɑː z ə n
لوړې	l o ɻ e
تصفیه	t ə s f iː h
وچلوم	w ə t͡ʃ l o m
قانعکړي	q ɑː n ʕ k ə ɻ i
ډیرو	ɖ iː r o
وروسته	w ə r uː s t ə h
پرته	p ə r t ə h
اجزا	ɑː d͡ʒ z ɑː
مدیریت	m ə d iː r iː t
تعقیبکړه	t ʕ ə q iː b k ə ɻ ə
کښتاندونیزیا	k ʂ t ɑː n d o n iː z iː ɑː
اوریالته	a u r iː ɑː l t ə h
بلکل	b ə l k ə l
کلنۍ	k ə l n e
ویجاړونکی	w iː d͡ʒ ɑː ɻ o n k i
ساعتونو	s ɑː ʕ t o n o
انسان	ɑː n s ɑː n
ویلد	w iː l d
پراختیا	p r ɑː x t iː ɑː
چاکلیټ	t͡ʃ ɑː k l iː ʈ
زرګونو	z ə r ɡ uː n o
کبانو	k ə b ɑː n o
ګران	ɡ r ɑː n
ومومي	w ə m o m i
راځی	r ɑː ʐ i
میاشتې	m iː ɑː ʂ t e
تیرې	t iː r e
مسلې	m ə s l e
ورزشته	w ə r z ʂ t ə h
خاص	x ɑː s
ییوړی	iː j o ɻ i
تېر	t̪ ɛ r
کوونکی	k uː n k i
دروازې	d r uː ɑ z e
وتلو	uː t l u
نوکرانو	n uː k r ɑː n u
واخلئ	uː ɑ x l ʔ
پلی	p l iː
مساح	m s ɑː ħ
اوسې	ɑː u s e
اشاره	ɑː ʃ ɑː r ɛ
کړو	k ɽ u
نولسمې	n uː l s m e
زیاتکوی	z iː ɑ t k uː i
لارښوونې	l ɑː r x uː n e
څښتن	ʦ ɑː t n
بسکړل	b s k ɽ l
ماتی	m ɑː t iː
زهرجن	z ɛ h r d͡ʒ n
حللاره	ħ l l ɑː r ɛ
مګرولې	m ɡ r uː l e
ښیي	x iː i
نیول	n iː u l
خوبي	x uː b i
وموند	uː m uː n d
تیرید	t iː r iː d
شور	ʃ uː r
رګونو	r ɡ uː n u
سلطنت	s l ʈ n t
دالویډ	d ɑː l uː iː ʈ
ملیون	m l iː uː n
مو	m u
ویج	uː iː d͡ʒ
شامل	ʃ ɑː m l
سو	s u
مخنیوي	m x n iː u i
کسوویلزه	k s uː iː l z ɛ
لري	l r i
پټي	p ʈ i
هلکغمجنشو	h l k ɣ m d͡ʒ n ʃ u
غنماو	ɣ n m ɑː u
ځورونکی	ʣ uː r uː n k i
خپلیغوجلی	x p l iː ɣ uː d͡ʒ l i
وختوه	uː x t uː h
ښوونځي	x uː n ʣ i
حبوباتو	ħ b uː b ɑː t u
هڅې	h ʦ e
ملکه	m l k ɛ
کمزوری	k m z uː r i
مهمه	m ɛ h m ɛ
ټوللاغمجن	ʈ uː l l ɑː ɣ m d͡ʒ n
تخریب	t̪ ə x r iː b
تیریدو	t̪ iː r iː d w
شاید	ʃ ɑː j ə d
کانټینرونه	k ɑː n ʈ iː n r w n ə
آفریند	ɑː f r iː n d
لهشکه	l ə ʃ k ə
سبزيجاتو	s ə b z iː ʒ ɑː t w
غله	ɣ l ə
ماتيږي	m ɑː t̪ iː ʐ iː
مسؤل	m ə s ʔ ə l
ښکارکوونکو	x k ɑː r k w w n k w
لرګیو	l r ɡ iː w
مګرولې	m ɡ r w l eː
خورن	x w r n
خانو	x ɑː n w
خرد	x r d
رنګونه	r n ɡ w n ə
بابل	b ɑː b l
ځایونو	ʐ ɑː j w n w
لوین	l w iː n
اوریالته	ɑː w r iː ɑː l t̪ ə
توکي	t̪ w k iː
سفرلنډ	s ə f r l n ʈ
لام	l ɑː m
خرس	x r s
ساینسپوهان	s ɑː j n s p w h ɑː n
ځایه	ʐ ɑː j ə
یاد	j ɑː d
غږونو	ɣ ʐ w n w
اروپا	ɑː r w p ɑː
غنمو	ɣ n m w
حرکت	h r k t̪
کېیخ	k eː j x
څه	ʈ ə
ُته	ʔ t̪ ə
بلانور	b l ɑː n w r
سندرې	s n d r eː
طبیعي	ʈ b iː ʔ iː
هډوکو	h ʈ w k w
حشرات	h ʃ r ɑː t̪
پوستکي	p w s t̪ k iː
پدیده	p d iː d ə
کوشلرغونی	k w ʃ l r ɣ w n iː
سیټ	s iː ʈ
دیمن	d iː m n
آرام	ɑː r ɑː m
ګورمنوکله	ɡ w r m n w k l ə
بخارا	b x ɑː r ɑː
وویل	w w iː l
شګو	ʃ ɡ w
خدمتګارانې	x ə d̪ m ə t̪ ɡ ɑ r ɑ n e
پروسې	p ə r o s e
ناوخ	n ɑ w x
لرئ	l ə r ʔ
نیول	n i j o l
شګو	ʃ ɡ o
قیمتيملغلرې	q i m t̪ i m l ɣ l ə r e
دروغویل	d̪ r o ɣ o w i l
خردرلود	x ə r d̪ ə r l o d̪
ډولو	ɖ o l o
هریو	h ə r i j o
کاربن	k ɑ r b ə n
تیز	t̪ i z
دادېوالو	d̪ ɑ d̪ e w ɑ l o
لارې	l ɑ r e
هڅو	h ə ʂ o
خطر	x a t̪ r
اوښانله	a w x ɑ n l ə h
آیاسطل	ɑ i ɑ s t̪ l
پیرودلو	p i r o d̪ l o
سلطنت	s ə l t̪ n ə t̪
ماهيانو	m ɑ h i ɑ n o
سپیو	s p i j o
ستاس	s t̪ ɑ s
کوو	k o w
موروه	m o r o w ə h
خبر	x b ə r
غنمبه	ɣ n ə m b ə h
منظم	m ə n z̪ ə m
چمتو	t͡ʃ ə m t̪ o
پراخې	p r ɑ x e
اوسسطل	a w s s t̪ l
عین	ʕ i n
راتلونکی	r ɑ t̪ l o n k i
ننوتلو	n ə n o t̪ l o
معرفي	m ʕ ə r f i
معمولاًاغوندي	m ʕ ə m u l ɑ ɣ o n d̪ i
صنعتونو	s n ʕ ə t̪ o n o
مازدیګر	m ɑ z d̪ i ɡ ə r
چیت	t͡ʃ i t̪
شوي	ʃ o w i
ای	ɑ i
زیانونو	z i ɑ n o n o
خون	x o n
پیسې	p i s e
راولې	r ɑ w ə l e
کېږ	k e ʐ
شوې	ʃ o w e
هالنډیانو	h ɑ l n ɖ i ɑ n o
مليکنه	m ə l i k ə n ə h
ټو	ʈ o
واخلئ	w ɑ x l ə
مسله	m ə s l ə
مننې	m ə n ə n e
غیر	ɣ a i r
اصلي	a s l i
ومومئ	w ə m o m ə
کښتاندونیزیا	k ʂ t ɑ n d o n i z i ɑ
عجبه	ʕ ə d͡ʒ b ə
تودوخې	t o d o x e
قانعکړي	q ɑ n ʕ k ə ɽ i
قهر	q ə h r
وړتیاوو	w ɽ t i ɑ w o
سرو	s ə r o
والونه	w ɑ l o n ə
رامين	r ɑ m i n
نولسمې	n o l s ə m e
کیږی	k i ʝ i
غواړي	ɣ o ɑ ɽ i
کولاې	k o l ɑ e
ګټورې	ɡ ʈ o r e
میوې	m i w e
بوټو	b o ʈ o
همبرداشت	h ə m b ə r d ɑ ʂ t
شاوخوا	ʃ ɑ w x w ɑ
وياړي	w i ɑ ɽ i
مخ	m ə x
اړه	ɑ ɽ ə
کړل	k ə ɽ l
ددې	d ə d e
حشره	ħ ə ʂ r ə
پوهیږم	p o h i ʝ m
وران	w o r ɑ n
ووایم	w o w ɑ i m
پوهنتونو	p o h n ə t o n o
خل	x l
ناڅاپه	n ɑ ʈ ɑ p ə
مسموم	m ə s m o m
پراته	p r ɑ t ə
کیفیت	k i f i t
کېدای	k e d ɑ i
کړي	k ə ɽ i
مودې	m o d e
مه	m ə h
ډیرو	ɖ i r o
پسرل	p ə s ə r l
بوډا	b o ɖ ɑ
ښکلیدیزه	ʂ k l i d i z ə
وړلی	w ɽ l i
دماغکې	d ə m ɑ ɣ k e
خواړه	x w ɑ ɽ a
تهو	t ə w o
ګاونډیو	ɡ ɑ w n ɖ i w o
وهي	w ə h i
ډاډه	ɖ ɑ ɖ a
وغواړی	w ɣ w ɑ ɽ i
ناروغ	n ɑ r w ɣ
مدیر	m d i r
وویلنه	w w i l n a
ورځو	w r ʐ o
کیلوګرامه	k i l o ɡ r ɑ m a
ال	ɑ l
لکه	l k a
بیلګه	b i l ɡ a
لاسي	l ɑ s i
پوهېږې	p w h ɛ ʐ ɛ
مشرهوه	m ʂ r h w a
کېهګۍ	k ɛ h ɡ ɛ
چیغې	t͡ʃ i ɣ ɛ
وایم	w ɑ i m
همبرداشت	h m b r d ɑ ʂ t
ونې	w n ɛ
موادو	m w ɑ d w o
وترنرۍ	w t r n r ɛ
آیایا	ɑ i ɑ i ɑ
راضي	r ɑ ʈ͡ʂ i
ممکن	m m k n
