نېښو	n ə ʂ o
هیوادونو	h i w ɑ d w o n o
منځه	m n ʐ a
دروازه	d r w ɑ z a
وړنه	w r n a
زیاتې	z i ɑ t ɛ
پیرودلو	p i r w d l w o
شاملیدو	ʂ ɑ m l i d w o
شرکت	ʂ r k t
ګرځیچی	ɡ r ʐ i t͡ʃ i
سبزیو	s b z i w o
یوتږی	i w t ʐ i
عادت	ʕ ɑ d t
غنمو	ɣ n m w o
شامل	ʂ ɑ m l
پاککړئ	p ɑ k k r ʔ
ناک	n ɑ k
نیشکیبی	n i ʂ k i b i
درنکړم	d r n k r m
انسان	ɑ n s ɑ n
کبنیونکو	k b n i w o n k w o
اوښخر	ɑ w x kʰ r
میلیونو	m i l i w o n w o
خوا	x w ɑ
اوښاو	ɑ w x ɑ w
طرف	t̪ ɾ ə f
توګه	t̪ o ɣ ə
حیواناتو	x i j w ɑ n ɑ t̪ o
ورکړاو	w ɔ ɾ k ɻ ɑ w
پلورنځي	p ə l o ɾ n d͡z i
هرحال	h ə ɾ h ɑ l
دوبي	d̪ o b i
بوډا	b o ɖ ɑ
یوروبایوازې	j o ɾ o b ɑ j w ɑ z e
هلکغمجنشو	h ə l k ɣ ə m d͡ʒ n ə ʃ o
مرګاويا	m ə ɾ ɣ ɑ w j ɑ
لویڅاروی	l o w i t͡s ɑ ɾ o w i
کوونکې	k o w u n k e
حاکم	x ɑ k ə m
سفیر	s ə f i ɾ
ستاینه	s t̪ ɑ j n ə
ستړییم	s t̪ ɻ i j i m
اوروبوټو	ɑ w ɾ o b o t̪ o
مزد	m ə z d̪
څنګه	t͡s ə ŋ ə
یلد	j ə l d̪
بند	b ə n d̪
خوامې	x w ɑ m e
څراغولری	t͡s ə ɾ ɑ ɣ o l ə ɾ i
اورونه	ɑ w ɾ o n ə
مشروباتو	m ə ʃ ɾ o b ɑ t̪ o
هڅوي	h ə t͡s o j
ګرانو	ɡ ə ɾ ɑ n o
قوي	q o w i
یوسي	j o w s i
ډګرونو	ɖ ə ɡ ɾ o n o
سپینې	s p i n e
جهیلو	d͡ʒ ə h i l o
راویښ	ɾ ɑ w i x
لاملکیدی	l ɑ m ə l k i d̪ i
وويلهو	w o w i l ə h o
ووهی	w o w h i
قرآن	q ɾ ɑ n
آیا	ɑ j ɑ
ټینګار	t̪ i ŋ ɡ ɑ ɾ
حرارت	x ɾ ɑ ɾ ə t̪
اوبو	ɑ w b o
توان	t̪ o ɑ n
پوښتلڅه	p o x t̪ ə l t͡s ə
مطالعه	m ə t̪ ɑ l ɛ h ə
واخیسته	w ɑ x i s t̪ ə
تودوخې	t̪ o d̪ o x e
لومړیتوب	l o m ɻ i t̪ o b
لاړ	l ɑ ɾ
لوړې	l u ɾ e
ځي	ʐ i
سوله	s u l h a
تیریدو	t i ɾ i d u
سبزيجاتو	s b z i d͡ʒ a t u
ومومئ	w m u m ʔ i
ښکارکوونکو	x k a ɾ k u w u n k u
میږیان	m i ʐ i a n
خونې	x w u n e
مختلف	m x t l f
بوځي	b u ʐ i
ورکړحمي	w ɾ k ɾ ʔ h m i
مليکنه	m l i k n h a
ښود	x u d
ویزه	w i z h a
ولیده	w l i d h a
ماو	m a w
تیږو	t i ʐ u
وېرېږه	w e ɾ e ʐ h a
حکیم	h k i m
مینه	m i n h a
زیرمه	z i ɾ m h a
نوۍ	n w ə i
زهرجننېښلري	z h ɾ d͡ʒ n n e x l ɾ i
اوساتونکو	a w s a t u n k u
ویده	w i d h a
پروسې	p ɾ u s e
لوبډلو	l u b ɖ l u
موږته	m w ʐ t h a
ګلانو	ɡ l a n u
وساتی	w s a t i
کېیخ	k e i x
زهرجن	z h ɾ d͡ʒ n
خرسد	x ɾ s d
واورې	w a w ɾ e
هغوی	h ɣ w i
دایو	d a j u
راټولیږي	ɾ a ʈ u l i ʐ i
اخیستلو	a x i s t l u
روانه	ɾ w a n h a
سړکونو	s ɾ k u n u
منظم	m n ʐ m
پیرودونکي	p i ɾ u d u n k i
زوئلا	z w ʔ l a
منشي	m n ʃ i
اغېزه	a ɣ e z h a
میشته	m i ʃ t h a
سطل	s ʈ l
دیوالونه	d i w a l u n h a
کینم	k i n m
نن	n ə n
کارول	k ɑː r o l
دي	d i
زینو	z iː n o
شا	ʃ ɑː
دویو	d o w iː o
نوم	n o m
ساري	s ɑː r i
وګټو	w ʊ ɡ t o
وو	w o
قهوې	q ə h w e
کچالو	k ʊ t͡ʃ ɑː l o
ریګ	r iː ɡ
انتخاب	ɪ n t ɪ x ɑː b
ډاکټرانو	ɖ ɑː k t r ɑː n o
عجبه	ʕ ɪ ʤ b ə
اوارخطاوه	o ɑː r x ʊ t ɑː w ə
بریا	b r iː ɑː
چې	t͡ʃ e
وظیفې	w ʊ z iː f e
اوبوته	o b o t ə
زهرجن	z ə h r ʤ n
واقعادا	w ɑː q iː ɑː d ɑː
شلو	ʃ l o
سړو	s ʊ r o
کېښود	k e x o d
غواړي	ɣ w ɑː r i
قطب	q ʊ t b
قوماند	q o m ɑː n d
څښم	ʦ ʊ m
ولېږ	w o l e ʒ
سړى	s ʊ r i
دادېوالو	d ɑː d e w ɑː l o
ویښته	w iː x t ə
دوبي	d o b i
ورځده	w o r z d ə
تردې	t r d e
شکلو	ʃ k l o
ټینګار	ʈ iː n ɡ ɑː r
وویله	w o w iː l ə
هڅې	h ʊ ʦ e
وږیوی	w ʊ ʒ iː w i
بېلولو	b e l o l o
پدې	p d e
لورده	l o r d ə
ډګرونو	ɖ ʊ ɡ r o n o
رسیږي	r s iː ʒ i
ملیونونو	m l iː o n o n o
لومړي	l o m ʊ r i
کړل	k ʊ r l
کمښت	k ʊ m x t
آسد	ɑː s d
درجې	d r ə d͡ʒ e
لاندې	l ɑː n d e
زهر	z ʊ h r
جیب	d͡ʒ iː b
لوبې	l uː b e
ملیونونه	m l iː j uː n uː n ə
مسله	m s ʊ l ə
نرمه	n r m ə
غرونو	ɣ r uː n uː
اورې	ɑː w r e
ویلو	w iː l uː
تولید	t uː l iː d
کاره	k ɑː r ə
اخیستلو	ɑː x iː s t l uː
وران	w r ɑː n
چی	t͡ʃ iː
ولټوله	w ʊ l t uː l ə
ننوځي	n ʊ n w ʊ d͡ʒ iː
پوزې	p uː z e
لرم	l r m
پوهیږي	p uː h iː ʒ iː
واد	w ɑː d
شوه	ʃ uː h
څیړنې	ʂ iː r n e
سیوري	s iː j uː r iː
تخریب	t x r iː b
زړونو	z r uː n uː
کبانو	k b ɑː n uː
وکتل	w k t l
اغیزمنه	ɑː ɣ iː z m ʊ n ə
نجونې	n d͡ʒ uː n e
لیده	l iː d ə
پراخې	p r ɑː x e
چونګښې	t͡ʃ uː ŋ x e
مقدار	m q d ɑː r
کریم	k r iː m
خرسد	x r s d
وفا	w f ɑː
ثانيه	θ ɑː n iː ə
واښو	w ɑː x uː
خدمتګار	x d m t ɡ ɑː r
واخیسته	w ɑː x iː s t ə
تیز	t iː z
راغلې	r ɑː ɣ l e
شونیه	ʃ uː n iː ə
هټۍ	h t e
کسانو	k s ɑː n uː
داگر	d ɑː ɡ r
خاورې	x ɑ w ə ɾ i
طبیعت	t̪ ə b iː ʕ ə t̪
اوښسپورو	ɑ w ə x s p ɔ ɾ w
اپارتمان	ɑ p ɑ ɾ t̪ m ɑ n
ناوړه	n ɑ w ɽ ə
خورن	x ɔ ɾ n
کیسه	k i s ə
ونیسي	w ə n iː s i
ګډوډ	ɡ ə ɖ w ɖ
نویمنځ	n ɔ j iː m ə n ʈ͡s
همت	h ə m t̪
تياره	t̪ iː ɑ ɾ ə
مغروره	m ə ɣ ɾ uː ɾ ə
اورېدلو	ɑ w ə ɾ iː d̪ l w
ګړندي	ɡ ə ɽ n̪ d i
مسلمانو	m ə s l i m ɑ n w
باید	b ɑ j i d̪
ډالره	ɖ ɑ l ə ɾ ə
پلورونکي	p l ɔ ɾ w ə n k ə i
کونج	k w ə n̪ d͡ʒ
چیچلو	t͡ʃ i t͡ʃ l w
دلی	d̪ l iː
شکایت	ʃ k ɑ j i t̪
پامه	p ɑː m ə
تیریدو	t̪ iː ɾ i d w
تکیه	t̪ ə k i j ə
نرخونه	n ə ɾ x w n ə
جهيلونو	d͡ʒ ə h i l w n w
پلورنځي	p l ɔ ɾ ə n ʈ͡s i 
اوبوته	ɑ w b w t̪ ə
اف	ɑ f
ډوکو	ɖ w k ɔ
شا	ʃ ɑ
کړي	k ə ɽ i
بلله	b ə l l ə
ییوړی	j j w ɽ i
کار	k ɑ ɾ
وده	w ə d̪ ə
پاڅېده	p ɑ ʈ͡s ə d̪ ə
تمرین	t̪ ə m ɾ iː n
لری	l ə r iː
خاندي	x ɑː n̪ d i
اوربشې	ɑ w ə ɾ b ʃ i
نظريه	n ə z ə r i j ə
شتون	ʃ t̪ w n
سمیر	s ə m iː ɾ
نورو	n w ɾ w
وی	w iː
پلاره	p l ɑ ɾ ə
سترطبیب	s ə t̪ ɾ ə t̪ b iː b
ښود	x u d
بندې	b ə n d e
ویلز	w i l z
کشف	k ʃ f
مختلف	m x t l f
انګړ	ɑ n g ɻ
وموند	w m u n d
وچکړه	w t͡ʃ k ɻ a
وسپاري	w s p ɑ r i
کیږم	k i ʂ m
ورځندا	w r z n d ɑ
ماشینونو	m ɑ ʃ i n u n u
ځلی	z l i
تر	t r
ولاړیم	w l ɑ r i m
ددې	d d e
ژر	ʐ r
خپلیغوجلی	x p l i ɣ w d͡ʒ l i
پیغام	p i ɣ ɑ m
زام	z ɑ m
پوستکی	p w s t k i
کوی	k w i
اوسې	ɑ w s e
ومومي	w m u m i
وغواړي	w ɣ w ɑ r i
ګرانی	g r ɑ n i
کسانو	k s ɑ n u
وهلې	w h l e
ساعتونو	s ɑ ʕ t u n u
ولېږل	w l e ʐ l
ابن	ɑ b n
راتل	r ɑ t l
نمرکزونو	n m r k z u n u
اوساتونکو	ɑ w s ɑ t u n k u
سړییم	s ɻ i i m
لیدو	l i d w
ونيو	w n i u
نودا	n u d ɑ
ګډوډۍ	g ɖ w ɖ ə i
زامنر	z ɑ m n r
نیولیوو	n i u l i u w
بیام	b i ɑ m
سړي	s ɻ i
ټوکو	ʈ w k u
تجارت	t d͡ʒ ɑ r ɑ t
کبنیونکو	k b n i u n k u
ښځی	x z i
پلورونکې	p l w r u n k e
موند	m u n d
ښوونه	x w u n a
دیو	d i w
اوربشې	a w r b ʃ e
ویشي	w i ʃ i
راتلونکی	r a t l w n k i
نویمنځ	n w i m n ʒ
ونيو	w n i w
دوسته	d w s t h
روانه	r w a n h
راوړئ	r a w ɽ ʔ
راختلو	r a x t l w
دان	d a n
کتلرامين	k t l r a m i n
ولاړ	w l a ɽ
مقدار	m q d a r
فاطمې	f a t m e
کړي	k ɽ i
سیندونو	s i n d w n w
پوهیدم	p w h i d m
کمپیوټر	k m p i w ʈ r
پاي	p a i
پیشو	p i ʃ w
صنعتونو	s n ʕ t w n w
ټولساتونکي	ʈ w l s a t w n k i
دقیق	d q i q
ژغورلې	ʐ ɣ w r l e
ډکه	ɖ k h
شامل	ʃ a m l
ناروغ	n a r w ɣ
چلولو	t͡ʃ l w l w
استراحت	a s t r a h t
ډکتاج	ɖ k t a ʒ
واورېد	w a w r e d
اب	a b
اد	a d
بندې	b n d e
مسؤل	m s ʔ l
بیر	b i r
فعالوي	f ʕ a l w i
څرخیدو	ʈ͡s r x i d w
ساری	s a r i
راغ	r a ɣ
راځي	r a ʒ i
اوواښه	a w w a x h
کوئ	k w ʔ
اندیښنه	a n d i x n h
قوي	q w i
تاسورښتونیوی	t a s w r x t w n i w i
خپره	x p r h
کاروان	k a r w a n
پوهې	p w h e
داسطل	d ɑː s t ə l
کولای	k uː l ɑː j
خونې	x uː n e
ډېرې	ɖ e r e
لاندیښمن	l ɑː n d i x m ə n
پامیی	p ɑː m iː j
همغږي	h ə m ɣ ʐ i
ساعته	s ɑː ʕ ə t ə
تاوتریخجنټکونه	t ɑː w t r i x d͡ʒ n ʈ k uː n ə
منشي	m ə n ʃ i
کړل	k ɽ l
آرامه	ɑː r ɑː m ə
ویې	w iː e
خوښشوم	x w ɔː ʂ w ə m
هیڅوک	h iː ʈ͡s w ə k
ریس	r iː s
لږوو	l ʐ w ə w
زنګونو	z ə ŋ w ə n ə w
ډګرونو	ɖ ə ɡ r ə w ə n ə w
ما	m ɑː
عدني	ʕ d n i
درملنه	d ə r m ə l ə n ə
ووهي	w w ə h i
مرغان	m ə r ɣ ɑː n
تدابیر	t ə d ɑː b iː r
پناه	p ə n ɑː h
ګاونډیو	ɡ ɑː w n ɖ iː w
حیرانتیا	ħ iː r ɑː n t iː ɑː
افریقایي	ɑː f r iː q ɑː j i
ماهم	m ɑː h ə m
رت	r ə t
کاف	k ɑː f
انسانیت	ɑː n s ɑː n iː t
ویده	w iː d ə
ریګنه	r iː ɡ ə n ə
بارکړې	b ɑː r k ɽ e
سبب	s ə b ə b
ټاکلي	ʈ ɑː k l i
مېرمنې	m e r m ə n e
معاشونه	m ʕ ɑː ʂ w ə n ə
ډریور	ɖ r iː w ə r
هیوادونو	h iː w ɑː d ə w ə n ə w
جهيلونو	d͡ʒ ə h iː l ə w ə n ə w
ګډوډۍ	ɡ ɖ w ə ɖ e
بډایه	b ɖ ɑː j ə
ورکولې	w ə r k uː l e
میبار	m iː b ɑː r
تګنه	t ɡ ə n ə
شمالي	ʂ m ɑː l i
وګټو	w ɡ ʈ w ə w
پروسې	p ɾ u s ɛ
وګټو	w ɡ ʈ o
خپور	x p o ɾ
واقعادا	w ɑ q e ɑ d ɑ
لیوالتیا	l j o w ɑ l t j ɑ
وکولیشم	w k o l i ʃ m
چارې	t͡ʃ ɑ ɾ ɛ
وینې	w i n ɛ
ډاډ	ɖ ɑ ɖ
فایبر	f ɑ j b ɾ
بریالۍ	b ɾ j ɑ l ɛ
تیروي	t i ɾ o j
دالوګید	d ɑ l o ɡ i d
ښکلې	x k l ɛ
ایستل	ɑ j s t l
ناروغۍ	n ɑ ɾ o ɣ ɛ
درد	d ɾ d
شينو	ʃ i n o
نهو	n ɛ h o
ګڼي	ɡ ɳ i
حوضته	ħ o z t ɑ
وضعیت	w z ʕ i t
اړتیا	ɑ ɽ t j ɑ
اوتا	ɑ w t ɑ
لوبغاړې	l o b ɣ ɑ ɽ ɛ
اوسیده	ɑ w s i d ɑ
پوښتلڅه	p o x t l ʦ ɑ
انسانیت	ɑ n s ɑ n i t
محاسبې	m ħ ɑ s b ɛ
سړییم	s ɽ i j m
ښخو	x x o
چاپیریال	t͡ʃ ɑ p i ɾ j ɑ l
اوربشې	ɑ w ɾ b ʃ ɛ
زیانهم	z j ɑ n ɛ h m
لای	l ɑ j
اوبوته	ɑ w b o t ɑ
ابنسینایو	ɑ b n s i n ɑ j o
درنکړم	d ɾ n k ɽ m
جامو	d͡ʒ ɑ m o
همبرداشت	h ɛ m b ɾ d ɑ ʃ t
کوي	k o j
وي	w i
دماغکې	d m ɑ ɣ k ɛ
ماشید	m ɑ ʃ i d
نوکرانو	n o k ɾ ɑ n o
غورځوي	ɣ o ɾ ʝ o j
نیم	n i m
غوښې	ɣ o x ɛ
راوتلی	ɾ ɑ w t l i
وظیفې	w z i f ɛ
نیشکیبی	n i ʃ k i b i
ککړ	k k ɻ
میږیان	m i ʐ i ɑ n
یلد	j l d
سیندونو	s i n d o n o
ښوویل	x o w i l
همت	h ə m t
ستړیا	s t ɻ i ɑ
لکهګرم	l k h ɡ r m
درلوده	d r l o d ə
عقلۍ	ʕ q l ə i̯
بی	b i
پاتی	p ɑ t i
هرکار	h ə r k ɑ r
درلودو	d r l o d o
کمزوریتوب	k m z o r i t o b
جوړې	j o ɻ ə i̯
پیښه	p i x ə
یوروباټ	j o r o b ɑ ʈ
غوسه	ɣ o s ə
نویمنځ	n o w i m n ʂ
ماشییو	m ɑ ʃ i j o
انسانانو	ɑ n s ɑ n ɑ n o
فوټبال	f o ʈ b ɑ l
پوهیږي	p o h i ʐ i
ویلي	w i l i
زیانمنه	z i ɑ n m ə n ə
ما	m ɑ
اغیزمنه	ɑ ɣ i z m ə n ə
مساوي	m s ɑ w i
حلدینود	ħ l d i n o d
سبزي	s b z i
لا	l ɑ
ورکړې	w o r k ɻ ə i̯
عقل	ʕ q l
ار	ɑ r
قه	q ə
اوويښتان	o w i x t ɑ n
راشي	r ɑ ʃ i
بیا۵	b i ɑ 5
توازنیی	t o ɑ z n i j
هوښیاره	h o x j ɑ r ə
اچوو	ɑ t͡ʃ o w
ټاکلي	ʈ ɑ k l i
څرخیدل	ʂ r x i d l
چیو	t͡ʃ i o
ورکړ	w o r k ɻ
اوږدو	o ʐ d o
اړه	ɑ ɻ ə
کېهګۍ	k ə i̯ h ɡ ə i̯
دادی	d ɑ d i
راوړې	r ɑ w ɽ e
ګلان	ɡ l ɑ n
لیرې	l i r e
نومونه	n o m u n e
مخنیوي	m x n i o i
ابنسینایو	ɑ b n s i n ɑ j o
ساتنه	s ɑ t n e
اواز	ɑ w ɑ z
سمد	s m d
ګازونه	ɡ ɑ z u n e
مصرف	m s r f
ثانيه	θ ɑ n i e
کړم	k ɽ m
دکار	d k ɑ r
پخوراکي	p x o r ɑ k i
مودې	m u d e
راضي	r ɑ ð i
يوه	j o h e
خلا	x l ɑ
لوبډله	l u b ɖ l e
یلد	j l d
وڅښي	w t͡s ʂ i
سلطنت	s l t n t
غوږونو	ɣ o ʐ u n o
ماښامندا	m ɑ ʂ ɑ m n d ɑ
ګورمنوکله	ɡ o r m n o k l e
مختلفو	m x t l f o
سرو	s r o
نیوه	n i o h e
سندره	s n d r e
اورونه	ɑ o r u n e
کڅوړوبارکول	k t͡s o ɽ o b ɑ r k u l
پروسو	p r o s o
بدنروغ	b d n r o ɣ
کېږ	k e ʐ
ځمکه	t͡s m k e
عثمانیانو	ʕ o s m ɑ n i ɑ n o
بیه	b i h e
اورېدلي	ɑ o r e d l i
ویینیسو	w i i n i s o
زړور	z ʐ o r
زهرجننېښلري	z h r d͡ʒ n n e ʂ l r i
ځړول	t͡s ɽ u l
کلونو	k l o n o
ماشومان	m ɑ ʂ o m ɑ n
يوازېتو	j o ɑ z e t o
کېږيو	k e ʐ i o
ځکمی	t͡s k m i
آرامۍ	ɑ r ɑ m ə i
پلورونکو	p l ɔ r ʊ n k ʊ
کڅوړوبارکول	k ʈʂ ʊ ɽ ʊ b ɑ r k ʊ l
۷۳۰	s ɛ v ɛ n θ r i z ɛ r o
آسد	ɑ s d
ښودل	x ʊ d l
هیله	h i l ə
مخره	m x r ə
وه	w ə
پیژندلو	p i ʒ n d l ʊ
مزد	m z d
سطحه	s t̪ x ə
رنګرومي	r n ɡ r ʊ m i
کړل	k ɽ l
اوږده	ɑ w ʒ d ə
حل	h l
مړشو	m r ʃ ʊ
مرغانو	m r ɣ ɑ n ʊ
صنعت	s n ʕ t
همبرداشت	h m b r d ɑ ʃ t
سرطان	s r t̪ ɑ n
کولای	k ʊ l ɑ i
پورته	p ʊ r t ə
کوئ	k ʊ ʔ
لخوا	l x w ɑ
بندید	b n d i d
چلوله	t͡ʃ l ʊ l ə
بیرته	b i r t ə
اندیښنه	ɑ n d i x n ə
ويلواه	w i l w ɑ h
نښه	n x ə
سپورکس	s p ʊ r k s
ډیرو	ɖ i r ʊ
لاړو	l ɑ r ʊ
غریب	ɣ r i b
نیشکیبی	n i ʃ k i b i
دیخ	d i x
مېوه	m e w ə
څښتن	ʈʂ x t n
لرونکي	l r ʊ n k i
داتوازن	d ɑ t w ɑ z n
څرګنده	ʈʂ r ɡ n d ə
موافقه	m w ɑ f ɪ q ə
آسانۍ	ɑ s ɑ n ə i
حکومت	h k ʊ m t
دنیالهشتو	d n i ɑ l ə ʃ t ʊ
سفر	s f r
تږییی	t ʒ i i i
ډا	ɖ ɑ
افریقایي	ɑ f r i q ɑ i i
اوروبوټو	ɑ ʊ r ʊ b ʊ t ʊ
چاقور	t͡ʃ aː q u r
کونج	k uː n d͡ʒ
لویاهد	l uː j aː h d
ویښتان	w iː x t aː n
خدمت	x d m a t
وتښتېدل	w t x t eː d l
ییوړی	j iː w ɽ i
کلمګ	k l m ɡ
ازادیم	a z aː d iː m
تاسوو	t aː s uː
تیریدو	t iː r iː d u
توازن	t w aː z n
شپې	ʃ p eː
تقویم	t q w iː m
وه	w h
راوړې	r aː w ɽ eː
قطارونو	q t aː r u n u
دښته	d x t h
ورځندا	w r z n d aː
بحر	b h r
نیشکیبی	n iː ʃ k iː b i
بهر	b h r
تادل	t aː d l
پیړیو	p iː ɽ iː w
دیخ	d iː x
ورکوله	w r k u l h
راضي	r aː z i
وسایلو	w s aː j l u
رسیدلی	r s iː d l i
کارولو	k aː r u l u
پلاره	p l aː r h
مرګاويا	m r ɡ aː w j a
جال	d͡ʒ aː l
باکتریاوې	b aː k t r iː aː w eː
کسوویلزه	k s uː w iː l z h
کوه	k uː h
ګراوه	ɡ r aː w h
ننو	n n u
ملیون	m l iː w n
درلودلو	d r l uː d l u
دروغویلو	d r uː ɣ w iː l u
بچیانو	b t͡ʃ iː aː n u
لهشکه	l h ʃ k h
یمنده	j m n d h
تیز	t iː z
اغیزه	aː ɣ iː z h
پرځای	p r z aː j
پاکوونکو	p aː k uː w n k u
لوستلو	l w s t l u
نفرتوز	n f r t w z
ناخوښبوید	n ɑ x o ʂ b o ɪ d
ستاینه	s t ɑ j n ə
دیچی	d i t͡ʃ i
خاندي	x ɑ n d i
تاسورښتونیوی	t ɑ s o r ʂ t o n i j o ɪ
بابد	b ɑ b d
ویشي	w i ʂ i
ډولهمېږيان	ɖ o l ə m e ʐ i ɑ n
ماته	m ɑ t ə
ګراوه	ɡ r ɑ w ə
سرطان	s r ʈ ɑ n
خوامې	x w ɑ m e
اړم	ɑ ʂ m
عاد	ʕ ɑ d
ګرځیځکه	ɡ r ʐ i ʐ k ə
یوې	j o e
تقویم	t ɑ q w i m
منشي	m n ʂ i
پاک	p ɑ k
ځینو	ʐ i n o
زهرجندی	z ə h r d͡ʒ n d i
ورکړي	w o r k ʂ i
بهرنی	b ə h r n i
ګړند	ɡ ʂ n d
وویلنه	w o j l n ə
کیږی	k i ʐ i
ماشومانو	m ɑ ʂ o m ɑ n o
یوه	j o ə
پناه	p n ɑ h
دد	d d
مړشهیا	m r ʂ ə h j ɑ
ویښتان	w i ʂ t ɑ n
پوهیږئ	p o h i ʐ ʔ
حیوان	ħ i w ɑ n
وړاندې	w r ɑ n d e
پاي	p ɑ j
پلورنځي	p l o r n ʐ i
قه	q ə
کوشلرغونی	k o ʂ l r ɣ o n i
یخپوښول	j x p o ʂ o l
افو	ɑ f o
چم	t͡ʃ m
وترنرۍ	w t r n r ə i
میاشتې	m j ɑ ʂ t e
همدې	h m d e
پیښیږي	p i ʂ i ʐ i
وروسته	w o r o s t ə
توازن	t o ɑ z n
باکتریاوې	b ɑ k t r i ɑ w e
څلورم	ʂ l o r m
کړئیا	k ɻ ə i ɑ
کسوویلزه	k s u w i l z a
لیرې	l i ɻ e
وړاندې	w ɻ ɑ n d e
کېښوده	k e x u d a
بیه	b i h
ژو	ʐ o
ندی	n d i
روان	r w ɑ n
میوې	m i w e
پیدا	p i d ɑ
مهمه	m h m a
واحد	w ɑ h d
جوړې	ʤ o ɻ e
قهوې	q h w e
نوکرانو	n w k r ɑ n o
یمنده	i m n d a
سوداګرۍ	s u d ɑ ɡ r e
وغواړی	w ɣ w ɑ ɻ i
صنعت	ʂ n ʕ t
لورته	l o r t a
مطالعه	m t ɑ l ʕ a
دور	d o r
حرکت	h r k t
مطلب	m t l b
ناروغۍ	n ɑ r w ɣ e
شرمیده	ʃ r m i d a
وکړم	w k ɻ m
ډکدی	ɖ k d i
کړئ	k ɻ ə
ګړندي	ɡ ɻ n d i
اسطل	ɑ s t l
ګرمدیځ	ɡ r m d i ʐ
خورم	x o r m
اوریدلو	ɑ o r i d l o
اصلی	ɑ ʂ l i
وپوښتم	w p o x t m
له	l a
ځواب	ʐ o ɑ b
اوسیده	ɑ o s i d a
وهي	w h i
پسرل	p s r l
پاچا	p ɑ t͡ʃ ɑ
پرواۍ	p r w ɑ e
اوهغی	ɑ o h ɣ i
اوښانله	ɑ o x ɑ n l a
سپیننسواري	s p i n n s w ɑ r i
ایښو	ɑ i x o
وزن	w z n
دونو	d o n o
آر	ɑ r
آره	ɑ r a
آيات	ɑ j ɑ t̪
آيرلنډ	ɑ j r l ə n ɖ
ابادول	a b ɑ d̪ a w ə l
اتل	a t̪ ə l
اتلس	a t̪ ə l a s
اتله	a t̪ ə l a
اته	a t̪ ə
اتيا	a t̪ j ɑ
اتڼ	a t̪ a ɳ
اخ	a x
اخته	a x t̪ a
اخلم	a x l ə m
اخيستل	a x i s t ə l
اخښل	a x ə l
اخښی	a x a i
ارزان	a r z ɑ n
ارزانه	a r z ɑ n a
ارزښت	a r z ə x t̪
ارمان	a r m ɑ n
اري	a r i
اس	a s
استول	a s t a w ə l
اسلام	ɪ s l ɑ m
اسمان	a s m ɑ n
اسماني	a s m ɑ n i
اسټراليا	a s ʈ r ɑ l j ɑ
اسپانيا	ɑ s p ɑ n j ɑ
اسپه	a s p a
اسکيمو	a s k i m o
اغزی	a ɣ z a i
اغوستل	a ɣ o s t ə l
اغوندم	a ɣ u n d ə m
اغږل	a ɣ a ɡ ə l
اغږم	a ɣ a ʐ ə m
افغان	a f ɣ ɑ n
افغانستان	a f ɣ ɑ n ɪ s t ɑ n
البانيا	a l b ɑ n j ɑ
