دار	d ɑ r
سلفراسید	s ʊ l f r ɑ s i d
تاوتریخجنټکونه	t ɑ w t r i x d͡ʒ n ʈ k o n ə
ځانه	ʐ ɑ n a
کیږی	k iː ʒ iː
ابن	ɑ b n
لېونی	l e w a n a i
ډریور	ɖ r ɪ j ə r
بدنروغ	b ə d n r o ɣ
ټولد	ʈ o l d
وساتی	w s a t i
غنمو	ɣ n ə m o
بوډا	b o ɖ ɑ
پخوراکي	p x o r ɑ k i
کړي	k ə ɽ i
اوسسطل	ɑ w s s t l
جګړن	d͡ʒ ə ɡ ɺ ˞ ə n
برابر	b a r ɑ b a r
کڅوړوبارکول	k ʈʂ ʊ ɽ ʊ b ɑ r k ʊ l
پوهیدم	p w h i d m
طبیعت	t̪ ə b iː ʕ ə t̪
میلیونو	m i l i w o n w o
تیږو	t i ʐ u
کړو	k ɽ u
سلطنت	s ə l t ə n ə t
غوول	ɣ o w ə l
ښکار	x k ɑ r
قه	q ə
ځېل	d͡z e l
ډولهمېږيان	ɖ o l ə m ʐ i ɑ n
سترګه	s t̪ ə r ɡ a
کالنی	k ɑ l a n a i
لورده	l o r d ə
مرغان	m ə r ɣ ɑ n
غلا	ɣ l ɑ
قومن	q o m n
ټنډه	ʈ ə n ɖ a
خوه	x w ə h
اوبوته	o b o t ə
ککړ	k k ɻ
داد	d ɑ d
ناوړه	n ɑ w ɽ a
همت	h ə m t
ګورم	ɡ o r ə m
سندرې	s ʊ n d r ə i
واخلئ	w ɑ x l ə
ډولو	ɖ o l o
نجونې	n d͡ʒ o u n e
ټبر	ʈ a b a r
ولسوالۍ	w ə l ə s w ɑ l ə i
سخت	s x t
کسوویلزه	k s o w i l z ə
اوسیده	ɑ o s i d a
شکلو	ʃ k l o
تمرین	t̪ ə m ɾ iː n
تښتید	t ʂ t i d
خل	x ə l
ښارونه	x ɑ r o n a
لوړل	l o ɽ ə l
چوپړ	t͡ʃ o p ə ɻ
نوم	n o m
تادل	t aː d l
بسکړل	b s k ɽ l
خويندو	x w i n d o
پوهاند	p o h ɑ n d
سیندونو	s i n d o n o
خبرد	x b r d
خولی	x o l i
زاڼه	z ɑ ɳ a
خوخرغمجن	x w x r ɣ m ʤ n
پراخې	p r ɑ x e
نوکغوڅی	n u k ɣ w ə t͡s a i
غپل	ɣ a p ə l
بندې	b n d e
استراحتسره	a s t r a h t s r h
نهو	n ɛ h o
کیلومتره	k i l o m t̪ r e
لامل	l ɑ m ə l
خوښۍ	x o ʂ ə i
ډیرو	ɖ i r ʊ
کتل	k a t ə l
بېرته	b e r t a
اسټراليا	a s ʈ r ɑ l j ɑ
واورېد	w a w r e d
زړه	z ɻ ə
پراختیا	p r ɑː x t iː ɑː
فرانسه	p r ɑ n s a
بیا۵	b i ɑ 5
دښته	d x t h
برېت	b r e t̪
روانه	ɾ w a n h a
رامين	r ɑ m i n
سپره	s p ə r a
ویې	w iː e
مهربانه	m a h r b ɑ n a
دروغوويلو	d r o ɣ o w i l o
ننوست	n n o s t
ورشي	w ə r ʃ i
ګيټۍ	ɡ i ʈ ə i
توتي	t̪ u t̪ i
مړې	m ə ɽ e
ويلواه	w i l w ɑ h
ډالره	ɖ ɑ l ə ɾ ə
خپور	x ə p o r
زهر	z ə h r
دېو	d̪ e o
تون	t̪ u n
ډنډ	ɖ a n ɖ
ځنګلونو	ʣ ə ŋ g l w n w
بندي	b ə n d̪ i
فرانسوي	f ə r ɑ n s ə w i
لاړو	l ɑ r ʊ
زامنر	z ɑ m n r
ډیرو	ɖ iː r oː
شالي	ʃ ɑ l i
مخره	m x r ə
زیانونو	z i ɑ n o n o
غوبه	ɣ o b a
بند	b ə n d̪
نمرکزونو	n m r k z o n o
کب	k a b
دېګلی	d̪ e ɡ l a ɪ
رت	r ə t
استاد	ɑː s t ɑː d
جګ	d͡ʒ ɪ ɡ
پرېکړه	p r e k ɻ a
پاکوونکو	p ɑ k o w n k o
سبزیو	s b z i w o
ګېنډی	ɡ e n ɖ a ɪ
ارزان	a r z ɑ n
لوړوي	l o r o j
پیغام	p i ɣ ɑ m
ساپټ	s ɑ p a ʈ
نيوکه	n i w ə k a
سرو	s ə r o
ولټوله	w ʊ l t uː l ə
توکي	t̪ w k iː
پدیده	p d iː d ə
ګاډی	ɡ ɑ ɖ a ɪ
مزد	m ə z d̪
زیاتوي	z i ɑ t o w i
لېور	l e w a r
غوښتونکی	ɣ o ʂ t o n k i
اوسسطل	oː s s ʈ l
بیا۵	b i ɑ 5
تېرۀ	t̪ e r ə
سږى	s ə ɡ a ɪ
هڅې	h ʦ e
فایبر	f ɑ j b ɾ
انتقال	a n t q a l
څښي	ʈ͡ʂ ə x i
ریګ	r iː ɡ
سپیو	s p i j o
کوټ	k o ʈ
سزا	s z ɑː
برابره	b r ɑ b ə r a
کړي	k ɽ i
لوند	l u n d̪
کسوویلزه	k s uː w iː l z h
نه	n ə
ځل	d͡z ə l
باید	b ɑ j i d̪
همدې	h ʌ m d eɪ
هوښیارییب	h o ʂ j ɑ r i j b
فابریکو	f ɑ b r ɪ k o
شئ	ʃ ɑː iː
حرکت	h r k t̪
نڅا	n ʂ ɑ
دروند	d̪ r u ŋ d̪
بابل	b ɑ b ə l
پلورونکي	p l ɔ ɾ w ə n k ə i
خوشې	x o ʂ e
زهرجن	z ə h r j ə n
ګورمنوکله	ɡ o r m n o k l e
خپله	x p ə l ə
وېرېدل	w e r e d ə l
څکل	t s k a l
خولی	x o l i
چونګښې	t͡ʃ o ŋ x e
لام	l ɑː m
غواړي	ɣ o ɑ ɽ i
هرصورت	h ə r s o r t
توپان	t̪ o p ɑ n
اپريدی	a p r i d̪ a ɪ
دروبوټ	d r w b w ʈ
كوي	k oː iː
وی	w iː
غنماو	ɣ n m ɑ w
هڅه	h a t͡s a
ژبپوهنه	ʒ ə b p o h ə n a
سخی	s x a ɪ
دبولو	d̪ b o l o
لور	l o r
مدیر	m ə d i r
تاوول	t ɑ w a w ə l
مرګاويا	m r ɡ aː w j a
هیل	h i l
پښتنه	p a x t̪ a n a
اړیکه	ɑː ɖʐ iː k ə
ناسم	n ɑ s ə m
زوئلا	z w ʔ l a
ګوړه	ɡ w ə ɽ a
خت	x ə t̪
لارۍ	l ɑ r ə i
اوښخر	ɑ w x kʰ r
ما	m ɑ
تاوتریخجنټکونه	t ɑː w t r i x d͡ʒ n ʈ k uː n ə
پوستکی	p w s t k i
اګل	a ɡ a l
شپه	ʃ p a
فضا	f ə z ɑː
زیانهم	z iː ɑː n ə h m
کوونکی	k o w ə n k i
غیر	ɣ a i r
مشورې	m ʂ o r e
بچیان	b ə t͡ʃ iː ɑː n
سیټ	s iː ʈ
ریس	r i s
تند	t ə n d
کوچنی	k u t͡ʃ n a i
روانه	r w a n h
اړه	ɑ ɻ ə
زهرجن	z ə h r ʤ n
سیند	s iː n d
شيګره	ʃ i ɡ a r a
مل	m ʊ l
هرکار	h ə r k ɑ r
نيا	n j ɑ
کیمیاوی	k i m i ɑ w i
لشه	l a ʃ a
زوړ	z w r
سمیرا	s m iː r ɑ
کمښت	k ə m ʂ t
پرتله	p a r t̪ a l a
وران	w r ɑː n
ژررانه	ʒ r r ɑː n ə
سندره	s n d r e
اتيا	a t̪ j ɑ
غويی	ɣ w a j a ɪ
درنکړم	d r n k ɽ m
ویلو	w iː l uː
درجې	d r ə d͡ʒ e
اري	a r i
شهزادګۍ	ʃ ə h z ɑ d ɡ e
ياله	j ɑ l ə
یوازې	y o a z e
ارزښت	a r z ə x t̪
نوي	n a w i
دروغویلو	d̪ r o ɣ o w i l o
کورله	k o r l ə
ژغورلې	ʐ ɣ w r l e
پخلی	p ə x l a i̯
تېر	t̪ ɛ r
اوبدل	o b d̪ ə l
ټاکلي	ʈ ɑ k l i
خپلک	x p ə l k
وضعیت	w z ʕ i t
پرانستل	p r ɑː n s t l
ډا	ɖ ɑ
پتخ	p a t a x
ژامه	ʒ ɑ m a
وتلو	uː t l u
لوښي	l o ʃ i
امن	ɑ m n
بغور	b ə ɣ w ə r
زامنر	z ɑ m n ə r
اورلوبه	o r l o b a
مۍ	m ə iː
خپلک	x p ə l k
بيول	b i w ə l
اغېزه	a ɣ e z h a
ګول	ɡ o l
کړل	k ɽ l
کړل	k ɻ ə l
وټاکي	w ʈ ɑ k i
ټوکو	ʈ ə w k o
رسنۍ	r ə s ə n a i
ښود	x u d
بیه	b i h
واړ	w ɑ ɽ
لږوو	l ʈ͡ʂ o w
آيات	ɑ j ɑ t̪
ویده	w iː d ə
دړ	d̪ ə ɺ ˞
ګرانی	g r ɑ n i
خوبه	x o b e
سورخالو	s o r x ɑ l o
وېښتان	w e ʃ t̪ ɑ n
معتدل	m uː ʕ t ə d ə l
سورلنډی	s u r l ə n ɖ a i
آره	ɑ r a
بارکړم	b ɑː r k ɹ ə m
واخلي	w ɑ x l i
يونی	y u n a i
کونج	k o u n d͡ʒ
پاکوونکو	p aː k uː w n k u
مليکنه	m l i k n h a
ځایه	ʐ ɑː j ə
اغیزمنه	ɑː ɣ iː z m ʊ n ə
شیه	ʃ i h
اسپانيا	ɑ s p ɑ n j ɑ
دکار	d k ɑ r
سهارریما	s ə h ɑ r r i m ɑ
کړیوه	k ɹ iː oː h ə
ریګنه	r iː ɡ ə n ə
وویل	w w iː l
چوڼيا	t͡ʃ u ɳ j ɑ
چونګښې	t͡ʃ uː ŋ x e
ډبل	ɖ a b ə l
پاړو	p ɑ ɻ u
زیاتې	z i ɑ t ɛ
شکر	ʂ k r
پراخې	p r ɑː x e
ماتی	m ɑː t iː
ښځه	x ə d͡z a
غوړ	ɣ oː ɖʐ
کړم	k ɽ m
موند	m u n d
ټولنیزه	ʈ o l n i z a
کوټې	k ʊ ʈ ə i
ژوندی	ʒ w ə n d̪ a i
ځينې	d z i n e
خولې	x o l e
ویده	w i d h a
څیرې	t͡s i r e
لوړې	l u ɾ e
زمااندازه	z m ɑ ɑ n d ɑ z ə
دوبي	d̪ o b i
پاڼه	p ɑ ɳ a
اوربشې	a w r b ʃ e
سرطان	s r ʈ ɑ n
راته	r ɑ t ə
موقعیت	m oː q ɑː ʕ iː t
خل	x l
اوارخطاوه	o ɑː r x ʊ t ɑː w ə
دریم	d̪ r i m
مېوه	m e w e
پیرودلو	p i r o d̪ l o
کافی	k ɑ f i
اته	a t̪ ə
زمانېښد	z m ɑ n e x d̪
راټولیږي	ɾ a ʈ u l i ʐ i
اوړېدل	a w ɽ e d ə l
تانوکی	t̪ ɑ n u k a ɪ
ناوړه	n ɑ w ɽ ə
وغواړی	w ɣ w ɑː r i
ښکلیدیزه	ʂ k l i d i z ə
زهر	z ʊ h r
کسانو	k s ɑː n uː
کیمیاوي	k i m i ɑ w i
مني	m a n i
دیچی	d i c i
وړلی	w ɻ l i
ایستل	ɑ j s t l
کو	k o
پنځوس	p ə n d z o s
وګوره	w ə ɡ u r ə
مهمه	m ɛ h m ɛ
وګړپوهنه	w ə ɡ ə ɻ p o h ə n a
جنګ	d͡ʒ ə ŋ ɡ
ګردی	ɡ ə r d̪ a i
ځینې	ʣ i n e
شونی	ʃ o n a i
منټ	m ɪ n ə ʈ
صنعتونو	s n ʕ t w n w
ویلي	w i l i
راځی	r ɑː ʐ i
يوهنخيتار	j u h n x iː t ɑː r
لوړوي	l ʊ r ʊ j
سټک	s a ʈ a k
ورسره	w ə r s r ə
همبرداشت	h m b r d ɑ ʂ t
بابل	b ɑ b l
پیدا	p i d ɑ
لیوالتیا	l j o w ɑ l t j ɑ
ونډه	w ʊ n ʈ ə
حرکت	h r k t
منظم	m ə n z̪ ə m
ګډی	ɡ ə ɖ a ɪ
پلاره	p l aː r h
پرېز	p a r e z
مسموم	m ə s m uː m
اشخاصو	ɑ ʃ x ɑ s ə w
نولسمې	n o l s ə m e
بونا	b o n ɑ
څښم	ʦ ʊ m
تږییی	t ʒ i i i
شډل	ʃ ə ɖ ə l
نړیوالو	n ɻ j w a l o
یاد	j ɑ d
اص	ɑ s
اوبو	ɑ w b o
ڼږ	ɳ ʒ
نومونه	n o m u n e
آزاد	ɑ z ɑ d
جهيل	d͡ʒ ə h i l
ډیری	ɖ i r i
ګټه	ɡ ə ʈ a
سبزي	s ə b z i
ورکړل	w ə r k ɽ ə l
ماما	m ɑ m ɑ
پوستکی	p uː s t k iː
شونیه	ʃ o n iː a
نجونې	n ə d͡ʒ u n e
اويم	o j ə m
ګرد	ɡ ə r d
اوولس	u w ə l a s
فعالوي	f ʕ ɑ l o i
انتقال	ɑ n t ɪ q ɑ l
همغږي	h ə m ɣ ʐ i
څرخیدو	ʂ r x iː d oː
لرم	l r m
شامل	ʂ ɑ m l
مړۍ	m a ɺ̢ ə i̯
جریان	d͡ʒ r i ɑ n
انسانانو	ɑ n s ɑ n ɑ n o
ونيو	w n i w
دویو	d o w iː o
وخه	w x ə
کوي	k o w i
افریقایي	ɑ f r i q ɑ i i
مګرولې	m ɡ r w l eː
ننوتلو	n ə n o t̪ l o
وایم	w ɑ j m
جلا	d ʒ ə l ɑ
وزن	w z n
درلودله	d ə r l u d ə l ə
صنعت	s n ʕ t
واخیسته	w ɑː x iː s t ə
شکلو	ʃ ʊ k l ʊ
څپېړه	t͡s a p e ɽ a
پايول	p ɑ y a w ə l
وړيا	w ə ɻ j ɑ
سړک	s ɖ k
ګرمدیځ	ɡ ə r m d i ʐ
اويو	oː iː oː
کرکره	k a r k a r a
ومومي	w m u m i
ماته	m ɑ t ə
خردرلود	x ə r d̪ ə r l o d̪
کوو	k o w
نیمه	n i m ə
ځایونه	ʒ ɑ j ə w ə n ə
شهزادګۍ	s h z a d g e
اغیزه	ɑː ɣ iː z ə
آیایا	ɑ i ɑ i ɑ
هدف	a d ə p
ښکلی	x k w ə l a i
پوهیږم	p o h i ʝ m
وکولیشم	w k o l i ʃ m
اسمان	a s m ɑ n
خاندي	x ɑ n d i
شم	ʃ m
توازنیی	t o a z n i i
چلولو	t͡ʃ l w l w
تانۀ	t̪ ɑ n ə
دېګ	d̪ e ɡ
روغتيا	r o ɣ t j ɑ
اخیستلو	ɑː x iː s t l uː
پوه	p o h
سورپوستکي	s o r p o s t k i
ورزشته	w o r z ʃ t ə
کاف	k ɑː f
هیوادونه	h iː w ɑ d o n a
ماښامه	m ɑː x ɑː m a
ووینه	w o w i n ə
اسانۍ	ɑ s ɑ n ə i̯
نومونو	n o m u n o
روغتون	r o ɣ t̪ u n
وويلهو	w ə w i l ə h ə w
ابنسینایو	ɑ b n s i n ɑ j o
اوواښه	a w w a x h
غښتل	ɣ ə x t̪ ə l
درېدل	d̪ r e d̪ ə l
نیشکیبی	n i ʂ k i b i
رسوي	r ə s w i
وغواړی	w ɣ w ɑ ɻ i
پروت	p r o t̪
غونډیو	ɣ o n ɖ iː o
پاي	p a i
يوازېتو	j o ɑ z e t o
ککړونکي	k ʊ k ɔ ɻ ʊ n k i
راوستل	r ɑ w ə s t̪ ə l
راشي	r ɑ ʃ i
بلکې	b ə l k e
بوټو	b o ʈ o
ورځندا	w r z n d ɑ
اړم	ɑ ʂ m
نولسمې	n uː l s m e
اوسیدونکو	ɑ w s i d u n k o
اوویې	ɑ w o v e
پدی	p ə d i
اپریکړه	ɑ p r i k ɽ a
پیښیږي	p i ʂ i ʐ i
يوازېتو	j o ɑ z e t o
ذکر	z ɪ k ə r
می	m i
ډکتاج	ɖ ə k t ɑ j
رنګرومي	r n ɡ r ʊ m i
ځړول	ʐ ə r o l
کتلرامين	k ə t ə l ə r ɑ m i n
ليدل	l i d ə l
میوې	m i w e
وختوه	uː x t uː h
ارما	ɑ r m ɑ
شومېر	ʃ u m e r
بوى	b u j
شل	ʃ ə l
نړیواله	n r j w ɑ l ə
ژوپوهنه	ʒ o p o h ə n a
خوښي	x w ʈ͡ʂ i
هیوادونو	h i w ɑ d w o n o
ګلانو	ɡ l a n u
ګازونه	ɡ ɑ z u n e
بڼ	b a ɳ
ووایم	w o ɑ j m
آسیم	ɑː s iː m
افو	ɑ f o
کو	k o
کېدل	k e d ə l
لورته	l o r t a
انګلستان	e ŋ ɡ l ɪ s t̪ ɑ n
وده	w ə d a
لویانو	l w j ɑ n w
اېکوادور	e k w ɑ d o r
نیسي	n i s i
ګواښوي	ɡ w ɑ ʂ o i
نولس	n u l a s
کثافا	k ʂ ɑ f ɑ
تقویم	t ɑ q w i m
وموند	uː m uː n d
چیر	t͡ʃ i r
درزونه	d ə r z u n ə
ویښتان	w i ʂ t ɑ n
سکالو	s k ɑ l o
کلتور	k ʊ l t̪ u r
غواړي	ɣ w ɑː r i
کمښت	k ʊ m x t
قومن	q oː m n
چاکلیټ	t͡ʃ ɑ k l i ʈ
سروه	s r oː h ə
بدنروغ	b d n r oː ɣ
پرته	p ə r t ə h
نولسمې	n o l s m e
ثانيه	θ ɑ n i e
دروغویلو	d r uː ɣ w iː l u
ليکوال	l i k w ɑ l
سیمې	s i m e
مېشکوړ	m e ʃ k o ɻ
ترسره	t r s r ə
ونشي	v ə n ʃ iː
خپلو	x p ə l o
زه	z ə
حیوان	ħ i w ɑ n
واخلي	w ɑ x l i
لوري	l uː r i
حشرات	h ʃ r ɑː t̪
وه	w ə
ووایم	w o ɑ i m
حیرانتیا	ħ iː r ɑː n t iː ɑː
څنډه	t s ə n ɖ a
غلط	ɣ a l a t̪
عاد	ʕ ɑ d
ولاړ	w o l ɑ ɻ
ډېره	ɖ e r ə
ښاد	ʂ ɑ d
غریب	ɣ ə r iː b
اد	a d
لاملکیدی	l ɑ m ə l k i d i
شیدې	ʃ i d e
جام	d͡ʒ ɑ m
خورن	x ʊ r n
مودې	m o d e
پنجره	p n ʤ r a
پایه	p ɑ j e
مترو	m ə t r oː
تور	t̪ o r
درملپوهنه	d̪ ə r m ə l p o h ə n a
تیز	t iː z
زغمل	z ɣ a m ə l
ډکدی	ɖ k d i
اوربشې	o r b ə ʃ e
دیو	d i w
معاشونه	m ʕ ɑ ʃ o n ə
ځغلم	d z ɣ ə l ə m
تيپي	t̪ i p i
باندې	b ɑ n d e
لرغوني	l r ɣ u n i
زبرځواک	z ə b ə r d͡z w ɑ k
کتلرامين	k t ʊ l r ɑː m i n
انتخاب	ɪ n t ɪ x ɑː b
غورځ	ɣ oː r ʒ
کوونکې	k o w u n k ə
وياړي	w i ɑ ɽ i
کونګرى	k u n ɡ r a ɪ
ناسته	n ɑː s t ə
ورکړ	w o r k ɻ
اوسم	o s ə m
څښاک	t͡s x ɑ k
چا	tʃ aː
پې	p e
نش	n ə ʂ
خمچې	x ə m a t͡ʃ e
وینې	w i n e
بوځي	b u ʐ i
بوزېدل	b u z e d ə l
مقدار	m q d a r
شاهد	ʃ ɑ h e d
پوخ	p o ʊ x
اوويښتان	o w i x t ɑ n
لوري	l o r i
لښتو	l ə x t o
رسیدلی	r s iː d l i
پوښتلڅه	p w x t l ʂ ə h
هل	h ə l
خرسونو	x ə r s u n o
طریقه	ʈ r i q ə
والونه	w ɑ l uː n ə
همبرداشت	h ə m b ə r d ɑ ʂ t
وزیرستان	w ə z i r ɪ s t̪ ɑ n
بهر	b h r
ملګرې	m ə l ɡ ə r e
عرب	ʕ r b
سرونو	s r o n o
ډګرونو	ɖ ə ɡ ɾ o n o
وچکړه	w t͡ʃ k ɻ a
ورځو	w o r ʐ o
ګرانو	ɡ ə ɾ ɑ n o
نرخونه	n ə ɾ x w n ə
څنګ	t s a n ɡ
ورکول	w a r k a w ə l
ماهم	m ɑ h m
شګو	ʃ ɡ w
کلونو	k l o n o
زهٔ	z ə
بېل	b e l
لمانځل	l m ɑ n d͡z ə l
رسیدلی	r ə s i d ə l i
ډیرو	ɖ iː r o
شرکت	ʃ ə r k ə t
الرګي	ɑ l r ɡ i
زهرجن	z a h r ɟ n
بېړۍ	b e ɽ ə i
ما	m ɑː
ای	ɑ i
زیانمنه	z i ɑ n m ə n ə
موټک	m u ʈ a k
حیرانوونکی	x iː r ɑː n ʊ w ʊ n k i
ځی	d͡z a i
حبوباتو	ħ b uː b ɑː t u
سړه	s ə ɻ a
سوداګرۍ	s u d ɑ ɡ r e
ګټوره	ɡ ʈ oː r ə
يهک	j h a k
جنۍ	d ʒ i n ə i
یوربشې	j o r b ə ʂ e
ایالاتو	a j a l a t o
كوتره	k a w t̪ ə r a
پیړیو	p iː ɽ iː w
سومر	s u m ə r
ښکارکوونکو	x k ɑː r k w w n k w
نیولیوو	n i u l i u w
اوښانله	ɑ o x ɑ n l a
دهلیزو	d̪ a h l i z o
حیواناتو	x i w ɑ n ɑ t o
چارې	t͡ʃ ɑ ɾ ɛ
کښتاندونیزیا	k ʂ t ɑ n d o n i z i ɑ
روان	r w ɑ n
زمرۍ	z m a r ə i
تقویمونه	t ə q w i m u n ə
ونه	w ə n a
میوې	m i w e
منشي	m n ʂ i
خوښشوم	x w ɔ ʂ w o m
ایښو	ɑ i x o
ټاکلي	ʈ ɑː k l i
زیرکۍ	z iː r k ə
پلورنځي	p ə l o ɾ n d͡z i
حرارت	x r ɑː r ʊ t
څیړنې	ʂ iː r n e
اوسیده	ɑ w s i d ɑ
خدمتګار	x d m t ɡ ɑː r
بغری	b a ɣ a r a ɪ
دانګ	ɖ ɑ ŋ ɡ
کاربن	k ɑ r b ə n
دلی	d̪ l iː
خپره	x p r h
رامینځته	r ɑ m i n ʐ t ə
پاڅیدم	p ɑ ʦ i d m
هلکغمجنشو	h l k ɣ m d͡ʒ n ʃ u
عقل	ʕ q l
مختلف	m x t l f
کرنه	k r ə n ə
وکتل	w k t l
کونړ	k u n a ɻ
نویمنځ	n o w i m n ʂ
خړ	x ə ɻ
تېروتل	t̪ e r w a t̪ ə l
خوخرغمجن	x o x r ɣ m ʤ n
وکړ	w k ɽ
موټرد	m o ʈ r d
دوامداره	d oː ɑː m d ɑː r ə
بړستن	b ɺ ˞ ə s t ə n
نیم	n i m
نویمنځ	n ɔ j iː m ə n ʈ͡s
اوږ	o ʐ
خړه	x r ə h
بارکړم	b ɑ r k ɻ m
ګورې	ɡ o r e
اخیستلو	a x i s t l u
عدني	ʕ d n i
عقل	ɑ q l
واقعادا	w ɑ q e ɑ d ɑ
کرنې	k ə r n ə i
کېښودې	k e x o d e
دولتلیواله	d o l t l i w ɑ l ə
باکتریاوې	b ɑː k t r iː ɑː w eː
تهو	t ə w o
حیواناتو	h j w ɑ n ɑ t̪ o
سترطبیب	s ə t̪ ɾ ə t̪ b iː b
ناروغۍ	n ɑ r w ɣ e
له	l a
لږه	l ʐ ə
ونیول	w ə n i o l
حجم	ħ ə ʤ m
وهلې	w h l e
کونج	k w ə n̪ d͡ʒ
جالڅخه	d͡ʒ ɑ l ʈ͡s ə x ə
یوې	j o e
انار	a n ɑ r
اوښسپورچی	o x s p o r t͡ʃ i
مطالعه	m t ɑ l ʕ a
ګوره	ɡ o r a
غټ	ɣ a ʈ
مودې	m o d ə i̯
دلې	d̪ ə l e
صورت	s o r a t
دروازه	d r w ɑ z a
څاښکه	s ɑ x k a
کړل	k ə ɽ l
رت	r ə t
غوږونه	ɣ o ʐ o n a
درزي	d̪ a r z i
ګړند	ɡ ʂ n d
پروړه	p r o ɻ a
راوړئ	r a w ɽ ʔ
خبره	x b ə r a
يوهنخيتار	j o h ə n x i t ɑ r
څنګل	t͡s ə ŋ ɡ ə l
کېښوده	k e x u d a
اکسیجن	ɑ k s i d͡ʒ n
همېل	a m e l
سرو	s r o
ځان	d z ɑ n
وویلنه	w o j l n ə
لویاهد	l uː j aː h d
خپور	x p o ɾ
اوارخطاوه	ɑ w ɑ r x t ɑ w ə
غپېدل	ɣ a p e d ə l
ترشا	t ə r ʃ ɑ
ډاکټرانو	ɖ ɑː k t r ɑː n o
خوښشوم	x w ʂ w m
ګلان	ɡ l ɑ n
ډکدی	ɖ k ə d i
ځلی	z l i
جهيلونو	d͡ʒ ə h i l w n w
لوبډلو	l u b ɖ l u
کڅوړوبارکول	k t͡s o ɽ o b ɑ r k u l
بلې	b ə l e
موند	m o n d
اوسیدونکو	ɑ w s i d w n k w
لوستلو	l w s t l u
ییه	j i ə
اپين	a p i n
وېره	w e r a
اغیزمنه	ɑ ɣ i z m ə n ə
یوهلښته	j o h l ʂ t ə
لار	l ɑ r
ورکړي	w o r k ʂ i
بڼکی	b ə ɳ k a ɪ
سبب	s ə b ə b
نفرتوز	n f r t w z
ملکه	m l k ɛ
بکاڼه	b a k ɑ ɳ a
بڼوال	b ə ɳ w ɑ l
خپګان	x p ɡ ɑ n
لویو	l oː iː o
لګولو	l ɡ o l o
دواړه	d w ɑ ɻ a
ګړندي	ɡ ɻ n d i
دوبي	d̪ o b i
داتمو	d ɑ t m w
سمیر	s m iː r
ویشي	v iː ʃ iː
هریو	h ə r i j o
لرغونی	l ə r ɣ oː n iː
قانعکړي	q ɑ n ʕ k ə ɽ i
خواړه	x w ɑ ɻ a
