دار	d ɑ r
مازدیګر	m ɑ z d̪ i ɡ ə r
پکان	p a k ɑ n
بیه	b i h e
شنو	ʃ n oː
زیاتې	z i j ɑ t e
بېلتون	b e l t̪ u n
مدیریت	m ə d i r i t
جنکۍ	d͡ʒ i n ə k ə i
ډولهمېږيان	ɖ o l ə m e ʐ i ɑ n
بدلېدل	b a d l e d ə l
داگر	d ɑː ɡ r
راضي	r ɑ ð i
وموندلې	w m o n d l ə
نېغه	n e ɣ ə
اې	a e
نفرتوز	n f r t o z
سیوري	s i o r i
غونډیو	ɣ o n ɖ i o
ګاونډ	ɡ ɑ w n ɖ
آيرلنډ	ɑ j r l ə n ɖ
کیږم	k i ʂ m
داتوازن	d ɑ t w ɑ z n
کېږ	k e ʐ
جنګيالی	d͡ʒ ə ŋ ɡ j ɑ l a i
ښوونه	x w u n a
كره	k a r a
روغتانۀ	r o ɣ t̪ ɑ n ə
درېږم	d a r e ɡ ə m
اصلی	ɑ ʂ l i
ستړییم	s t̪ ɻ i j i m
غږ	ɣ ʐ
جګتيا	d͡ʒ ə ɡ t̪ j ɑ
اس	a s
دماغکې	d m ɑ ɣ k ɛ
اخښی	a x a i
کوي	k o j
خپګان	x p ɣ ɑ n
اړه	ɑ ɽ ə
کوچني	k o t͡ʃ n i
غيڼ	ɣ i ɳ
دا	d̪ ɑ
کال	k ɑ l
ماهم	m ɑː h m
ډېر	ɖ e r
غوسه	ɣ uː s ə
اخښل	a x ə l
هڅې	h ʊ ʦ e
خېټه	x e ʈ a
غلام	ɣ l ɑː m
مشرهوه	m ʂ r h w a
طبیعي	ʈ b iː ʔ iː
اندېښمن	ɑ n d e x m ə n
نيلي	n i l i
څرخیدل	t͡s r x i d l
بوخت	b o x t̪
پوښتلڅه	p o x t l ʦ ɑ
ښودلې	ʂ o d l e
ښځې	x ʈʂ e
ویشي	w i ʃ i
اورې	ɑː w r e
اوم	u m
کېدای	k eɪ d aɪ
یوروبایوازې	j o ɾ o b ɑ j w ɑ z e
لوبډلو	l o b ɖ l o
حیواناتو	ħ i w ɑ n ɑ t o
ډانډ	ɖ ɑ ŋ ɖ
رامين	r ɑ m i n
وو	w o
شیشې	ʃ i ʃ e
افرادو	ɑ f r ɑ d o
شلتالو	ʃ a l t̪ ɑ l u
نېښ	n eɪ ʂ
غږېدل	ɣ a ɡ e d̪ ə l
درنده	d r n d ə h
ځینو	ʐ i n o
دېرش	d̪ e r ʃ
اوری	a u r iː
اچول	a t͡ʃ a w ə l
دملکې	d m l k ə i̯
واخلئ	w ɑ x l ʔ
وزله	w z l h
بیاګلختمي	b i ɑ ɡ l x t ə m i
مودې	m u d e
کمپیوټر	k m p i w ʈ r
ورځده	w ɾ z d a
وټاکي	w ʈ a k i
کړل	k ʊ r l
غنمو	ɣ n m o
لمسول	l ə m s ə w ə l
ماښام	m ɑ x ɑ m
چاپیریال	t͡ʃ ɑ p i r i ɑ l
وريژې	w r i ʒ e
ویده	v iː d ə
کثافات	k ə s ɑ f ɑ t
هوښیارتیا	h ʊ x j ɑː r t iː ɑ
ډولي	ɖ ə ʊ l i
کاګل	k ɑ ɡ ə l
وويل	w o i l
نا	n ɑ
هره	h ə r ə
راننوتې	r ɑ n n o t e
تويول	t o j a w ə l
ګرمدیځ	ɡ r m d i ʝ
تدابیر	t ə d ɑː b iː r
شاګردانو	ʃ ɑ ɡ r d̪ ɑ n o
آیا	ɑ j ɑ
تعقیبکړه	t ʕ ɑ q i b k ɽ ə
غوږونو	ɣ o ʐ u n o
پلاره	p l ɑ ɾ ə
وياړي	w i j ɑ ɽ i
ګراوه	ɡ r aː w h
کڅوړو	k ʈ͡ʂ o ɽ o
قوماندانییر	q w m ɑ n d ɑ n i j r
لرغونپوهنه	l ə r ɣ u n p o h ə n a
توان	t̪ o ɑ n
نړۍ	n ə ɽ ə i
موقعیت	m o q ɑ i t
ژېړ	z j a ɻ
زغره	z ɣ a r a
کړي	k ə ɽ i
شاګردانو	s a ɡ r d a n o
غوسه	ɣ o s ə
اونا	ɑ w n ɑ
مرغانو	m r ɣ ɑ n ʊ
ونډه	w n ɖ a
ګوره	ɡ oː r ə
غوښې	ɣ o x ɛ
ویلزه	w i l z ə
احمد	ɑ ħ m ə d
پوهیږي	p o h i ʐ i
صنایعو	ʂ n ɑ i̯ ʕ o
قطارونو	q t aː r u n u
کړئ	k ɻ ə
توازن	t o ɑ z n
اوریدو	o r i d o
واکمن	w ɑ k m a n
پوستکی	p o s t k i
پیښه	p i x ə
ناروغ	n a r w ɣ
حوضپوری	ħ o s p o r i
ګډون	ɡ a ɖ u n
توازنیی	t o ɑ z n i i
دبولو	d b oː l o
واقعادا	w ɑː q iː ɑː d ɑː
مالکینو	m ɑ l k i n o
ژوروالی	ʐ o r w a l i
مسؤل	m s ʔ l
نس	n a s
مۍ	m ə i̯
اچوي	a t͡ʃ o i
راغله	r ɑ ɣ l ə
یوسي	j o w s i
لومړیتوب	l o m ɻ i t̪ o b
پیسې	p i s e
کان	k ɑː n
اورګاډی	o r ɡ ɑ ɖ a ɪ
شرکت	ʂ r k t
خوبي	x uː b i
مسموم	m ə s m u m
ښکنځل	x k ə n d͡z ə l
ته	t a
شامل	ʃ ɑː m l
سوړ	s o ɻ
خورن	x o r n
اورېدونکی	a w r e d u n k a i
زموږ	e m i ʒ
معاینه	m a y n h
آزادول	ɑ z ɑ d w l
مسله	m ə s l ə
لښتي	l x t i
ګراوه	ɡ r ɑ w ə
ټوکر	ʈ u k ə r
پروسې	p ɾ u s e
ځکمی	t͡s k m i
ستونزو	s ə t u n z ə w
خوړنځی	x w ə ɻ ə n d͡z a ɪ
خدمتګار	x d m t ɡ ɑ r
قطارونو	q t ɑː r uː n uː
خرد	x r d
کلنۍ	k ə l n e
ریس	r iː s
راغلی	r ɑː ɣ l iː
او	a w
مر	m ə r
ګرمي	ɡ a r m i
خام	x ɑ m
تودوخي	t ə w d u x i
څراغولری	t͡s ə ɾ ɑ ɣ o l ə ɾ i
ورو	w r o ʊ
ساعته	s a a t h
کولوومور	k o l o w o m o r
ډېرې	ɖ e r e
خاندي	x ɑː n̪ d i
ګرځېدل	ɡ ə r d͡z e d̪ ə l
کړک	k ɚ k
سوکالۍ	s o k ɑ l e
ورته	w o r t a
ژر	ʐ r
وترنرۍ	w t r n r ə i
وړئ	w ə r ə j
اشاره	a s a r h
ورکړحمي	w o r k ɻ ħ m i
درېيمه	d ə r e j m ə
وړی	w r i
رېبز	r e b ə d͡ʒ
موټرد	m o ʈ r d
درجې	d ə r d͡ʒ e
لهشکه	l ə ʃ k ə
ښوونکې	x o w u n k e
وټه	w ə ʈ a
خونه	x u n a
اوریالته	ɑː w r iː ɑː l t̪ ə
مګرولې	m ɡ r uː l e
ګبين	ɡ a b i n
تند	t̪ n d̪
ويده	w i d ə
ډولونه	ɖ o l o n h
پاککیدی	p ɑ k k i d i
پرانیستله	p r ɑ n i s t l ə
ناړولی	n ɑ ɻ a w ɘ l a i
ویزه	w i z h a
لوړې	l o ɻ e
سرطان	s r t̪ ɑ n
اخيستل	a x i s t ə l
پاکستان	p ɑ k ɪ s t̪ ɑ n
موند	m o n d
پرانستله	p r ɑː n ə s t ə l ə
کریم	k r i m
ګۍ	ɡ e
کېیخ	k e i x
تقویمونه	t ɑː q w iː m uː n ə
کېهګۍ	k ɛ h ɡ ɛ
داسې	d ɑ s e
شاګردانو	ʃ ɑ ɡ ə r d ɑ n o
سانتيګراد	s a n t i ɡ r a d
وسایلو	w s aː j l u
کابل	k ɑ b ə l
ورکړاو	w ɔ ɾ k ɻ ɑ w
اومامي	u m ɑ m i
راولې	r ɑ w ə l e
وچلوم	w ə t͡ʃ l o m
ناک	n ɑ k
انصاف	ɑ n s ɑ f
اتڼ	a t̪ a ɳ
توده	t̪ a w d̪ a
پشۍ	p ə ʃ ə i̯
غمجن	ɣ a m d͡ʒ a n
ساړه	s ɑ ɺ̢ ə
پایلوڅخه	p ɑ i l u t͡s x ə
اندیښنه	ɑ n d i x n ə
هوکړه	h o k ɻ a
دروزه	d̪ r u z a
وزن	w o z n
ام	ɑ m
ځلانده	t͡s l ɑ n d a
ښځی	x z i
شی	ʃ i
هوي	h oː iː
ګېډه	ɡ e ɖ a
ژمي	ʒ ə m i
سلطنت	s ə l t̪ n ə t
بیر	b i r
ابنسینایو	ɑ b n s i n ɑ j o
وران	w o r ɑ n
بارول	b ɑ r a w ə l
اويو	o w j o
واخلم	w ɑ x l m
راغ	r a ɣ
چیو	t͡ʃ i o
تل	t æ l
ولاړیم	w o l ɑ ɽ i m
وڅښي	w ə ʈ ʂ ə x i
لخوا	l x w ɑ
زهرجن	z ɛ h r d͡ʒ n
ووړکۍ	w o ɺ̢ k ə i
مغز	m ɣ z
شاملیدو	ʂ ɑ m l i d w o
باد	b ɑ d
ځواک	d͡z w ɑ k
تنفسي	t ə n f s i
پيل	p a ɪ l
همبرداشت	h ə m b r d ɑ ʂ t
ماشید	m ɑ ʃ i d
پوهېږې	p o h e ʐ e
واحد	w ɑ h d
جوړې	d͡ʒ o r e
اوورته	ɑ w o r t ə
بيژکۍ	b i ʒ a k ə i
وکړم	w k ɻ m
کاره	k ɑ r ə h
ښه	x a
لیرې	l i r e
ایازه	i j ɑ z ə
دماغکې	d m ɑ ɣ k e
ماشییو	m ɑː ʃ iː j oː
وه	w ə
چیغې	t͡ʃ i ɣ ɛ
الصحه	ɑ l s ʕ h ə
وړل	w ɻ l
منظم	m ʊ n z ə m
دود	d̪ o d̪
شاید	ʃ ɑː j ə d
حبوباتو	ħ b o b ɑ t o
لومړي	l o m ʊ r i
خطبقه	x t b q ə h
دایمي	d ɑ i m i
تودوخې	t o d o x e
سیمې	s ɪ m e
حشره	h ʃ r ə
تبا	t b ɑ
هېلۍ	h e l ə i
اوسېدونکی	o s e d̪ u n k a ɪ
هڅوي	h ə t͡s o j
کړې	k ə ɽ e
واوره	w ɑ u̯ r a
کوونکې	k o w u n k e
برايي	b ə r ɑ j i
درلوده	d r l o d ə
پارسه	p ɑ r s a
مهمه	m h m a
وویو	w o i o
ورکوله	w r k u l h
اوریدلو	ɑ o r i d l o
دروغویل	d̪ r o ɣ o w i l
وړاندې	w r ɑ n d e
راغلی	r ɑ ɣ l i
غوړ	ɣ o ɽ
لکه	l k ə
دادېوالو	d ɑː d e w ɑː l o
لکهګرم	l k h ɡ r m
بابل	b ɑː b l
دروغویلو	d ə r o ɣ o i l o
خرسبیا	x r s b i ɑ
غالۍ	ɣ ɑ l ə i
بدلول	b ə d̪ l a w ə l
ورکولې	w ə r k uː l e
نیول	n iː uː l
لمريز	l m a r i z
قطر	k a t ə r
خرسد	x r s d
چم	t͡ʃ ə m
خوښي	x o ʂ i
کښې	k x e
انسان	ɑ n s ɑ n
وم	w ə m
غږواورېد	ɣ ʐ o ɑ w ə r ə d
پرځای	p r z aː j
همبرداشت	h m b r d ɑ ʃ t
سړکونو	s ɻ k u n o
حمامیا	ħ m ɑ m i ɑ
واورید	w ɑ w r i d
یوه	j o ə
کوڼ	k u ɳ
چیچلو	t͡ʃ i t͡ʃ l w
مخهو	m x w
کشف	k ʃ f
راتلونکی	r a t l w n k i
توګه	t w ɡ ə
اړینه	ɑ ɽ i n ə h
کافیی	k ɑ f i j
ښیي	x iː i
خل	x ə l
غریب	ɣ r i b
بولم	b o l ə m
ډک	ɖ a k
دويم	d̪ w a i m
باور	b ɑ w ə r
پټي	p ʈ i
ډګرونو	ɖ ə ɡ r ə w ə n ə w
زړونو	z ə r o n o
خلکو	x l k o
عین	ʕ i n
رګونو	r ɡ uː n u
سوماليا	s o m ɑ l j ɑ
شهزادګۍ	ʃ ə h z ɑː d ɡ ə
قاموس	k ɑ m o s
دښته	d ʂ t ə
موږک	m u ɡ ə k
ستر	s t ə r
بدمخی	b ə d m ə x a i
الوزم	a l w ə z ə m
مصر	m i s a r
ستوری	s t̪ o r a ɪ
مینځ	m i n ʈ͡s
شاوخوا	ʃ ɑ w x w ɑ
اړتیا	ɑ ɽ t j ɑ
ومومئ	w m u m ʔ i
خوامې	x w ɑ m e
ژره	ʐ ə r ə
کېیو	k eɪ j oː
بچیانو	b ʈ͡ʃ i ɑ n w
ښکلیدیزه	x k ə l i d i z ə
رامینځته	r ɑː m iː n ʈ ə
تیرې	t iː r e
میرمن	m i r m ə n
نو	n o
وويلهو	w o w i l ə h o
درمل	d̪ a r m a l
ماو	m a w
ټوټه	ʈ o ʈ ə
جال	d͡ʒ aː l
غاړې	ɣ a r e
بیلګه	b i l ɡ a
پوهېدل	p o h e d ə l
تازه	t ɑ z a
لامبو	l ɑ m b o
ورسیږي	w ə r s i ʐ i
ډوډۍ	ɖ o ɖ ə i
غومبه	ɣ u m b a
زباتل	z b ɑ t̪ ə l
ويورکې	w i j o r k e
واورتون	w ɑ w r a t̪ u n
غورځوي	ɣ o ɾ ʝ o j
پدیده	p ə d i d ə h ə
لا	l ɑ
والونه	w ɑ l o n ə
حاصلاتو	ħ ɑː s ɪ l ɑː t o
خيرن	x i r ə n
وړتیاوو	w ɽ t i ɑ w o
ښوونځي	x uː n ʣ i
مرغ	m r a ɣ
سبزيجاتو	s b z i d͡ʒ ɑ t̪ o
دوو	d w w
اېموجي	e m o d͡ʒ i
اېخ	e x
تیر	t i r
بييی	b i j a ɪ
بهېږم	b a h e ɡ ə m
پلاروصیت	p l ɑ r o s i t
سمندر	s ə m ə n d̪ ə r
پسرلی	p ə s ə r l a i
باکتریا	b ɑ k t ə r i ɑ
مرخېړی	m a r x e ɺ̢ a i
اورم	a w r ə m
زبرګ	z b ə r ɡ
شکایت	ʃ k ɑ j i t̪
اغزی	a ɣ z a i
ستايل	s t̪ ɑ j ə l
سپوږمۍ	s p o ɡ m ə i
لاړل	l ɑ r ə l
تلل	t̪ l ə l
کرنې	k r n e
مشر	m ə ʃ r
ډای	ɖ ɑ i
ډکه	ɖ k h
بدلاری	b a d l ɑ r a i
ځکه	d͡z ə k a
کاپيوره	k ɑ p i w a r a
لمردی	l ə m r ə d i
دوولس	d w o l a s
کونه	k w ə n a
نشوه	n ʃ o a
ډکه	ɖ k ə
بلل	b a l ə l
نشو	n ə ʃ o
ورسید	w o r s i d
پیژندلو	p i ʒ n d l ʊ
شوني	ʃ w n i
اورېدلي	ɑ o r e d l i
اسانه	a s ɑ n a
شو	ʃ ʊ
اړخ	a ɺ̢ x
کوې	k ʊ ə i
رسولی	r s o l i
ککړونکي	k ə k ɽ o n k i
سپیو	s p iː w
کوی	k w i
فاطمې	f ɑ t̪ m e
باڼه	b ɑ ɳ ə
کېښود	k e x o d
لمریز	l ə m r i z
ګټل	ɡ a ʈ ə l
سړییم	s ɽ i j m
بیرته	b i r t ə
ناورین	n ɑ w ɾ iː n
ګرمدیځ	ɡ r m d i ʐ
کنګل	k n ɡ l
کچالو	k ʊ t͡ʃ ɑː l o
غونډ	ɣ w ə ŋ ɖ
زیرمه	z i r m ə
ټوللاغمجن	ʈ uː l l ɑː ɣ m d͡ʒ n
نوۍ	n w ə i
وېرېږه	w e ɾ e ʐ h a
توپیر	t oː p iː r
کبانو	k b ɑ n o
پنير	p a n i r
پراخې	p r ɑ x e
شته	ʃ t̪ e
دالتهاب	d ɑ l t ə h ɑ b
هګیو	h ɡ i o
راغلې	r ɑː ɣ l e
نودا	n u d ɑ
شو	ʃ oː
مسله	m ə s l ə
چاينک	t͡ʃ ɑ i n ə k
پوهیږئ	p o h i ʐ ʔ
بوره	b u r a
کانټینر	k ɑ n ʈ i n r
خوامې	x w ɑ m e
خپروي	x p r o i
ممکن	m m k n
ور	w a r
ځغلول	d z ɣ ə l a w ə l
مخالفت	m x ɑ l ə f t
همتوانیدلي	h m t oː ɑː n iː d l iː
اچوو	ɑ t͡ʃ o w
لمن	l a m ə n
قرآن	q ɾ ɑ n
پايله	p ɑ i l a
کیفیت	k i f i t
بحر	b h r
مرستونی	m r a s t̪ u n a ɪ
ويل	w i l
روښانه	r o ʂ ɑ n a
توګه	t̪ o ɣ ə
ویښته	w iː x t ə
پلی	p l iː
پاڅیدم	p ɑ ʈ͡s i d ə m
پسې	p ə s e
کیښودل	k i x o d ə l
وکړئیا	w k ɽ ə i ɑ
غندل	ɤ a n d̪ ə l
ټوکو	ʈ oː k oː
وفا	w f ɑː
طر	ʈ r
نشئ	n ʂ ə i
ځنګل	d͡z ə ŋ ɡ ə l
بته	b ə t̪ a
جږګی	d͡ʒ ə ɡ ɡ a ɪ
بن	b ə n
سیمې	s i m e
ناروغۍ	n ɑ ɾ o ɣ ɛ
پلورونکي	p l o r o n k i
اورونه	ɑ w ɾ o n ə
ځواب	ʣ w ɑ b
کېهګۍ	k ə i̯ h ɡ ə i̯
کسانو	k s ɑ n u
اغږم	a ɣ a ʐ ə m
څښتن	ʈʂ x t n
اړتیا	ɑ ɻ t i ɑ
شوني	ʃ o w n i
لرګیو	l ə r ɡ i w
پت	p a t̪
شين	ʃ i n
شګو	ʃ ɡ o
موږ	m i ʒ
زنګونو	z ə ŋ w ə n ə w
ویښتهیی	w iː ʂ t ə h iː
هېواد	h e w ɑ d̪
سیمه	s ɪ m ə
هغو	h ə ɣ o
بدنروغ	b d n r o ɣ
بیاګلختمي	b i ɑ ɡ l x t m i
وينګ	w a j a ŋ ɡ
عمر	ʕ u m r
کړل	k ɽ l
نهغوالرم	n ə ɣ w ɑ l r ə m
مترو	m ə t r o
ټوپکی	ʈ u p a k a i
اېسټونيا	e s ʈ o n j ɑ
پښیمانه	p ə x i m ɑ n ə
مورې	m w r e
ړومبی	ɺ ˞ u m b a i
دد	d d
کلکوالى	k l a k w ɑ l a ɪ
پسه	p s ə
ترلاسه	t r l ɑː s ə
خدای	x u d ɑ j
حوضڅخه	ħ o ʈ͡s ə x a
ځوان	d͡z w ɑ n
وټاکي	w t ɑ k i
مټونګى	m ə ʈ u n ɡ a i
غله	ɣ l a
اړين	ə ɻ i n
مسله	m s l a
پښه	p x a
ګړندی	ɡ ə ɺ̢ a n ɖ a i
کرون	k ɾ o n
ولېږل	w o l e ʐ l
شرمیده	ʃ r m i d a
کرل	k ə r ə l
دادی	d ɑ d i
نولسمې	n o l s ə m e
پناه	p ə n ɑː h
درکول	d a r k a w ə l
زینو	z iː n o
خو	x o
مسلې	m ə s l e
نوکرانو	n uː k r ɑː n u
اثر	ɑ s ə r
تږییی	t̪ ʐ iː iː iː
شپې	ʃ p eː
بل	b ə l
تنور	t̪ ə n u r
نطفه	n ʊ t̪ f a
نجونې	n ə d͡ʒ uː n e
مطلب	m ə t̪ l ə b
عادت	ʕ ɑ d t
مرغۍ	m ɾ ɣ e
سړکونو	s ɾ k u n u
شينو	ʃ i n o
موږته	m w ʐ t h a
ماهر	m ɑː h ə r
اوښسپورچی	ɑ w x s ə p ə r t ʃ i
پیرودونکي	p i ɾ u d u n k i
څنګه	t͡s ə ŋ ə
مه	m ə h
نېښو	n e x o
ملګري	m ə l ɡ r i
ورسیده	w r s i d h
درملنه	d ə r m ə l ə n ə
خواږو	x w ɑ ʐ o
ګڼي	ɡ ə ɳ i
څارونکى	t͡s ɑ r u n k a ɪ ɪ
پخپله	p ə x p ə l ə
لپه	l a p a
خوړل	x w a ɽ ə l
یوسف	i o s f
دونو	d o n o
سپیننسواري	s p i n n s w ɑ r i
ښوویل	x o w i l
ضایع	z ɑ i ə ʕ
کلی	k ə l a ɪ
دنیالهشتو	d n i ɑ l ə ʃ t ʊ
اتله	a t̪ ə l a
سورخالو	s o r x ɑ l o
مسلمانو	m ə s l i m ɑ n w
پسرل	p ə s ə r l
اوسسطل	a w s s t̪ l
پوهیږي	p uː h iː ʒ iː
ساینسپوهانو	s ɑ i n s p o h ɑ n o
ایستلو	ɑ j s t̪ l o
موافقه	m o ɑ f ɪ q a
ټاپو	ʈ ɑ p u
مالګه	m ɑ l ɡ a
لیدو	l i d w
نظريه	n ə z ə r i j ə
راوړې	r ɑ w ɽ e
وړ	w ə ɻ
تۀ	t ə
دارو	d ɑ r u
بارکړې	b ɑː r k ɽ e
چلوله	t͡ʃ l ʊ l ə
رنډۍ	r ə n ɖ ə i̯
ډاډ	ɖ ɑ ɖ
نیشکیبی	n i ʃ k i b i
خړه	x ɹ ə
ماشی	m ɑ ʃ i
ساری	s a r i
مرغۀ	m ə r ɣ ə
والونه	w ɑ l o n ə
ژبکۍ	ʒ a b a k ə i
ریما	ɾ iː m ɑ
زیانمنوي	z i ɑ n m ə n o w i
رنګونه	r n ɡ w n ə
غپا	ɣ a p ɑ
ډریور	ɖ r iː w ə r
ژوند	ʒ w ə n d̪
سنډا	s a n ɖ ɑ
قوي	q w i
نجلۍ	n d ʒ ə l ə i
ښار	x ɑ r
پيشو	p i ʃ o
لوبې	l uː b e
دلیلونه	d l iː l uː n ə
مینه	m i n h a
اوربشې	ɑ w ɾ b ʃ ɛ
شوي	ʃ o w i
زلیخا	z ʊ l a i x a
نشي	n ʃ i
بوټپوهنه	b u ʈ p o h ə n a
وزير	w ə z i r
ماتيږي	m ɑː t̪ iː ʐ iː
هلکغمجنشو	h ə l k ɣ m d͡ʒ n ʃ o
اسپه	a s p a
لمریز	l ə m r iː z
غړومبل	ɣ ɺ̢ u m b ə l
پنځپوهنه	p ə ŋ d͡z p o h ə n a
لوړ	l w a ɻ
کونج	k uː n d͡ʒ
اواقع	o w ɑ q ɛ ʕ
پلم	p ɪ l m
دالتهاب	d a l t a h a b
غوږ	ɣ w a ɡ
مخه	m x a
محاسبې	m ħ ɑ s b ɛ
صنایعو	s n ɑ j ʕ o
ارزانه	a r z ɑ n a
ویښتانو	w i ʂ t a n o
کبانو	k ə b ɑː n o
راکول	r ɑ k a w ə l
زڼکی	z ɘ ɳ k ɑ i
مليکنه	m ə l i k n ə
دغه	d̪ ə ɣ a
اوښبار	ɑ w x b ɑː ɾ
ګرځیځکه	ɡ r ʐ i ʐ k ə
ونیوله	w o n i o l ə
درزو	d ə r z o
ښکاره	x k ɑ r a
هرڅه	h ə r ʂ ə
وړاندې	w ɻ ɑ n d e
دریم	d ə r i m
کېیخ	k eː j x
تردې	t r d e
کینم	k iː n ʊ m
درنکړم	d ɾ n k ɽ m
کبنیونکو	k b n i w o n k w o
څادر	t͡s ɑ d̪ a r
روبوټونه	r o b o ʈ o n a
رڼا	r u ɳ ɑ
تاسې	t ɑ s e
اورېدلو	o r ə i̯ d l o
نیوه	n i o h e
مختلف	m x t l f
چم	t͡ʃ m
کیند	k i n d
اوړم	a w ɺ ˞ ə m
راستنه	r a s t n a
خاص	x ɑː s
خوبي	x o b i
اوړي	oː ɽ iː
کوئ	k w ɑ i
فوټبال	f o ʈ b ɑ l
دشګو	d ʂ ɡ o
سيلۍ	s i l ə i
وغوښتل	w ɣ o x t ə l
لارښوونې	l ɑː r x uː n e
موندلو	m o n d̪ l o
واک	w ɑ k
ستا	s t̪ ɑ
زیرکۍ	z iː ɾ k e
انصاف	ɑ n ʂ ɑ f
یادیږی	j ɑ d i ʐ i
مې	m e
لوبغاړې	l o b ɣ ɑ ɽ ɛ
غاړې	ɣ ɑː r ə
ستنه	s t ə n ə
سورپوستکي	s w r p w s t k i
اصلي	a s l i
میږیان	m i ʐ i ɑ n
هيله	h i l a
سره	s ə r a
غن	ɣ n
میزکې	m i z k e
لمسی	l m a s a i
زهرجندی	z ə h r d͡ʒ n d i
فاطمې	f a t m e
پوهیږم	p o h iː ʐ m
لورته	l oː r t ə
ناروغ	n ɑ r o ɣ
غنمبه	ɣ n ə m b ə
بايلل	b ɑ i l ə l
مرګ	m a r ɡ
ډډه	ɖ ɖ ə h
پتنګ	p a t̪ a ŋ ɡ
ماهم	m ɑ h m
خوږ	x o ɡ
ګړندي	ɡ ɻ n d i
ټاکلي	ʈ ɑ k l i
لکه	l k a
سبب	s ə b b
دبولو	d b o l o
نبي	n a b i
لای	l ɑ j
ګټورې	ɡ ʈ o r e
ګډوډ	ɡ ə ɖ w ɖ
سترګې	s ə t ə r ɡ e
هیڅکله	h ɪ ʈ ʂ k ə l ə
اوباسم	u b ɑ s ə m
ښخو	x x o
غمونه	ɣ ə m u n ə
ُته	ʔ t̪ ə
څاروى	t͡s ɑ r w a ɪ
ګډوډۍ	ɡ ɖ w ə ɖ e
ککړونکي	k k ɚ o n k i
تللو	t ə l l o
کړکۍ	k ə r k ə j
لوین	l w iː n
ویښتان	w iː x t aː n
کو	k o
راولې	r ɑ w ə l e
استراحت	ɑ s t r ɑ h ə t
آرام	ɑ r ɑ m
وسپاري	w s p ɑ r i
بيه	b i j e
اوبه	o b ə
مونږ	m u n ɡ
پلاله	p a l ɑ l a
كوي	k o i
عاید	ʕ a j d
هوښيار	h u x j ɑ r
ویره	w iː r ə
الوتکه	a l w a t̪ ə k a
زنه	z ə n a
ښايي	x ɑ y i
بارکزی	b ɑ r ə k z a i
خرس	x r s
ټاکلې	ʈ ɑ k ə l e
ناسته	n ɑ s t ə
واټن	w ɑ t̪ n
مالک	m ɑ l ɪ k
شغال	ʃ a ɣ ɑ l
جنجالونه	d͡ʒ n d͡ʒ a l o n a
ګودر	ɡ u d̪ a r
آسولید	ɑ s o l i d
مصرتمدن	m ə s ɾ t ə m d ə n
