فحم	f a ħ m
مسلم	m u s a l l a m
قداد	q a d aː d
هدف	h a d a f
رتينج	r a t iː n a d͡ʒ
خلفي	x a l f i j j
إقامة	ʔ i q aː m a
استفرغ	i s t a f r a ɣ a
تذمر	t a ð a m m a r a
مقدر	m u q a d d a r
توكيد	t a w k iː d
ملامح	m a l aː m i ħ
قرقع	q a r q a ʕ a
فنطاس	f i n tˤ aː s
كابل	k aː b u l
أرضي	ʔ a r dˤ i j j
مشتاق	m u ʃ t aː q
اشتباك	i ʃ t i b aː k
اشتباه	i ʃ t i b aː h
إمضاء	ʔ i m dˤ aː ʔ
نعوظ	n u ʕ uː ðˤ
أشنان	ʔ u ʃ n aː n
ستار	s i t aː r
قثاء	q i θ θ aː ʔ
طرخون	tˤ a r x uː n
آخن	ʔ aː x a n
تلفاف	t i l f aː f
دودة	d uː d a
بذرقطونا	b a ð a r q a tˤ uː n aː
طهران	tˤ a h r aː n
قشعريرة	q u ʃ a ʕ r iː r a
مبشرة	m i b ʃ a r a
فرهود	f u r h uː d
رمش	r a m a ʃ a
فلفل	f i l f i l
بعث	b a ʕ a θ a
كمء	k a m ʔ
نبأ	n a b a ʔ
ابتل	i b t a l l a
كميت	k u m a j t
همزة	h a m z a
قوقعة	q a w q a ʕ a
كون	k a w n
بارزذ	b aː r z a ð
أردمون	ʔ a r d a m uː n
لؤلؤ	l u ʔ l u ʔ
انهمك	i n h a m a k a
أكسح	ʔ a k s a ħ
جين	d͡ʒ iː n
استفز	i s t a f a z z a
شكال	ʃ i k aː l
أخت	ʔ u x t
نادلة	n aː d i l a
سيخي	s iː x i j j
ساوم	s aː w a m a
سوسة	s uː s a
سطم	s a tˤ a m a
قاد	q aː d a
ابرغش	i b r a ɣ a ʃ ʃ a
عباء	ʕ a b aː ʔ
رغف	r u ɣ u f
القنيطرة	a l q u n a j tˤ i r a
شخص	ʃ a x a sˤ a
أمريكا	ʔ a m r iː k aː
أكل	ʔ a k a l a
شفاف	ʃ a f f aː f
أحسن	ʔ a ħ s a n
شعلة	ʃ u ʕ l a
جارة	d͡ʒ aː r a
حجر	ħ a d͡ʒ a r
فدان	f a d d aː n
أمسك	ʔ a m s a k a
امتعض	i m t a ʕ a dˤ a
اغتنم	i ɣ t a n a m a
سوس	s a w i s a
قرميدة	q i r m iː d a
صخد	sˤ a x a d a
إبرة	ʔ i b r a
ليرة	l a j r a
استقلال	i s t i q l aː l
بقبق	b a q b a q a
بنفسج	b a n a f s a d͡ʒ
زؤام	z u ʔ aː m
عصف	ʕ a sˤ a f a
دغبوس	d u ɣ b uː s
كرفس	k a r a f s
خصوصي	x u sˤ uː sˤ i j j
تخدير	t a x d iː r
أرومة	ʔ a r uː m a
صعوبة	sˤ u ʕ uː b a
دائرة	d aː ʔ i r a h
سفارة	s i f aː r a
متواضع	m u t a w aː dˤ i ʕ
شلة	ʃ a l l a
مجسمة	m u d͡ʒ a s s a m a
كستبان	k u s t u b aː n
قطار	q i tˤ aː r
ضاجع	dˤ aː d͡ʒ a ʕ a
تواصى	t a w aː sˤ aː
تنظيم	t a n ðˤ iː m
تترى	t a t r aː
لوط	l uː tˤ
أحيلى	ʔ u ħ a j l aː
تلاشى	t a l aː ʃ aː
فقيه	f a q iː h
زنبور	z a n b uː r
اكتتب	i k t a t a b a
فجل	f a d͡ʒ a l
هزج	h a z i d͡ʒ a
رسول	r a s uː l
حساسي	ħ a s s aː s i j j
مداولة	m u d aː w a l a
كبل	k a b l
استقتل	i s t a q t a l a
أزأم	ʔ a z ʔ a m a
علة	ʕ i l l a
مشترك	m u ʃ t a r a k
مكون	m u k a w w i n
شاف	ʃ aː f a
شكارة	ʃ i k aː r a
آدمي	ʔ aː d a m i j j
دردق	d a r d a q
مغناطيسية	m a ɣ n aː tˤ iː s i j j a
بيوت	b u j uː t
ذكرى	ð i k r aː
فضول	f dˤ uː l
سلعة	s i l ʕ a
حقد	ħ a q a d a
تمسيد	t a m s iː d
مقعدة	m a q ʕ a d a
ازدهر	i z d a h a r a
برشام	b i r ʃ aː m
عفريت	ʕ a f r iː t
شبهة	ʃ u b h a
مفرش	m i f r a ʃ
الكويت	a l k u w a j t
شفة	ʃ a f a
صدر	sˤ a d a r a
قرصنة	q a r sˤ a n a
كأس	k a ʔ s
قوة	q u w w a
فنلندا	f i n l a n d aː
مضرب	m i dˤ r a b
بيد	b a j d a
ساعد	s aː ʕ a d a
ثوب	θ a w b
جنطيانا	d͡ʒ a n tˤ i j aː n aː
خرنق	x i r n i q
ضيون	dˤ a j w a n
فرخ	f a r r a x a
فور	f a w r
لثم	l a θ a m a
تمرين	t a m r iː n
مثنوية	m a θ n a w i j j a
مبالغة	m u b aː l a ɣ a
دواسة	d a w w aː s a
أزرق	ʔ a z r a q
إبل	ʔ i b i l
عائشة	ʕ aː ʔ i ʃ a
ميتوكندريا	m iː t uː k u n d r i j aː
جنائي	d͡ʒ i n aː ʔ i j j
منهج	m a n h a d͡ʒ
إيريناوس	ʔ iː r iː n aː w u s
بيت	b a j j a t a
حصرم	ħ a sˤ r a m
استعارة	i s t i ʕ aː r a
جذام	d͡ʒ u ð aː m
هول	h a w l
مصاب	m a sˤ aː b b
قصاب	q a sˤ sˤ aː b
خيزران	x a j z u r aː n
صحافة	sˤ a ħ aː f a
زمجر	z a m d͡ʒ a r a
شظية	ʃ a ðˤ i j j a
معجم	m u ʕ d͡ʒ a m
صفر	sˤ a f a r
أين	ʔ a j j a n a
مالق	m aː l a q
جلباب	d͡ʒ i l b aː b
أكرى	ʔ a k r aː
زنبوع	z a n b uː ʕ
فتش	f a t t a ʃ a
خطام	x i tˤ aː m
غلقة	ɣ a l q a
ميز	m a j j a z a
أنتيكخانة	ʔ a n t iː k x aː n a
الأشهل	a l ʔ a ʃ h a l
فسح	f a s a ħ a
بضع	b i dˤ ʕ
أمدمي	ʔ u m d a m i j j
شاورما	ʃ aː w a r m aː
هنالك	h u n aː l i k a
غضاضة	ɣ a dˤ aː dˤ a
رشفة	r a ʃ f a
خيرات	x a j r aː t
بستوقة	b u s t uː q a
فئران	f i ʔ r aː n
تومان	t uː m aː n
رغوة	r a ɣ w a
عرناس	ʕ a r n aː s
شاكر	ʃ aː k i r
تفاجأ	t a f aː d͡ʒ a ʔ a
تصادأ	t a sˤ aː d a ʔ a
شبيه	ʃ a b iː h
صحصح	sˤ a ħ sˤ a ħ
ارتفع	i r t a f a ʕ a
تين	t iː n
دنر	d a n n a r a
شلكاية	ʃ a l a k aː j a
أزب	ʔ a z a b b
شمشار	ʃ a m ʃ aː r
حاذق	ħ aː ð i q
خصية	x i sˤ j a
بركري	b a r k a r i j j
باراغواي	b aː r aː ɣ u w aː j
زميلة	z a m iː l a
عنوسة	ʕ u n uː s a
قرمزي	q i r m i z i j j
استجار	i s t a d͡ʒ aː r a
راحل	r aː ħ i l
لجام	l i d͡ʒ aː m
متزوج	m u t a z a w w i d͡ʒ
اصطخم	i sˤ tˤ a x a m a
غريبة	ɣ a r iː b a
عاب	ʕ aː b a
ميمنة	m a j m a n a
هوتة	h a w t a
سوريا	s uː r i j aː
أخثاث	ʔ a x θ aː θ
لازوردي	l aː z u w a r d i j j
سباك	s a b b aː k
جحفل	d͡ʒ a ħ f a l
متجر	m a t d͡ʒ a r
خالد	x aː l i d
تشويق	t a ʃ w iː q
فريق	f a r iː q
لحلاح	l a ħ l aː ħ
لاط	l aː tˤ a
إسرائيل	ʔ i s r aː ʔ iː l
العاصي	a l ʕ aː sˤ iː
آمين	ʔ aː m iː n a
قيطون	q a j tˤ uː n
خنزير	x i n z iː r
مقود	m i q w a d
جدوى	d͡ʒ a d w aː
ملوخية	m u l uː x i j j a
ألمانيا	ʔ a l m aː n i j aː
انهمر	i n h a m a r a
مجموعة	m a d͡ʒ m uː ʕ a
تجاوزات	t a d͡ʒ aː w u z aː t
زريبة	z a r iː b a
غريغوريوس	ɣ i r iː ɣ uː r i j uː s
فحص	f a ħ a sˤ a
آتون	ʔ aː t uː n
صحاف	sˤ a ħ ħ aː f
أنباض	ʔ a n b aː dˤ
سهل	s a h h a l a
النمسا	a n n a m s aː
افترى	i f t a r aː
أغرى	ʔ a ɣ r aː
قافلة	q aː f i l a
كمأ	k a m a ʔ
شعرى	ʃ a ʕ r aː
ريباس	r iː b aː s
سيكران	s a j k a r aː n
ثقة	θ i q a
قنديل	q a n d iː l
بيعة	b a j ʕ a
بطاطس	b a tˤ aː tˤ i s
بهيمة	b a h iː m a
ملبس	m a l b a s
سقطرة	s u q u tˤ r a
همجي	h a m a d͡ʒ i j j
أتى	ʔ a t aː
اجتذب	i d͡ʒ t a ð a b a
سخاء	s a x aː ʔ
مخبأ	m a x b a ʔ
البهاما	a l b a h aː m aː
فتاة	f a t aː h
مالك	m aː l i k
تسكع	t a s a k k a ʕ a
قرطاس	q i r tˤ aː s
أسمرة	ʔ a s m a r a
مفلفل	m u f a l f a l
يعقوب	j a ʕ q uː b
نرجيل	n a r d͡ʒ iː l
تصغير	t a sˤ ɣ iː r
جوز	d͡ʒ a w z
سمعي	s a m ʕ i j j
اختصر	i x t a sˤ a r a
عار	ʕ aː r
قستوس	q i s t uː s
صبان	sˤ a b b aː n
ديمومة	d a j m uː m a
جزئي	d͡ʒ u z ʔ i j j
بصير	b a sˤ iː r
طاجيكستان	tˤ aː d͡ʒ iː k i s t aː n
أعجمي	ʔ a ʕ d͡ʒ a m i j j
اتسع	i t t a s a ʕ a
غرفة	ɣ u r f a
رثية	r a θ j a
ناي	n aː j
قناع	q i n aː ʕ
ارتاح	i r t aː ħ a
فرجون	f i r d͡ʒ a w n
تأمور	t a ʔ m uː r
طلعة	tˤ a l ʕ a
ذاق	ð aː q a
ممسح	m i m s a ħ
رتيل	r u t a j l
مضمار	m i dˤ m aː r
صبحة	sˤ a b ħ a
تنسيق	t a n s iː q
غوشنة	ɣ a w ʃ a n a
هطلس	h a tˤ a l l a s
مصباح	m i sˤ b aː ħ
شلح	ʃ a l a ħ a
راعدة	r aː ʕ i d a
كوسوفو	k uː s uː f uː
زملاء	z u m a l aː ʔ
مفك	m i f a k k
سكرجة	s u k r u d͡ʒ a
سلاطين	s a l aː tˤ iː n
بارزد	b aː r z a d
مديرة	m u d iː r a
انجراف	i n d͡ʒ i r aː f
سلطانية	s u l tˤ aː n i j j a
حذلقة	ħ a ð l a q a
بوط	b uː tˤ
بركة	b a r a k a
منافس	m u n aː f i s
شبشب	ʃ i b ʃ i b
ناطف	n aː tˤ i f
زرع	z a r a ʕ a
جلهم	d͡ʒ a l h a m
سويدي	s u w a j d i j j
حجم	ħ a d͡ʒ a m a
مضيرة	m a dˤ iː r a
ترنج	t r i n d͡ʒ
مشاورة	m u ʃ aː w a r a
تنقض	t a n a q q a dˤ a
انعدى	i n ʕ a d aː
أسارون	ʔ a s aː r uː n
مائدة	m aː ʔ i d a
ماحق	m aː ħ i q
قلما	q a l l a m aː
سرقين	s i r q iː n
أوريغون	ʔ uː r iː ɣ uː n
تعس	t a ʕ a s a
عنق	ʕ a n a q
أنسون	ʔ a n s uː n
حينما	ħ iː n a m aː
فعل	f a ʕ a l a
اقتضى	i q t a dˤ aː
فيتق	f a j t a q
باقة	b aː q a
أليس	ʔ a l iː s
فأر	f a ʔ r
قولنج	q a w l a n d͡ʒ
لطم	l a tˤ a m a
ضمران	dˤ a m r aː n
تزامن	t a z aː m a n a
باصور	b aː sˤ uː r
أسلوب	ʔ u s l uː b
كودن	k a w d a n
قاطعة	q aː tˤ i ʕ a
معدن	m a ʕ d i n
فرث	f a r a θ a
اشتق	i ʃ t a q q a
مأدبة	m a ʔ d u b a
مجازر	m a d͡ʒ aː z i r
حمص	ħ a m m a sˤ a
غسق	ɣ a s a q
كوسا	k uː s aː
راء	r aː ʔ
عين	ʕ a j j a n a
عدالة	ʕ a d aː l a
استحضر	i s t a ħ dˤ a r a
تماشى	t a m aː ʃ aː
قرفصاء	q u r f u sˤ aː ʔ
إربيان	ʔ i r b i j aː n
طمأن	tˤ a m ʔ a n a
مقارنة	m u q aː r a n a
الهند	a l h i n d
لبوس	l a b uː s
زخات	z a x x aː t
تزويد	t a z w iː d
صهيوني	sˤ a h j uː n i j j
اكتسى	i k t a s aː
مثلجات	m u θ a l l a d͡ʒ aː t
رذاذ	r a ð aː ð
صدرية	sˤ a d r i j j a
جمانة	d͡ʒ u m aː n a
باقلاء	b aː q i l aː ʔ
ذكر	ð a k a r
انتخب	i n t a x a b a
إيثار	ʔ iː θ aː r
أحاط	ʔ a ħ aː tˤ a
بطانة	b i tˤ aː n a
ومض	w a m a dˤ a
ملاقاة	m u l aː q aː h
زرنب	z a r n a b
قلعي	q a l a ʕ i j j
إصبع	ʔ i sˤ b a ʕ
راتينج	r aː t iː n a d͡ʒ
مؤسسة	m u ʔ a s s a s a
أعف	ʔ a ʕ a f f a
السعودية	a s s a ʕ uː d i j j a
شرشيري	ʃ a r ʃ iː r i j j
مفسر	m u f a s s i r
حبالة	ħ i b aː l a
بقية	b a q i j j a
سلطوي	s u l tˤ a w i j j
باص	b aː sˤ
ديباج	d iː b aː d͡ʒ
حرير	ħ a r iː r
كاحل	k aː ħ i l
سعيد	s a ʕ iː d
تقدس	t a q a d d a s a
ملحن	m u l a ħ ħ i n
اكتئاب	i k t i ʔ aː b
رغيفات	r a ɣ iː f aː t
أمس	ʔ a m a s s a
مطحنة	m a tˤ ħ a n a
بعثران	b a ʕ θ a r aː n
لماذا	l i m aː ð aː
قطيع	q a tˤ iː ʕ
أمهل	ʔ a m h a l a
كرك	k u r k
أولى	ʔ a w l aː
تقوض	t a q a w w a dˤ a
مخرفة	m a x r a f a
موسم	m a w s i m
شربوش	ʃ a r b uː ʃ
حنظلة	ħ a n ðˤ a l a
قريدسة	q u r a j d i s a
متنوع	m u t a n a w w i ʕ
احترف	i ħ t a r a f a
مطفأة	m i tˤ f a ʔ a
قسطاس	q i s tˤ aː s
الصين	a sˤ sˤ iː n
مخيم	m u x a j j a m
ندبة	n a d b a
فانوس	f aː n uː s
جنينة	d͡ʒ u n a j n a
إزعاج	ʔ i z ʕ aː d͡ʒ
لئلا	l i ʔ a l l aː
بطريك	b a tˤ r iː k
مصنع	m a sˤ n a ʕ
موسمي	m a w s i m i j j
أجنبي	ʔ a d͡ʒ n a b i j j
مجسم	m u d͡ʒ a s s a m
غمغم	ɣ a m ɣ a m a
فوض	f a w w a dˤ a
تألق	t a ʔ a l l a q a
أزرع	ʔ a z r a ʕ a
عيد	ʕ a j j a d a
كافور	k aː f uː r
بينما	b a j n a m aː
إنموذج	ʔ i n m uː ð a d͡ʒ
غائر	ɣ aː ʔ i r
أنفحة	ʔ a n f i ħ a
أسير	ʔ a s iː r
معقود	m a ʕ q uː d
استفتى	i s t a f t aː
معارضة	m u ʕ aː r a dˤ a
فوضوي	f a w dˤ a w i j j
لصف	l a sˤ a f
مدلجة	m i d l a d͡ʒ a
جنازة	d͡ʒ a n aː z a
مذاق	m a ð aː q
زاغ	z aː ɣ a
ظبي	ðˤ a b j
ذبابة	ð u b aː b a
طبخ	tˤ a b a x a
وظف	w a ðˤ ðˤ a f a
عرقوب	ʕ u r q uː b
معتزلة	m u ʕ t a z i l a
حلكة	ħ u l k a
اجتماع	i d͡ʒ t i m aː ʕ
مشى	m a ʃ aː
سقمونيا	s a q a m uː n i j aː
أضاع	ʔ a dˤ aː ʕ a
حنجرة	ħ a n d͡ʒ a r a
مجاور	m u d͡ʒ aː w i r
أغسطس	ʔ a ɣ u s tˤ u s
لجين	l u d͡ʒ a j n
سفر	s a f a r
عنقود	ʕ a n q uː d
رجلة	r u d͡ʒ l a
مسد	m a s a d a
غاضب	ɣ aː dˤ i b
كبش	k a b ʃ
تصهين	t a sˤ a h j a n a
جمع	d͡ʒ a m a ʕ a
سفيه	s a f iː h
توتياء	t uː t i j aː ʔ
آبيس	ʔ aː b iː s
دستور	d u s t uː r
زرشك	z a r r a ʃ k
سيخية	s iː x i j j a
صعيد	sˤ a ʕ iː d
شمال	ʃ a m aː l
فسقية	f a s q i j j a
سراق	s a r r aː q
حديد	ħ a d iː d
مجن	m i d͡ʒ a n n
سبعة	s a b ʕ a
إسلام	ʔ i s l aː m
أطفال	ʔ a tˤ f aː l
أعطى	ʔ a ʕ tˤ aː
أجار	ʔ a d͡ʒ aː r a
استحصل	i s t a ħ sˤ a l a
إفريقية	ʔ i f r iː q i j a
نموذجي	n a m uː ð a d͡ʒ i j j
مسجد	m a s d͡ʒ i d
تقيأ	t a q a j j a ʔ a
قميحة	q a m iː ħ a
نخالة	n u x aː l a
تزحلق	t a z a ħ l a q a
إحصائي	ʔ i ħ sˤ aː ʔ i j j
شعبة	ʃ i ʕ b a
ماسح	m aː s i ħ
تجرد	t a d͡ʒ a r r a d a
رأسمال	r a ʔ s m aː l
انصرف	i n sˤ a r a f a
بيروقراطي	b iː r uː q r aː tˤ i j j
أمريكي	ʔ a m r iː k i j j
زحف	z a ħ a f a
مرطبان	m a r tˤ a b aː n
أغوى	ʔ a ɣ w aː
نعمة	n i ʕ m a
هالوك	h aː l uː k
تسريب	t a s r iː b
استدل	i s t a d a l l a
أسفر	ʔ a s f a r a
وغل	w a ɣ a l a
علقة	ʕ a l a q a
أندر	ʔ a n d a r
الوداع	a l w a d aː ʕ
سوط	s a w tˤ
جار	d͡ʒ aː r
عمامة	ʕ i m aː m a
كاتدرائية	k aː t i d r aː ʔ i j j a
ميناء	m iː n aː ʔ
ممتلكات	m u m t a l a k aː t
هزل	h a z a l a
سينمائي	s i j n a m aː ʔ i j j
اعتمد	i ʕ t a m a d a
راسخت	r aː s u x t
فوذنج	f uː ð a n a d͡ʒ
قرصان	q u r sˤ aː n
قابيل	q aː b iː l
متسول	m u t a s a w w i l
أتون	ʔ a t t uː n
ثمانون	θ a m aː n uː n
أيل	ʔ a j j a l
وضاح	w a dˤ dˤ aː ħ
مرتعب	m u r t a ʕ i b
أعلى	ʔ a ʕ l aː
انتظم	i n t a ðˤ a m a
زكام	z u k aː m
برقية	b a r q i j j a
تلك	t i l k a
غرق	ɣ a r i q a
تأخير	t a ʔ x iː r
صهيونية	sˤ a h j uː n i j j a
سمكة	s a m a k a
قام	q aː m a
شنجار	ʃ a n d͡ʒ aː r
كبير	k a b iː r
موحش	m uː ħ i ʃ
آخرة	ʔ aː x i r a
هريرة	h u r a j r a h
ختان	x i t aː n
تدثر	t a d a θ θ a r a
حاء	ħ aː ʔ
فداحة	f a d aː ħ a
قارن	q aː r a n a
جزع	d͡ʒ a z a ʕ a
أفاد	ʔ a f aː d a
مشواة	m i ʃ w aː h
زواج	z a w aː d͡ʒ
كمون	k a m m uː n
شمشم	ʃ a m ʃ a m a
بورصة	b uː r sˤ a
رطب	r a tˤ b
كنزة	k a n z a
رتيلاء	r u t a j l aː ʔ
أخلاقية	ʔ a x l aː q i j j a
غامق	ɣ aː m i q
حافلات	ħ aː f i l aː t
معتل	m u ʕ t a l l
عقرب	ʕ a q r a b
معنوي	m a ʕ n a w i j j
ظفر	ðˤ a f a r
قرآني	q u r ʔ aː n i j j
تراخوما	t a r aː x uː m aː
انخرط	i n x a r a tˤ a
فحشاء	f a ħ ʃ aː ʔ
جني	d͡ʒ i n n i j j
بيدر	b a j d a r
طنبور	tˤ u n b uː r
ناعورة	n aː ʕ uː r a
شلنبر	ʃ u l u n b a r
عنصر	ʕ u n sˤ u r
تورم	t a w a r r a m a
تغريد	t a ɣ r iː d
تغلب	t a ɣ a l l a b a
مورد	m a w r i d
إبداعي	ʔ i b d aː ʕ i j j
تيغار	t a j ɣ aː r
نوع	n a w w a ʕ a
سقلاطون	s i q i l l aː tˤ uː n
طمث	tˤ a m θ
إبريز	ʔ i b r iː z
توارى	t a w aː r aː
قفاز	q u f aː z
حامول	ħ aː m uː l
استيعاب	i s t iː ʕ aː b
الصومال	a sˤ sˤ uː m aː l
لسع	l a s a ʕ a
جبناء	d͡ʒ u b a n aː ʔ
زمزم	z a m z a m
مشتريات	m u ʃ t a r a j aː t
دكان	d u k k aː n
غلب	ɣ a l a b
سائمة	s aː ʔ i m a
متشكر	m u t a ʃ a k k i r
أسري	ʔ u s r i j j
راقص	r aː q a sˤ a
لكم	l a k a m a
صهريج	sˤ a h r iː d͡ʒ
عري	ʕ a r i j a
اتهم	i t t a h a m a
ألغى	ʔ a l ɣ aː
سقلطوني	s i q i l l a tˤ uː n i j j
هرة	h i r r a h
مبارزة	m u b aː r a z a
ترك	t a r a k a
شلغم	ʃ a l ɣ a m
برسيم	b i r s iː m
ضوء	dˤ a w ʔ
أميرة	ʔ a m iː r a
خربش	x a r b a ʃ a
مرند	m a r a n d
بزاق	b u z aː q
هندسي	h a n d a s i j j
مسدس	m u s a d d a s
صحة	sˤ i ħ ħ a
منتصف	m u n t a sˤ a f
أزلي	ʔ a z a l i j j
ديس	d iː s
حربث	ħ u r b u θ
عجلة	ʕ a d͡ʒ a l a
مدغشقر	m a d a ɣ a ʃ q a r
غمامة	ɣ a m aː m a
ارتياع	i r t i j aː ʕ
أحمق	ʔ a ħ m a q
بعلبك	b a ʕ l a b a k k
صبابة	sˤ a b aː b a
نظير	n a ðˤ iː r
قوس	q a w i s a
شوفان	ʃ uː f aː n
خطيب	x a tˤ iː b
قاجوج	q aː d͡ʒ uː d͡ʒ
استفزاز	i s t i f z aː z
ذرية	ð u r r i j j a
سندس	s u n d u s
قادوس	q aː d uː s
وجدة	w a d͡ʒ d a
حراري	ħ a r aː r i j j
حشيش	ħ a ʃ iː ʃ
محسن	m u ħ a s s a n
دردي	d i r d iː
أمضى	ʔ a m dˤ aː
ذهن	ð i h n
نسى	n a s s aː
طرمبة	tˤ r u m b a
إندونيسي	ʔ i n d uː n iː s i j j
مخاض	m a x aː dˤ
مهم	m u h i m m
خراء	x i r aː ʔ
مريلة	m i r j a l a
جدد	d͡ʒ a d a d
خفج	x a f a d͡ʒ
بوذا	b uː ð aː
دهليز	d i h l iː z
كمثراة	k u m m a θ r aː h
ناسك	n aː s i k
مبرة	m a b a r r a
بطريركية	b a tˤ r i j a r k i j j a
منقرض	m u n q a r i dˤ
زنزانة	z i n z aː n a
مزدهر	m u z d a h i r
إعراب	ʔ i ʕ r aː b
البحرين	a l b a ħ r a j n
زيتي	z a j t i j j
مويزج	m a w iː z a d͡ʒ
مخافة	m a x aː f a
قلقديس	q a l q a d iː s
موسيقى	m uː s iː q aː
جهة	d͡ʒ i h a
عودة	ʕ a w d a
فلو	f a l u w w
استصبر	i s t a sˤ b a r a
منشأة	m u n ʃ a ʔ a
أعمى	ʔ a ʕ m aː
ملاحقة	m u l aː ħ a q a
طاح	tˤ aː ħ a
عيش	ʕ a j ʃ
ماذا	m aː ð aː
تسلق	t a s a l l a q a
حنبلي	ħ a n b a l i j j
زايلفون	z aː j l u f uː n
أوج	ʔ a w d͡ʒ
يسار	j a s aː r
ويكاموس	w iː k aː m uː s
فالودج	f aː l uː d a d͡ʒ
نشيدة	n a ʃ iː d a
مسطح	m u s a tˤ tˤ a ħ
شجا	ʃ a d͡ʒ aː
رضائع	r a dˤ aː ʔ i ʕ
الإسكندرية	a l ʔ i s k a n d a r i j j a
أطرش	ʔ a tˤ r a ʃ
بشرة	b a ʃ a r a
مفتعل	m u f t a ʕ a l
نباهة	n a b aː h a
اتهام	i t t i h aː m
مضيق	m a dˤ iː q
مماثلة	m u m aː θ a l a
معروف	m a ʕ r uː f
فراسيون	f a r aː s i j uː n
سلا	s a l aː
إذخر	ʔ i ð x i r
نجي	n a d͡ʒ i j j
بنان	b a n aː n
خداج	x i d aː d͡ʒ
بلجيكي	b i l d͡ʒ iː k i j j
ناقوس	n aː q uː s
دمقس	d i m a q s
أهلي	ʔ a h l i j j
جعل	d͡ʒ a ʕ a l a
نيفق	n a j f a q
تواقف	t a w aː q a f a
قسوة	q a s w a
طأطأ	tˤ a ʔ tˤ a ʔ a
قذال	q a ð aː l
دفاع	d i f aː ʕ
انتقال	i n t i q aː l
وجب	w a d͡ʒ a b a
سكن	s a k a n
حرباء	ħ i r b aː ʔ
أنوق	ʔ a n uː q
قائد	q aː ʔ i d
لذيذ	l a ð iː ð
أبطل	ʔ a b tˤ a l a
يافع	j aː f i ʕ
خيزان	x iː z aː n
أرخبيل	ʔ a r x a b iː l
لكن	l aː k i n
أباس	ʔ u b aː s
محموم	m a ħ m uː m
قايين	q aː j iː n
طبشورة	tˤ a b ʃ uː r a
تحكم	t a ħ a k k a m a
تململ	t a m a l m a l a
أنا	ʔ a n aː
عاطفي	ʕ aː tˤ i f i j j
زبيل	z a b b iː l
فؤاد	f u ʔ aː d
كوز	k uː z
بسالة	b a s aː l a
ندى	n a d aː
اختنق	i x t a n a q a
دمية	d u m j a
سدر	s a d i r a
أعيان	ʔ a ʕ j aː n
لبلاب	l a b l aː b
بتاتا	b a t aː t aː
عنزروت	ʕ a n z a r uː t
تاق	t aː q a
دحرج	d a ħ r a d͡ʒ a
زوان	z a w aː n
ريشة	r iː ʃ a
عنوان	ʕ u n w aː n
سبب	s a b a b
وجيز	w a d͡ʒ iː z
فراطة	f u r aː tˤ a
أباجور	ʔ a b aː d͡ʒ uː r
معاء	m i ʕ aː ʔ
نضار	n u dˤ aː r
صراخة	sˤ a r r aː x a
نمر	n a m i r
