فحم	f a ħ m
معدات	m u ʕ a d d aː t
فاء	f aː ʔ
حمار	ħ a m m aː r
ليلك	l a j l a k
استئمارة	i s t i ʔ m aː r a
انكمش	i n k a m a ʃ a
اليمن	a l j a m a n
مقبرة	m a q b a r a
حميم	ħ a m iː m
نارجيل	n aː r a d͡ʒ iː l
أعجم	ʔ a ʕ d͡ʒ a m a
إسكندراني	ʔ i s k a n d a r aː n i j j
احتقر	i ħ t a q a r a
تلفت	t a l a f f a t a
فراشة	f a r aː ʃ a
مكة	m a k k a
خليجي	x a l iː d͡ʒ i j j
ارتاع	i r t aː ʕ a
دبي	d i b b iː
تحرير	t a ħ r iː r
أشابة	ʔ u ʃ aː b a
غمى	ɣ a m m aː
أطل	ʔ a tˤ a l l a
تصوير	t a sˤ w iː r
حوض	ħ a w dˤ
جورجيا	d͡ʒ uː r d͡ʒ i j aː
دستج	d a s t a d͡ʒ
سلبي	s a l b i j j
تدليك	t a d l iː k
راود	r aː w a d a
أجلح	ʔ a d͡ʒ l a ħ
تفاوض	t a f aː w a dˤ a
باذنجان	b aː ð i n d͡ʒ aː n
سكنجبين	s i k a n d͡ʒ a b iː n
غارة	ɣ aː r a
نجار	n a d͡ʒ d͡ʒ aː r
يناير	j a n aː j i r
لبن	l a b a n
معمل	m a ʕ m a l
كمام	k i m aː m
تخلص	t a x a l l a sˤ a
صأصأ	sˤ a ʔ sˤ a ʔ a
مهماز	m i h m aː z
فوتنج	f uː t a n a d͡ʒ
زوجة	z a w d͡ʒ a
زكريا	z a k a r i j j aː
فتوش	f a t t uː ʃ
دويبة	d u w a j b b a
قمح	q a m ħ
متوسط	m u t a w a s s i tˤ
موز	m a w z
حاسوب	ħ aː s uː b
سابق	s aː b i q
هدى	h a d aː
عود	ʕ a w d
ملح	m i l ħ
لحاق	l a ħ aː q
سركنجبين	s i r k a n d͡ʒ a b iː n
باريس	b aː r iː s
مسمار	m i s m aː r
طبيبة	tˤ a b iː b a
ولكن	w a l aː k i n
باروق	b aː r uː q
أسفنيك	ʔ a s f a n iː k
بسمة	b a s m a
فردي	f a r d i j j
ألم	ʔ a l a m
قلقاس	q u l q aː s
استنشق	i s t a n ʃ a q a
رجرج	r a d͡ʒ r a d͡ʒ a
كرسوع	k u r s uː ʕ
قاقلة	q aː q i l l a
لؤلؤة	l u ʔ l u ʔ a
نجاة	n a d͡ʒ aː h
روسيا	r uː s i j aː
مخدر	m u x a d d i r
صقر	sˤ a q r
فجور	f u d͡ʒ uː r
طما	tˤ a m aː
باخوم	b aː x uː m
صأل	sˤ a ʔ a l a
فصيل	f a sˤ iː l
أشترغار	ʔ u ʃ t u r ɣ aː r
مبكر	m u b a k k i r
ندوة	n a d w a
كرواتي	k u r u w aː t i j j
أفلاطون	ʔ a f l aː tˤ uː n
برهة	b u r h a
صوت	sˤ a w t
مكحلة	m u k a ħ l a
كتان	k a t t aː n
شاور	ʃ aː w a r a
صغار	sˤ i ɣ aː r
أندراوس	ʔ a n d a r aː w u s
أخبر	ʔ a x b a r a
سميذ	s a m iː ð
زربية	z a r b i j j a
تدريس	t a d r iː s
مكسرات	m u k a s s a r aː t
هندباء	h i n d i b aː ʔ
نحال	n a ħ ħ aː l
أساسي	ʔ a s aː s i j j
فلز	f i l a z z
خنق	x a n a q a
هنغاري	h a n ɣ aː r i j j
جمال	d͡ʒ a m aː l
برق	b a r a q a
الخميس	a l x a m iː s
طفيف	tˤ a f iː f
متانة	m a t aː n a
مجراف	m i d͡ʒ r aː f
صحراوي	sˤ a ħ r aː w i j j
سنبل	s u n b u l
قنديد	q i n d iː d
مفرد	m u f r a d
سيس	s a j j a s a
شركة	ʃ a r i k a
أرض	ʔ a r dˤ
حنون	ħ a n uː n
فتاحة	f a t t aː ħ a
تعشق	t a ʕ a ʃ ʃ a q a
كاذب	k aː ð i b
يونيو	j uː n i j uː
كلح	k a l a ħ a
خزان	x a z z aː n
جعفر	d͡ʒ a ʕ f a r
تبريز	t a b r iː z
مربوط	m a r b uː tˤ
خبا	x a b aː
دخل	d a x a l
بليز	b a l iː z
آيسلندا	ʔ aː j i s l a n d aː
أهيف	ʔ a h j a f
جندية	d͡ʒ u n d i j j a
مخالف	m u x aː l i f
كستج	k a s t a d͡ʒ
لبان	l u b aː n
زأم	z a ʔ a m a
حمل	ħ a m a l
قال	q aː l
جيم	d͡ʒ iː m
أسطورة	ʔ u s tˤ uː r a
تهجى	t a h a d͡ʒ d͡ʒ aː
شاهدانق	ʃ aː h d aː n a q
ظلف	ðˤ i l f
مشقة	m a ʃ a q q a
سيف	s a j f
غاب	ɣ aː b a
محاكمة	m u ħ aː k a m a
سيبويه	s iː b a w a j h
عباية	ʕ a b aː j a
نفاخة	n u f f aː x a
فادي	f aː d iː
حاشا	ħ aː ʃ aː
قلاية	q a l l aː j a
أوجس	ʔ a w d͡ʒ a s a
سخد	s u x d
تعليم	t a ʕ l iː m
لفف	l a f f a f a
أكب	ʔ a k a b b a
اضطهاد	i dˤ tˤ i h aː d
خصفة	x a sˤ a f a
جحا	d͡ʒ u ħ aː
شهدانج	ʃ a h d aː n a d͡ʒ
نزعة	n a z ʕ a
شرسوف	ʃ u r s uː f
مغلاق	m i ɣ l aː q
منتظم	m u n t a ðˤ a m
مكياج	m a k i j aː d͡ʒ
إمالة	ʔ i m aː l a
عجور	ʕ a d͡ʒ d͡ʒ uː r
اكتنف	i k t a n a f a
مشنة	m i ʃ a n n a
صوة	sˤ u w w a
مطبعة	m a tˤ b a ʕ a
شتاء	ʃ i t aː ʔ
ابتلى	i b t a l aː
بائن	b aː ʔ i n
فلك	f a l a k
مغنيسيا	m a ɣ n iː s i j aː
متين	m a t iː n
حلف	ħ a l a f a
أيقظ	ʔ a j q a ðˤ a
تلفاز	t i l f aː z
أخوية	ʔ a x a w i j j a
آنك	ʔ aː n u k
صنعاء	sˤ a n ʕ aː ʔ
وفق	w a f f a q a
يحيى	j a ħ j aː
أدحية	ʔ u d ħ i j a
قارة	q aː r a
قصاج	q u sˤ aː d͡ʒ
ركيزة	r a k iː z a
استل	i s t a l l a
كرنيب	k a r n iː b
رقصة	r a q sˤ a
لقاح	l a q aː ħ
ديان	d a j j aː n
ثور	θ a w r
كسيح	k a s iː ħ
سفرة	s u f r a
ينبوع	j a n b uː ʕ
بلاعة	b a l l aː ʕ a
راع	r aː ʕ a
باستا	b aː s t aː
يتيم	j a t iː m
أمصوخ	ʔ u m sˤ uː x
سعادة	s a ʕ aː d a
بربخ	b a r b a x
مزاد	m a z aː d
تعالى	t a ʕ aː l aː
عضلة	ʕ a dˤ a l a
طريق	tˤ a r iː q
دونمة	d uː n m a
لفافة	l i f aː f a
كذينق	k u ð iː n a q
أنتما	ʔ a n t u m aː
السبت	a s s a b t
شوبك	ʃ a w b a k
حاجة	ħ aː d͡ʒ a
مهرة	m u h r a
حجرة	ħ u d͡ʒ r a
توسع	t a w a s s a ʕ a
حجن	ħ a d͡ʒ a n a
تفاحة	t u f f aː ħ a
لحظتذاك	l a ħ ðˤ a t a ð aː k a
نهب	n a h a b a
تقرير	t a q r iː r
تقزز	t a q a z z a z a
فيل	f iː l
مصدوم	m a sˤ d uː m
إحاطة	ʔ i ħ aː tˤ a
عبو	ʕ a b w
أنما	ʔ a n n a m aː
قاموس	q aː m uː s
موسيقا	m uː s iː q aː
قفلوط	q a f a l uː tˤ
يربوع	j a r b uː ʕ
راقب	r aː q a b a
معانقة	m u ʕ aː n a q a
ألية	ʔ a l j a
درقة	d a r a q a
ارتباط	i r t i b aː tˤ
قبائلي	q a b aː ʔ i l i j j
تشخيصي	t a ʃ x iː sˤ i j j
يرقة	j a r a q a
ذمم	ð i m a m
مجمد	m u d͡ʒ a m m a d
اليرموك	a l j a r m uː k
ضغبوس	dˤ u ɣ b uː s
لأك	l a ʔ a k a
مكان	m a k aː n
إبليس	ʔ i b l iː s
ألقى	ʔ a l q aː
جرثوم	d͡ʒ u r θ uː m
أسطمة	ʔ u s tˤ u m m a
أصخر	ʔ a sˤ x a r a
تطفل	t a tˤ a f f a l a
ناسفة	n aː s i f a
بندقاني	b u n d u q aː n iː
عمرة	ʕ u m r a
شيرج	ʃ a j r a d͡ʒ
لعنة	l a ʕ n a
أخدود	ʔ u x d uː d
أركن	ʔ a r k u n
سمار	s a m aː r
فاصوليا	f aː sˤ uː l i j aː
مشعاع	m i ʃ ʕ aː ʕ
اجتماعي	i d͡ʒ t i m aː ʕ i j j
بنجنكشت	b a n d͡ʒ a n k u ʃ t
لاذ	l aː ð a
تريث	t a r a j j a θ a
يابس	j aː b i s
أنبج	ʔ a m b i d͡ʒ
مكدس	m u k a d d a s
مايو	m aː j uː
المنامة	a l m a n aː m a
مغسلة	m a ɣ s a l a
استفراغ	i s t i f r aː ɣ
كراويا	k a r aː w i j aː
استمنى	i s t a m n aː
جنب	d͡ʒ a n a b
أعقد	ʔ a ʕ q a d
ابتلاش	i b t i l aː ʃ
مأمأة	m a ʔ m a ʔ a
بواب	b a w w aː b
أبيدجان	ʔ a b iː d d͡ʒ aː n
مرآة	m i r ʔ aː h
إبعاد	ʔ i b ʕ aː d
صيد	sˤ a j d
فاكهة	f aː k h a
استغاث	i s t a ɣ aː θ a
جوهري	d͡ʒ a w h a r i j j
تصدير	t a sˤ d iː r
تحوط	t a ħ a w w a tˤ a
دستوري	d u s t uː r i j j
سرنديب	s a r a n d iː b
العراق	a l ʕ i r aː q
محادث	m u ħ aː d a θ
عربن	ʕ a r b a n a
خادم	x aː d i m
مستقبلي	m u s t a q b a l i j j
ثرب	θ a r b
جبت	d͡ʒ i b t
عانى	ʕ aː n aː
كلب	k a l b
شحن	ʃ a ħ a n a
انتقم	i n t a q a m a
شامخ	ʃ aː m i x
عظمى	ʕ u ðˤ m aː
خيار	x i j aː r
اجتاز	i d͡ʒ t aː z a
قونية	q uː n i j a
أصفهان	ʔ a sˤ f a h aː n
شراع	ʃ i r aː ʕ
أجوف	ʔ a d͡ʒ w a f
زرقطونا	z a r q a tˤ uː n aː
رزتاق	r u z t aː q
عافية	ʕ aː f i j a
تذاكى	t a ð aː k aː
عسكر	ʕ a s k a r
طرشي	tˤ u r ʃ i j j
متكبر	m u t a k a b b i r
سطام	s i tˤ aː m
شهاب	ʃ i h aː b
إيا	ʔ i j j aː
هندس	h a n d a s a
صاج	sˤ aː d͡ʒ
درزن	d a r z a n
مطار	m a tˤ aː r
بطارخ	b a tˤ aː r i x
صيدلة	sˤ a j d a l a
اعتزام	i ʕ t i z aː m
جعفيل	d͡ʒ a ʕ f iː l
غفر	ɣ a f a r a
شاذ	ʃ aː ð ð
حالة	ħ aː l a
أخامص	ʔ a x aː m i sˤ
تفرغ	t a f a r r a ɣ a
حوجلة	ħ a w d͡ʒ a l a
واحة	w aː ħ a
محطة	m a ħ a tˤ tˤ a
رمم	r a m m a m a
أنتم	ʔ a n t u m
لعبة	l a ʕ b a
الإنجيل	a l ʔ i n d͡ʒ iː l
مرشد	m u r ʃ i d
رضوخ	r u dˤ uː x
خرس	x a r a s a
عريان	ʕ u r j aː n
شاشية	ʃ aː ʃ i j j a
جسم	d͡ʒ a s s a m a
سلامة	s a l aː m a
تمساح	t i m s aː ħ
إنقاض	ʔ i n q aː dˤ
ببنودة	b a b n uː d a
شرق	ʃ a r q
تايوان	t aː j w aː n
ترنح	t a r a n n a ħ a
بورتسودان	b uː r t s uː d aː n
لهي	l a h i j a
مرو	m a r w
حرق	ħ a r a q a
عصب	ʕ a sˤ a b a
خباز	x a b b aː z
واطن	w aː tˤ a n a
مخفر	m a x f a r
أكاذيب	ʔ a k aː ð iː b
بوسة	b a w s a
احتكار	i ħ t i k aː r
صأكة	sˤ a ʔ k a
براعة	b a r aː ʕ a
حيران	ħ a j r aː n
ليل	l a j l
أناغاليس	ʔ a n aː ɣ aː l iː s
رستاق	r u s t aː q
ضمور	dˤ u m uː r
شبع	ʃ a b i ʕ a
نقيض	n a q iː dˤ
ماثل	m aː θ a l a
قدم	q a d a m
طموحات	tˤ u m uː ħ aː t
فاقة	f aː q a
ندوات	n a d a w aː t
لهذا	l i h aː ð aː
ضبط	dˤ a b a tˤ a
ليث	l a j θ
نافى	n aː f aː
بقرة	b a q a r a
روض	r a w w a dˤ a
مدة	m a d d a
مسى	m a s aː
عبيثران	ʕ a b a j θ a r aː n
غالب	ɣ aː l i b
وسق	w a s q
أدهش	ʔ a d h a ʃ a
جهادي	d͡ʒ i h aː d i j j
إسرنج	ʔ i s r i n d͡ʒ
خشاب	x a ʃ ʃ aː b
باحث	b aː ħ a θ a
نفاذ	n a f aː ð
إسماعيل	ʔ i s m aː ʕ iː l
تناقض	t a n aː q a dˤ a
فالوذق	f aː l uː ð a q
عمروسة	ʕ a m r uː s a
برن	b i r n
أغلب	ʔ a ɣ l a b
تفاح	t u f f aː ħ
تخدر	t a x a d d a r a
تيش	t iː ʃ
توزيع	t a w z iː ʕ
صقنقور	sˤ a q a n q uː r
إفادة	ʔ i f aː d a
دارفلفل	d aː r f i l f i l
خصص	x a sˤ sˤ a sˤ a
توازى	t a w aː z aː
عطاء	ʕ a tˤ aː ʔ
غناء	ɣ i n aː ʔ
استقبال	i s t i q b aː l
سقم	s a q a m
خارج	x aː r i d͡ʒ
فهم	f a h h a m a
قبرة	q u b b a r a
أنعم	ʔ a n ʕ a m
سخبر	s a x b a r
شيردال	ʃ iː r d aː l
شريعة	ʃ a r iː ʕ a
استنفد	i s t a n f a d a
مرحبا	m a r ħ a b aː
يافوخ	j aː f uː x
رادود	r aː d uː d
مراسل	m u r aː s i l
انفتح	i n f a t a ħ a
بخص	b a x a sˤ
محراث	m i ħ r aː θ
هود	h a w d
شبوطة	ʃ a b b uː tˤ a
جنيف	d͡ʒ i n iː f
تقية	t a q i j j a
تقني	t i q n i j j
كندس	k u n d u s
أنضب	ʔ a n dˤ a b a
وغد	w a ɣ d
شيرة	ʃ a j r a
فيروس	f a j r uː s
سعي	s a ʕ j
إعلان	ʔ i ʕ l aː n
وسد	w a s s a d a
سلجم	s a l d͡ʒ a m
كفى	k a f aː
حنجري	ħ a n d͡ʒ a r i j j
أنواع	ʔ a n w aː ʕ
تسعون	t a s ʕ a w n a
مفاجأة	m u f aː d͡ʒ a ʔ a
مسطرة	m i s tˤ a r a
اعتلى	i ʕ t a l aː
رحيل	r a ħ iː l
صرب	sˤ a r a b a
بقر	b a q a r
الذي	a l l a ð iː
حافة	ħ aː f a
قابل	q aː b a l a
أنواط	ʔ a n w aː tˤ
قبو	q a b w
صاع	sˤ aː ʕ
جلاد	d͡ʒ a l l aː d
أبلس	ʔ a b l a s a
وعليكم	w a ʕ a l a j k u m
مازريون	m aː z a r i j uː n
دهنج	d a h n a d͡ʒ
منذ	m u n ð u
مشاعر	m a ʃ aː ʕ i r
ولاية	w a l aː j a
نظام	n i ðˤ aː m
تحاشى	t a ħ aː ʃ aː
غيظ	ɣ a j ðˤ
فقس	f a q a s a
ميثاق	m iː θ aː q
عجاوة	ʕ u d͡ʒ aː w a
ناقص	n aː q i sˤ
أجرب	ʔ a d͡ʒ r a b
نقطة	n u q tˤ a
دستة	d a s t a
استفسار	i s t i f s aː r
نبرة	n a b r a
ناجذ	n aː d͡ʒ i ð
خرطال	x a r tˤ aː l
كذين	k u ð iː n
خوذة	x uː ð a
عاشب	ʕ aː ʃ i b
باطية	b aː tˤ i j a
فقاعة	f u q q aː ʕ a
صغير	sˤ a ɣ iː r
إطراء	ʔ i tˤ r aː ʔ
تعلة	t a ʕ i l l a
إرادي	ʔ i r aː d i j j
القاهرة	a l q aː h i r a
بحر	b a ħ a r
شعبية	ʃ a ʕ b i j j a
بند	b a n d
حدوة	ħ a d w a
سلافي	s l aː f i j j
احتضن	i ħ t a dˤ a n a
طيرة	tˤ a j r a
أسطوري	ʔ u s tˤ uː r i j j
عسبق	ʕ a s b a q
صمام	sˤ i m aː m
أوحل	ʔ a w ħ a l a
قشمير	q i ʃ m iː r
معاوية	m u ʕ aː w i j a
تلم	t a l a m
كأب	k a ʔ b
سطح	s a tˤ ħ
زوفا	z uː f aː
ظربان	ðˤ a r i b aː n
متصل	m u t t a sˤ i l
ساحلي	s aː ħ i l i j j
ينسون	j a n s uː n
رقم	r a q m
أسترالي	ʔ u s t u r aː l i j j
انشقاق	i n ʃ i q aː q
رفاهة	r a f aː h a
جعضيض	d͡ʒ a ʕ dˤ iː dˤ
ذكاء	ð a k aː ʔ
كافتيريا	k aː f i t iː r i j aː
حصل	ħ a sˤ a l
شقة	ʃ a q q a
شعيب	ʃ u ʕ a j b
مضض	m a dˤ a dˤ
عنقاد	ʕ i n q aː d
مداخلة	m u d aː x a l a
قبيلة	q a b iː l a
نساب	n a s s aː b
ألهى	ʔ a l h aː
دفلى	d i f l aː
عابس	ʕ aː b i s
متخلف	m i t x a l l a f
ثريد	θ a r iː d
ستارة	s i t aː r a
قيصر	q a j sˤ a r
ترنيم	t a r n iː m
اتحاد	i t t i ħ aː d
مسطار	m i s tˤ aː r
غلا	ɣ a l aː
دماغ	d i m aː ɣ
مسيح	m a s iː ħ
إيجار	ʔ iː d͡ʒ aː r
مطب	m a tˤ a b b
خرقة	x i r q a
مرجان	m a r d͡ʒ aː n
المغرب	a l m a ɣ r i b
مراوغة	m u r aː w a ɣ a
ارتخى	i r t a x aː
بولاد	b uː l aː d
تليس	t a l l iː s
دهس	d a h a s a
أسماء	ʔ a s m aː ʔ
ردد	r a d d a d a
محترف	m u ħ t a r i f
سماء	s a m aː ʔ
تقيؤ	t a q a j j u ʔ
تخفيض	t a x f iː dˤ
مقلق	m u q l i q
اشتهى	i ʃ t a h aː
صخيد	sˤ a x iː d
دشداشة	d i ʃ d aː ʃ a
مذهبي	m a ð h a b i j j
قرد	q a r d
قيمة	q iː m a
عندما	ʕ i n d a m aː
قفازات	q u f f aː z aː t
فاض	f aː dˤ a
عظيم	ʕ a ðˤ iː m
فودنج	f uː d a n a d͡ʒ
مضمون	m a dˤ m uː n
قنبيل	q a n b iː l
زراعي	z i r aː ʕ i j j
نطل	n a tˤ a l a
اتصال	i t t i sˤ aː l
زائر	z aː ʔ i r
تجارة	t i d͡ʒ aː r a
معجزات	m u ʕ d͡ʒ i z aː t
ناعم	n aː ʕ i m
أنكر	ʔ a n k a r a
ثيوقراطي	θ i j uː q r aː tˤ i j j
هذر	h a ð a r a
نفث	n a f a θ a
طلب	tˤ a l a b
أمير	ʔ a m iː r
إدحية	ʔ i d ħ i j a
وصيد	w a sˤ iː d
أشل	ʔ a ʃ a l l
حوول	ħ uː w i l a
حبارى	ħ u b aː r aː
نحن	n a ħ n i
غرب	ɣ a r a b
تذكرة	t a ð k i r a
حبق	ħ a b a q
غرامة	ɣ a r aː m a
بواليع	b a w aː l iː ʕ
انتماء	i n t i m aː ʔ
ياسين	j aː s iː n
خزينة	x a z iː n a
مقاعد	m a q aː ʕ i d
استعمل	i s t a ʕ m a l a
ميعاد	m iː ʕ aː d
فوج	f a w d͡ʒ
شاء	ʃ aː ʔ
هرولة	h a r w a l a
خاطئ	x aː tˤ i ʔ
عروس	ʕ a r uː s
رابط	r aː b i tˤ
رهبانية	r a h b aː n i j j a
طائفة	tˤ aː ʔ i f a
أنهك	ʔ a n h a k a
قاوق	q aː w u q
بامية	b aː m i j a
وابور	w aː b uː r
دولاب	d a w l aː b
مسيحي	m a s iː ħ i j j
باطس	b aː tˤ u s
مقشدة	m i q ʃ a d a
جلس	d͡ʒ a l a s a
أغيد	ʔ a ɣ j a d
صرق	sˤ a r a q
رفأ	r a f a ʔ a
مظلة	m a ðˤ a l l a
جائز	d͡ʒ aː ʔ i z
بغيض	b a ɣ iː dˤ
كوالا	k u w aː l aː
كارة	k aː r a
إيران	ʔ iː r aː n
اعتقاد	i ʕ t i q aː d
ريح	r a j j a ħ a
استمات	i s t a m aː t a
خرفة	x u r f a
سلاف	s u l aː f
أسف	ʔ a s a f f a
فأس	f a ʔ s
سلوى	s a l w aː
كسرة	k a s r a
خوف	x a w f
حنان	ħ a n aː n
معاينة	m u ʕ aː j a n a
استهجان	i s t i h d͡ʒ aː n
عوائد	ʕ a w aː ʔ i d
ثورة	θ a w r a
زنباع	z a n b aː ʕ
مقطعية	m a q tˤ a ʕ i j j a
أثث	ʔ a θ θ a θ a
شيهم	ʃ a j h a m
ضجيج	dˤ a d͡ʒ iː d͡ʒ
عزيز	ʕ a z iː z
خابور	x aː b uː r
مرأة	m a r ʔ a
راجل	r aː d͡ʒ i l
إلحاق	ʔ i l ħ aː q
أبنوس	ʔ a b a n uː s
اعتل	i ʕ t a l l a
كعبة	k a ʕ b a
شهترج	ʃ a h t a r a d͡ʒ
صابورة	sˤ aː b uː r a
بكرج	b a k r a d͡ʒ
طبقة	tˤ a b a q a
غضة	ɣ a dˤ dˤ a
فيثاغورس	f iː θ aː ɣ uː r a s
قنص	q a n a sˤ a
سريان	s a r a j aː n
طليعة	tˤ a l iː ʕ a
مجموع	m a d͡ʒ m uː ʕ
هذيان	h a ð a j aː n
عجب	ʕ a d͡ʒ a b
براين	b r aː j a n
فتخاء	f a t x aː ʔ
خلية	x a l i j j a
مروض	m u r a w w a dˤ
نفخ	n a f a x a
عرزال	ʕ i r z aː l
حظيرة	ħ a ðˤ iː r a
استجاب	i s t a d͡ʒ aː b a
فرضية	f a r a dˤ i j j a
باكستاني	b aː k i s t aː n i j j
تفاف	t i f aː f
صحرة	sˤ u ħ r a
عربز	ʕ a r b a z
دركي	d a r a k i j j
أساس	ʔ a s aː s
تخم	t a x m
الآخرة	a l ʔ aː x i r a
دقع	d a q i ʕ a
اقترح	i q t a r a ħ a
فاكرة	f aː k i r a
لهجة	l a h d͡ʒ a
نرويجية	n u r w iː d͡ʒ i j j a
أبد	ʔ a b a d
ملوكية	m u l uː k i j j a
كزبرة	k u z b a r a
صتع	sˤ a t a ʕ a
عقدة	ʕ u q d a
شليل	ʃ a l iː l
جندب	d͡ʒ u n d u b
سمن	s a m i n a
إرتريا	ʔ i r i t r i j aː
منفاخ	m i n f aː x
توجه	t a w a d͡ʒ d͡ʒ a h a
شلال	ʃ a l l aː l
صفد	sˤ a f a d
ظهر	ðˤ a h a r a
إهداء	ʔ i h d aː ʔ
مغرفة	m i ɣ r a f a
بريطاني	b a r iː tˤ aː n i j j
ذعن	ð a ʕ i n a
سكران	s a k r aː n
سلسل	s a l s a l a
جمجمة	d͡ʒ u m d͡ʒ u m a
بندق	b u n d u q
ذئب	ð i ʔ b
صحل	sˤ a ħ i l a
شاكرة	ʃ aː k i r a
جاورجيوس	d͡ʒ aː w u r d͡ʒ i j uː s
قلقطار	q a l q a tˤ aː r
استوقف	i s t a w q a f a
أدحوة	ʔ u d ħ u w w a
قروش	q u r uː ʃ
كاعب	k aː ʕ i b
ملجأ	m a l d͡ʒ a ʔ
بوذية	b uː ð i j j a
عانس	ʕ aː n i s
رجع	r a d͡ʒ a ʕ a
أعيا	ʔ a ʕ j aː
أحد	ʔ a ħ a d
جخى	d͡ʒ a x x aː
فراء	f a r aː ʔ
انجذاب	i n d͡ʒ i ð aː b
رأي	r a ʔ j
ظليم	ðˤ a l iː m
حدق	ħ a d a q a
سخيف	s a x iː f
مباراة	m u b aː r aː h
فالوذة	f aː l uː ð a
عدد	ʕ a d a d
قطران	q a tˤ a r aː n
نملة	n a m l a
فتح	f a t a ħ a
سيكولوجي	s a j k uː l uː d͡ʒ i j j
بعلة	b a ʕ l a
شارع	ʃ aː r i ʕ
ورشنوفة	w a r ʃ a n uː f a
جانرك	d͡ʒ aː n a r i k
احترق	i ħ t a r a q a
قرنبيط	q a r n a b iː tˤ
جدار	d͡ʒ i d aː r
رسغ	r u s ɣ
مئذنة	m i ʔ ð a n a
ساحة	s aː ħ a
كدس	k a d a s a
إشفى	ʔ i ʃ f aː
أنضج	ʔ a n dˤ a d͡ʒ a
إداري	ʔ i d aː r i j j
منتخب	m u n t a x a b
المريخ	a l m i r r iː x
جبان	d͡ʒ a b aː n
مريمية	m a r j a m i j j a
ردم	r a d a m a
مرددوش	m a r d a d uː ʃ
رابع	r aː b i ʕ
غمود	ɣ u m uː d
قاوون	q aː w uː n
زنباعة	z a n b aː ʕ a
أفغانستان	ʔ a f ɣ aː n i s t aː n
بهشية	b a h a ʃ i j j a
مصفاة	m i sˤ f aː h
استنتاج	i s t i n t aː d͡ʒ
اكترى	i k t a r aː
لاحم	l aː ħ i m
اتسم	i t t a s a m a
مثلث	m u θ a l l a θ
تضاد	t a dˤ aː d d a
إلكترونيات	ʔ i l i k t r uː n i j j aː t
فيج	f a j d͡ʒ
إفرند	ʔ i f r i n d
تراب	t u r aː b
سهول	s u h uː l
أبهج	ʔ a b h a d͡ʒ a
بلور	b i l l a w r
أرغان	ʔ a r ɣ aː n
تبغ	t a b ɣ
احتفال	i ħ t i f aː l
شنع	ʃ a n n a ʕ a
مرقد	m a r q a d
بهائي	b a h aː ʔ i j j
سقيفة	s a q iː f a
أرثوذكسي	ʔ u r θ uː ð u k s i j j
النيجر	a n n iː d͡ʒ a r
جبيز	d͡ʒ a b iː z
ذهب	ð a h a b
وقت	w a q a t
شهادة	ʃ a h aː d a
تمهيد	t a m h iː d
غافث	ɣ aː f a θ
مركب	m a r k a b
نعجة	n a ʕ d͡ʒ a
فقري	f i q r i j j
وقع	w a q a ʕ a
دراسي	d i r aː s i j j
محيط	m u ħ iː tˤ
لاءم	l aː ʔ a m a
ندم	n a d a m
