ruralidad	r u ɾ a l i ˈd a d
guíes	ˈɡ i e s
dieron	ˈd j e ɾ o n
tuiteados	t w i t e ˈa d o s
guijarro	ɡ i ˈx a r o
caros	ˈk a ɾ o s
mitin	ˈm i t i n
profanadas	p ɾ o f a ˈn a d a s
alfaque	a l ˈf a k e
metonimia	m e t o ˈn i m j a
bisemanal	b i s e m a ˈn a l
despeñados	d e s p e ˈɲ a d o s
ventilada	b e n t i ˈl a d a
despistado	d e s p i s ˈt a d o
puerquita	p w e ɾ ˈk i t a
sincopar	s i n k o ˈp a ɾ
bucólico	b u ˈk o l i k o
garrapiñado	ɡ a r a p i ˈɲ a d o
percute	p e ɾ ˈk u t e
sustentar	s u s t e n ˈt a ɾ
aventada	a b e n ˈt a d a
matoneadas	m a t o n e ˈa d a s
congelar	k o n x e ˈl a ɾ
Gamba	ˈɡ a m b a
xerofítico	s e ɾ o ˈf i t i k o
incrementada	i n k ɾ e m e n ˈt a d a
peraltadas	p e ɾ a l ˈt a d a s
desencabestrado	d e s e n k a b e s ˈt ɾ a d o
bailotear	b a i l o t e ˈa ɾ
amillaráremos	a m i ʝ a ˈɾ a ɾ e m o s
cuchuchear	k u t͡ʃ u t͡ʃ e ˈa ɾ
comámosles	k o ˈm a m o s l e s
meloso	m e ˈl o s o
coexistidos	k o e ɡ s i s ˈt i d o s
argayar	a ɾ ɡ a ˈʝ a ɾ
santaneco	s a n t a ˈn e k o
pertrechados	p e ɾ t ɾ e ˈt͡ʃ a d o s
demente	d e ˈm e n t e
pulsado	p u l ˈs a d o
proveídos	p ɾ o b e ˈi d o s
enganchadas	e n ɡ a n ˈt͡ʃ a d a s
sufragados	s u f ɾ a ˈɡ a d o s
rastrojo	r a s ˈt ɾ o x o
impracticabilidad	i m p ɾ a ɡ t i k a b i l i ˈd a d
gravitada	ɡ ɾ a b i ˈt a d a
cuadril	k w a ˈd ɾ i l
sobrevaluado	s o b ɾ e b a ˈl w a d o
expectorados	e ɡ s p e ɡ t o ˈɾ a d o s
machadiana	m a t͡ʃ a ˈd j a n a
alcana	a l ˈk a n a
humanas	u ˈm a n a s
deliradas	d e l i ˈɾ a d a s
lechuguero	l e t͡ʃ u ˈɡ e ɾ o
diminutos	d i m i ˈn u t o s
neofobia	n e o ˈf o b j a
sí	ˈs i
estambulita	e s t a m b u ˈl i t a
derribo	d e ˈr i b o
cocodrila	k o k o ˈd ɾ i l a
posdoctoral	p o s d o ɡ t o ˈɾ a l
marinado	m a ɾ i ˈn a d o
guasón	ɡ w a ˈs o n
serigrafiado	s e ɾ i ɡ ɾ a ˈf j a d o
bloguear	b l o ɡ e ˈa ɾ
yodurar	ʝ o d u ˈɾ a ɾ
odre	ˈo d ɾ e
siamesas	s j a ˈm e s a s
Parodi	p a ˈɾ o d i
fantasmagóricos	f a n t a s m a ˈɡ o ɾ i k o s
ojeado	o x e ˈa d o
amurallada	a m u ɾ a ˈʝ a d a
frustres	ˈf ɾ u s t ɾ e s
autoaislarse	a u t o a i s ˈl a ɾ s e
encasquillada	e n k a s k i ˈʝ a d a
partido	p a ɾ ˈt i d o
hoyoso	o ˈʝ o s o
cromosoma	k ɾ o m o ˈs o m a
arramblados	a r a m ˈb l a d o s
trascrita	t ɾ a s ˈk ɾ i t a
amarteladas	a m a ɾ t e ˈl a d a s
jocosamente	x o ˌk o s a ˈm e n t e
incoar	i n k o ˈa ɾ
moribunda	m o ɾ i ˈb u n d a
auditivos	a u d i ˈt i b o s
cabás	k a ˈb a s
sapa	ˈs a p a
genitales	x e n i ˈt a l e s
apachurrada	a p a t͡ʃ u ˈr a d a
sindical	s i n d i ˈk a l
apenaréis	a p e n a ˈɾ e i s
sextina	s e s ˈt i n a
raigrás	r a i ˈɡ ɾ a s
subependimomas	s u b e p e n d i ˈm o m a s
deltana	d e l ˈt a n a
contraatacar	k o n t ɾ a a t a ˈk a ɾ
novelístico	n o b e ˈl i s t i k o
urbano	u ɾ ˈb a n o
pluralidades	p l u ɾ a l i ˈd a d e s
cabe	ˈk a b e
maracuyá	m a ɾ a k u ˈʝ a
enfriadero	e n f ɾ j a ˈd e ɾ o
sudadas	s u ˈd a d a s
audión	a u ˈd j o n
avarienta	a b a ˈɾ j e n t a
recontadas	r e k o n ˈt a d a s
multidispositivo	m u l t i d i s p o s i ˈt i b o
aleteadas	a l e t e ˈa d a s
pelillo	p e ˈl i ʝ o
panhelénico	p a n e ˈl e n i k o
achacoso	a t͡ʃ a ˈk o s o
medianil	m e d j a ˈn i l
chapó	t͡ʃ a ˈp o
catecúmena	k a t e ˈk u m e n a
impala	i m ˈp a l a
nítidas	ˈn i t i d a s
gasas	ˈɡ a s a s
ovejera	o b e ˈx e ɾ a
autoalimentados	a u t o a l i m e n ˈt a d o s
amnésica	a m ˈn e s i k a
güiña	ˈɡ w i ɲ a
chistorra	t͡ʃ i s ˈt o r a
retractados	r e t ɾ a ɡ ˈt a d o s
patriótico	p a ˈt ɾ j o t i k o
banfileños	b a n f i ˈl e ɲ o s
estaré	e s t a ˈɾ e
panal	p a ˈn a l
sobrerrepresentaría	s o b ɾ e r e p ɾ e s e n t a ˈɾ i a
chorrillana	t͡ʃ o r i ˈʝ a n a
desbancada	d e s b a n ˈk a d a
segurados	s e ɡ u ˈɾ a d o s
beldar	b e l ˈd a ɾ
oxidaras	o ɡ s i ˈd a ɾ a s
aumentadas	a u m e n ˈt a d a s
blando	ˈb l a n d o
malherida	m a l e ˈɾ i d a
hinchar	i n ˈt͡ʃ a ɾ
totopo	t o ˈt o p o
fanfarrones	f a n f a ˈr o n e s
prevaricadoras	p ɾ e b a ɾ i k a ˈd o ɾ a s
acudí	a k u ˈd i
vidriero	b i ˈd ɾ j e ɾ o
jamelga	x a ˈm e l ɡ a
abductor	a b d u ɡ ˈt o ɾ
perdigón	p e ɾ d i ˈɡ o n
glorificares	ɡ l o ɾ i f i ˈk a ɾ e s
casuales	k a ˈs w a l e s
compensaras	k o m p e n ˈs a ɾ a s
sajado	s a ˈx a d o
birminghense	b i ɾ m i n ˈɡ e n s e
maltratar	m a l t ɾ a ˈt a ɾ
fotografiado	f o t o ɡ ɾ a ˈf j a d o
Nebraska	n e ˈb ɾ a s k a
dinerario	d i n e ˈɾ a ɾ j o
jacobita	x a k o ˈb i t a
desmontados	d e s m o n ˈt a d o s
boyero	b o ˈʝ e ɾ o
envalentonadas	e m b a l e n t o ˈn a d a s
arponados	a ɾ p o ˈn a d o s
desaprovechada	d e s a p ɾ o b e ˈt͡ʃ a d a
chinicuil	t͡ʃ i n i ˈk w i l
acopla	a ˈk o p l a
ruido	ˈr w i d o
vasca	ˈb a s k a
reme	ˈr e m e
abejorro	a b e ˈx o r o
troquelar	t ɾ o k e ˈl a ɾ
caballeresco	k a b a ʝ e ˈɾ e s k o
seriaremos	s e ɾ j a ˈɾ e m o s
buró	b u ˈɾ o
inconcreto	i n k o n ˈk ɾ e t o
culminado	k u l m i ˈn a d o
antineutrino	a n t i n e u ˈt ɾ i n o
llegue	ˈʝ e ɡ e
sistemáticas	s i s t e ˈm a t i k a s
alfaques	a l ˈf a k e s
florales	f l o ˈɾ a l e s
golpeteasen	ɡ o l p e t e ˈa s e n
catuaba	k a ˈt w a b a
obstruidos	o b s ˈt ɾ w i d o s
idolatrados	i d o l a ˈt ɾ a d o s
irritadas	i r i ˈt a d a s
cuidando	k w i ˈd a n d o
codón	k o ˈd o n
transfeminismo	t ɾ a n s f e m i ˈn i s m o
leoninos	l e o ˈn i n o s
mineróloga	m i n e ˈɾ o l o ɡ a
badalonesa	b a d a l o ˈn e s a
iglesita	i ɡ l e ˈs i t a
Nursultán	n u ɾ s u l ˈt a n
caucásico	k a u ˈk a s i k o
incruenta	i n ˈk ɾ w e n t a
rutina	r u ˈt i n a
taco	ˈt a k o
premiaríamos	p ɾ e m j a ˈɾ i a m o s
diabólicos	d j a ˈb o l i k o s
fermentaríamos	f e ɾ m e n t a ˈɾ i a m o s
sangría	s a n ˈɡ ɾ i a
usulutecas	u s u l u ˈt e k a s
empleador	e m p l e a ˈd o ɾ
rescatadas	r e s k a ˈt a d a s
conejillo	k o n e ˈx i ʝ o
conmutados	k o m m u ˈt a d o s
barda	ˈb a ɾ d a
androide	a n ˈd ɾ o i d e
mandatoria	m a n d a ˈt o ɾ j a
codificado	k o d i f i ˈk a d o
becarias	b e ˈk a ɾ j a s
suplementado	s u p l e m e n ˈt a d o
acopiada	a k o ˈp j a d a
enología	e n o l o ˈx i a
ordeno	o ɾ ˈd e n o
galés	ɡ a ˈl e s
viudita	b j u ˈd i t a
desinteresado	d e s i n t e ɾ e ˈs a d o
fiestones	f j e s ˈt o n e s
belfo	ˈb e l f o
ultrajados	u l t ɾ a ˈx a d o s
trol	ˈt ɾ o l
védate	ˈb e d a t e
irradiante	i r a ˈd j a n t e
pituco	p i ˈt u k o
degradados	d e ɡ ɾ a ˈd a d o s
opaca	o ˈp a k a
eslabonamiento	e s l a b o n a ˈm j e n t o
sobrevalorada	s o b ɾ e b a l o ˈɾ a d a
transparentada	t ɾ a n s p a ɾ e n ˈt a d a
fincados	f i n ˈk a d o s
estrechas	e s ˈt ɾ e t͡ʃ a s
monocromáticas	m o n o k ɾ o ˈm a t i k a s
identificada	i d e n t i f i ˈk a d a
byte	ˈb a i t
agremiados	a ɡ ɾ e ˈm j a d o s
refulgidas	r e f u l ˈx i d a s
canoero	k a n o ˈe ɾ o
miráculo	m i ˈɾ a k u l o
ubérrimos	u ˈb e r i m o s
termine	t e ɾ ˈm i n e
liberar	l i b e ˈɾ a ɾ
chompa	ˈt͡ʃ o m p a
topónimo	t o ˈp o n i m o
tacleado	t a k l e ˈa d o
semimeridiano	s e m i m e ɾ i ˈd j a n o
desatendidas	d e s a t e n ˈd i d a s
sobrevalorados	s o b ɾ e b a l o ˈɾ a d o s
tautología	t a u t o l o ˈx i a
miositis	m j o ˈs i t i s
obsequiada	o b s e ˈk j a d a
atenuantes	a t e ˈn w a n t e s
cagarse	k a ˈɡ a ɾ s e
decano	d e ˈk a n o
smoking	e s ˈm o k i n
henchida	e n ˈt͡ʃ i d a
cablegrafiadas	k a b l e ɡ ɾ a ˈf j a d a s
terraplenados	t e r a p l e ˈn a d o s
sarga	ˈs a ɾ ɡ a
frustrando	f ɾ u s ˈt ɾ a n d o
yokut	ʝ o ˈk u t
parsec	p a ɾ ˈs e k
estarles	e s ˈt a ɾ l e s
verija	b e ˈɾ i x a
destupir	d e s t u ˈp i ɾ
seísmo	s e ˈi s m o
arará	a ɾ a ˈɾ a
abundas	a ˈb u n d a s
chinchilla	t͡ʃ i n ˈt͡ʃ i ʝ a
grapo	ˈɡ ɾ a p o
compulsivas	k o m p u l ˈs i b a s
fufada	f u ˈf a d a
Espinal	e s p i ˈn a l
revestí	r e b e s ˈt i
normoevolutivo	n o ɾ m o e b o l u ˈt i b o
apelas	a ˈp e l a s
distensible	d i s t e n ˈs i b l e
patotero	p a t o ˈt e ɾ o
hollejo	o ˈʝ e x o
auscultares	a u s k u l ˈt a ɾ e s
primate	p ɾ i ˈm a t e
ubérrimo	u ˈb e r i m o
fenaquistoscopio	f e n a k i s t o s ˈk o p j o
sonados	s o ˈn a d o s
catán	k a ˈt a n
improvisar	i m p ɾ o b i ˈs a ɾ
opositora	o p o s i ˈt o ɾ a
mucho	ˈm u t͡ʃ o
anfíbol	a n ˈf i b o l
alcaide	a l ˈk a i d e
estallable	e s t a ˈʝ a b l e
endeudado	e n d e u ˈd a d o
abaldonaros	a b a l d o ˈn a ɾ o s
redargüidas	r e d a ɾ ˈɡ w i d a s
rabel	r a ˈb e l
atusadas	a t u ˈs a d a s
pesquise	p e s ˈk i s e
extensas	e ɡ s ˈt e n s a s
vosotras	b o ˈs o t ɾ a s
bastir	b a s ˈt i ɾ
resaltar	r e s a l ˈt a ɾ
alquitranados	a l k i t ɾ a ˈn a d o s
tribanda	t ɾ i ˈb a n d a
errarás	e r a ˈɾ a s
trancares	t ɾ a n ˈk a ɾ e s
candelabro	k a n d e ˈl a b ɾ o
épicorreligioso	ˈe p i k o r e l i x j o s o
sofisticares	s o f i s t i ˈk a ɾ e s
tirón	t i ˈɾ o n
generado	x e n e ˈɾ a d o
adquirida	a d k i ˈɾ i d a
tomografía	t o m o ɡ ɾ a ˈf i a
contenidos	k o n t e ˈn i d o s
oncogénesis	o n k o ˈx e n e s i s
aspectada	a s p e ɡ ˈt a d a
Higüey	i ˈɡ w e i
envidioso	e m b i ˈd j o s o
dividimos	d i b i ˈd i m o s
abdicará	a b d i k a ˈɾ a
prosterná	p ɾ o s t e ɾ ˈn a
nativa	n a ˈt i b a
arrecostar	a r e k o s ˈt a ɾ
llamaremos	ʝ a m a ˈɾ e m o s
opulento	o p u ˈl e n t o
competidor	k o m p e t i ˈd o ɾ
rumbeados	r u m b e ˈa d o s
tímalo	ˈt i m a l o
comiéndolo	k o ˈm j e n d o l o
buriláramos	b u ɾ i ˈl a ɾ a m o s
blanqueados	b l a n k e ˈa d o s
anidados	a n i ˈd a d o s
desgarradas	d e s ɡ a ˈr a d a s
detergidos	d e t e ɾ ˈx i d o s
copilota	k o p i ˈl o t a
habiéndole	a ˈb j e n d o l e
paulino	p a u ˈl i n o
rafagueados	r a f a ɡ e ˈa d o s
polimorfa	p o l i ˈm o ɾ f a
Emanuel	e m a ˈn w e l
aperadora	a p e ɾ a ˈd o ɾ a
aligerados	a l i x e ˈɾ a d o s
afirmativo	a f i ɾ m a ˈt i b o
lanchero	l a n ˈt͡ʃ e ɾ o
redescubierto	r e d e s k u ˈb j e ɾ t o
vertida	b e ɾ ˈt i d a
don	ˈd o n
ondina	o n ˈd i n a
tolteca	t o l ˈt e k a
estudio	e s ˈt u d j o
prendidos	p ɾ e n ˈd i d o s
vertedor	b e ɾ t e ˈd o ɾ
petrológico	p e t ɾ o ˈl o x i k o
Hipnos	ˈi b n o s
amblados	a m ˈb l a d o s
chasqueado	t͡ʃ a s k e ˈa d o
supervalorada	s u p e ɾ b a l o ˈɾ a d a
reverberar	r e b e ɾ b e ˈɾ a ɾ
bulón	b u ˈl o n
rasgueado	r a s ɡ e ˈa d o
triangula	t ɾ j a n ˈɡ u l a
dominicas	d o m i ˈn i k a s
babor	b a ˈb o ɾ
secretada	s e k ɾ e ˈt a d a
reelegido	r e e l e ˈx i d o
andáis	a n ˈd a i s
ska	ˈs k a
cosmovisión	k o s m o b i ˈs j o n
tituláramos	t i t u ˈl a ɾ a m o s
superpotente	s u p e ɾ p o ˈt e n t e
marchadas	m a ɾ ˈt͡ʃ a d a s
pasota	p a ˈs o t a
ola	ˈo l a
monda	ˈm o n d a
pop	ˈp o p
admitir	a d m i ˈt i ɾ
asamblea	a s a m ˈb l e a
desgarres	d e s ˈɡ a r e s
fisgoneo	f i s ɡ o ˈn e o
emigrados	e m i ˈɡ ɾ a d o s
sobrevolada	s o b ɾ e b o ˈl a d a
estaque	e s ˈt a k e
abstuvieren	a b s t u ˈb j e ɾ e n
quintacolumnista	k i n t a k o l u m ˈn i s t a
ova	ˈo b a
talego	t a ˈl e ɡ o
aclimata	a k l i ˈm a t a
veneraremos	b e n e ɾ a ˈɾ e m o s
embragadas	e m b ɾ a ˈɡ a d a s
obliterareis	o b l i t e ˈɾ a ɾ e i s
babeado	b a b e ˈa d o
estereotípicos	e s t e ɾ e o ˈt i p i k o s
deprisa	d e ˈp ɾ i s a
aparatología	a p a ɾ a t o l o ˈx i a
guitarristas	ɡ i t a ˈr i s t a s
demoremos	d e m o ˈɾ e m o s
futuro	f u ˈt u ɾ o
Borja	ˈb o ɾ x a
poli	ˈp o l i
habláramos	a ˈb l a ɾ a m o s
otosclerosis	o t o s k l e ˈɾ o s i s
váyanla	ˈb a ʝ a n l a
abisagrado	a b i s a ˈɡ ɾ a d o
yaresaní	ʝ a ɾ e s a ˈn i
discordada	d i s k o ɾ ˈd a d a
programa	p ɾ o ˈɡ ɾ a m a
lentificado	l e n t i f i ˈk a d o
perpetua	p e ɾ ˈp e t w a
guío	ˈɡ i o
Brayan	ˈb ɾ a ʝ a n
Kosovo	k o ˈs o b o
xenófobo	s e ˈn o f o b o
resquebrar	r e s k e ˈb ɾ a ɾ
espantoso	e s p a n ˈt o s o
tirémoslo	t i ˈɾ e m o s l o
enfangados	e n f a n ˈɡ a d o s
verberada	b e ɾ b e ˈɾ a d a
administraste	a d m i n i s ˈt ɾ a s t e
sobretensión	s o b ɾ e t e n ˈs j o n
sutilidad	s u t i l i ˈd a d
Guáimaro	ˈɡ w a i m a ɾ o
levitado	l e b i ˈt a d o
elamita	e l a ˈm i t a
convocados	k o m b o ˈk a d o s
exportaste	e ɡ s p o ɾ ˈt a s t e
autenticadas	a u t e n t i ˈk a d a s
sopetón	s o p e ˈt o n
desbotonar	d e s b o t o ˈn a ɾ
gavetero	ɡ a b e ˈt e ɾ o
escaparate	e s k a p a ˈɾ a t e
tetradimensionales	t e t ɾ a d i m e n s j o ˈn a l e s
austera	a u s ˈt e ɾ a
desmesurada	d e s m e s u ˈɾ a d a
soleada	s o l e ˈa d a
heredar	e ɾ e ˈd a ɾ
ruteo	r u ˈt e o
borrega	b o ˈr e ɡ a
tajante	t a ˈx a n t e
maquinistas	m a k i ˈn i s t a s
rayo	ˈr a ʝ o
usuaria	u ˈs w a ɾ j a
rogará	r o ɡ a ˈɾ a
casto	ˈk a s t o
definimos	d e f i ˈn i m o s
ufanadas	u f a ˈn a d a s
galvánico	ɡ a l ˈb a n i k o
pernoctar	p e ɾ n o ɡ ˈt a ɾ
colocado	k o l o ˈk a d o
fauna	ˈf a u n a
interétnicos	i n t e ˈɾ e d n i k o s
cautiva	k a u ˈt i b a
masturbador	m a s t u ɾ b a ˈd o ɾ
grupo	ˈɡ ɾ u p o
eufemísticos	e u f e ˈm i s t i k o s
administrareis	a d m i n i s ˈt ɾ a ɾ e i s
botil	b o ˈt i l
geranio	x e ˈɾ a n j o
titulaste	t i t u ˈl a s t e
Septuaginta	s e b t w a ˈx i n t a
asesora	a s e ˈs o ɾ a
soma	ˈs o m a
colapso	k o ˈl a b s o
cuatrimestral	k w a t ɾ i m e s ˈt ɾ a l
rehogar	r e o ˈɡ a ɾ
transplantada	t ɾ a n s p l a n ˈt a d a
honrilla	o n ˈr i ʝ a
ambivalente	a m b i b a ˈl e n t e
bordillo	b o ɾ ˈd i ʝ o
motilón	m o t i ˈl o n
forramos	f o ˈr a m o s
nalidíxico	n a l i ˈd i ɡ s i k o
reverendo	r e b e ˈɾ e n d o
legalidad	l e ɡ a l i ˈd a d
desosada	d e s o ˈs a d a
comentados	k o m e n ˈt a d o s
oncología	o n k o l o ˈx i a
salidora	s a l i ˈd o ɾ a
gernikarra	x e ɾ n i ˈk a r a
estampa	e s ˈt a m p a
inesperado	i n e s p e ˈɾ a d o
camerístico	k a m e ˈɾ i s t i k o
derecho	d e ˈɾ e t͡ʃ o
acabémosla	a k a ˈb e m o s l a
lerdo	ˈl e ɾ d o
acústicas	a ˈk u s t i k a s
catadióptrico	k a t a ˈd j o b t ɾ i k o
Batlle	ˈb a ʝ e
nerviosamente	n e ɾ ˌb j o s a ˈm e n t e
precavido	p ɾ e k a ˈb i d o
oportuno	o p o ɾ ˈt u n o
recalculamos	r e k a l k u ˈl a m o s
hipersexualidad	i p e ɾ s e ɡ s w a l i ˈd a d
anatomía	a n a t o ˈm i a
estenos	e s ˈt e n o s
muertitas	m w e ɾ ˈt i t a s
suegra	ˈs w e ɡ ɾ a
hevea	e ˈb e a
esgrimidor	e s ɡ ɾ i m i ˈd o ɾ
hipocomplementemia	i p o k o m p l e m e n ˈt e m j a
malherido	m a l e ˈɾ i d o
abaratados	a b a ɾ a ˈt a d o s
arropado	a r o ˈp a d o
comidilla	k o m i ˈd i ʝ a
neumoconiosis	n e u m o k o ˈn j o s i s
batistianas	b a t i s ˈt j a n a s
atresia	a ˈt ɾ e s j a
antinomia	a n t i ˈn o m j a
pseudohistoria	s e u d o i s ˈt o ɾ j a
cantante	k a n ˈt a n t e
mesentérico	m e s e n ˈt e ɾ i k o
arrollados	a r o ˈʝ a d o s
tonadilla	t o n a ˈd i ʝ a
gratinaste	ɡ ɾ a t i ˈn a s t e
trasmutados	t ɾ a s m u ˈt a d o s
yago	ˈʝ a ɡ o
despercudir	d e s p e ɾ k u ˈd i ɾ
emisión	e m i ˈs j o n
goleadas	ɡ o l e ˈa d a s
encontraras	e n k o n ˈt ɾ a ɾ a s
potasemia	p o t a ˈs e m j a
tuberosidad	t u b e ɾ o s i ˈd a d
musicología	m u s i k o l o ˈx i a
aventurares	a b e n t u ˈɾ a ɾ e s
purgado	p u ɾ ˈɡ a d o
prohibitorios	p ɾ o i b i ˈt o ɾ j o s
ventriloquia	b e n t ɾ i ˈl o k j a
cumplimentados	k u m p l i m e n ˈt a d o s
respeto	r e s ˈp e t o
trincadas	t ɾ i n ˈk a d a s
pantalones	p a n t a ˈl o n e s
romboide	r o m ˈb o i d e
aldónico	a l ˈd o n i k o
modelando	m o d e ˈl a n d o
abaldónense	a b a l ˈd o n e n s e
empatados	e m p a ˈt a d o s
fechemos	f e ˈt͡ʃ e m o s
acabareis	a k a ˈb a ɾ e i s
ambientadores	a m b j e n t a ˈd o ɾ e s
piquito	p i ˈk i t o
habladla	a ˈb l a d l a
rebobinar	r e b o b i ˈn a ɾ
quebradita	k e b ɾ a ˈd i t a
comprador	k o m p ɾ a ˈd o ɾ
Bretaña	b ɾ e ˈt a ɲ a
eclipsará	e k l i b s a ˈɾ a
autonomista	a u t o n o ˈm i s t a
abastardé	a b a s t a ɾ ˈd e
sofocamiento	s o f o k a ˈm j e n t o
postobligatorios	p o s t o b l i ɡ a ˈt o ɾ j o s
orlará	o ɾ l a ˈɾ a
distinto	d i s ˈt i n t o
tascas	ˈt a s k a s
golpismo	ɡ o l ˈp i s m o
pelador	p e l a ˈd o ɾ
abocar	a b o ˈk a ɾ
cartesianos	k a ɾ t e ˈs j a n o s
porrito	p o ˈr i t o
atrevimiento	a t ɾ e b i ˈm j e n t o
sopor	s o ˈp o ɾ
fincado	f i n ˈk a d o
triangulará	t ɾ j a n ɡ u l a ˈɾ a
espejado	e s p e ˈx a d o
gilipollas	x i l i ˈp o ʝ a s
notadas	n o ˈt a d a s
ostión	o s ˈt j o n
perturbados	p e ɾ t u ɾ ˈb a d o s
hidroeléctrico	i d ɾ o e ˈl e ɡ t ɾ i k o
diablita	d j a ˈb l i t a
ruines	ˈr w i n e s
Antón	a n ˈt o n
coartados	k o a ɾ ˈt a d o s
augurada	a u ɡ u ˈɾ a d a
crie	ˈk ɾ j e
agotado	a ɡ o ˈt a d o
sed	ˈs e d
arponeadas	a ɾ p o n e ˈa d a s
lechoso	l e ˈt͡ʃ o s o
endocraneano	e n d o k ɾ a n e ˈa n o
desenchufadas	d e s e n t͡ʃ u ˈf a d a s
suplicamos	s u p l i ˈk a m o s
trombina	t ɾ o m ˈb i n a
bolardo	b o ˈl a ɾ d o
imantadas	i m a n ˈt a d a s
titiritéele	t i t i ɾ i ˈt e e l e
conmutatividad	k o m m u t a t i b i ˈd a d
caballera	k a b a ˈʝ e ɾ a
absolveríais	a b s o l b e ˈɾ i a i s
endovascular	e n d o b a s k u ˈl a ɾ
cavador	k a b a ˈd o ɾ
bosar	b o ˈs a ɾ
paleáramos	p a l e ˈa ɾ a m o s
vetaste	b e ˈt a s t e
tranqui	ˈt ɾ a n k i
premonitoria	p ɾ e m o n i ˈt o ɾ j a
contractualista	k o n t ɾ a ɡ t w a ˈl i s t a
Irenea	i ɾ e ˈn e a
prospectora	p ɾ o s p e ɡ ˈt o ɾ a
psíquico	ˈs i k i k o
periné	p e ɾ i ˈn e
desgranada	d e s ɡ ɾ a ˈn a d a
toltecas	t o l ˈt e k a s
algodonadas	a l ɡ o d o ˈn a d a s
cleriguito	k l e ɾ i ˈɡ i t o
poso	ˈp o s o
